SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Abby Kelley Foster Regional Charter Public (District) - Abby Kelley Foster Regional Charter Public School,04450105,22.9,3.9,19.8,48.9,0.1,0.1,4.3,47.5,52.5
Abington - Abington ECC,00010003,1.2,0.9,2.2,95.0,0.0,0.0,0.7,51.5,48.5
Abington - Abington High,00010505,3.3,0.0,1.7,93.3,0.5,1.2,0.0,47.9,52.1
Abington - Center,00010005,1.9,2.4,1.9,92.7,0.0,0.0,1.0,51.5,48.5
Abington - Frolio Jr Hs,00010405,0.2,0.0,1.0,97.3,0.0,0.0,1.5,56.1,43.9
Abington - North,00010010,0.0,0.5,3.4,95.1,0.0,1.0,0.0,52.2,47.8
Abington - Woodsdale,00010015,0.8,1.0,2.3,95.4,0.0,0.0,0.5,50.1,49.9
Academy of Strategic Learning HMCS - Academy of Strategic Learning HMCS School,04150505,2.0,0.0,0.0,98.0,0.0,0.0,0.0,70.0,30.0
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,56.3,3.4,13.9,23.6,0.0,0.0,2.8,49.7,50.3
Acton - Douglas,00020020,0.8,17.3,4.1,75.4,0.0,0.0,2.4,52.0,48.0
Acton - Gates,00020025,0.0,14.8,0.8,80.3,0.0,0.0,4.1,57.7,42.3
Acton - Luther Conant,00020030,1.0,32.5,1.9,63.3,0.2,0.0,1.0,48.3,51.7
Acton - McCarthy-Towne,00020015,0.4,11.8,4.9,81.9,0.2,0.0,0.8,48.2,51.8
Acton - Merriam,00020010,1.0,20.0,1.4,76.5,0.0,0.0,1.0,50.7,49.3
Acton-Boxborough - Acton-Boxborough Reg High,06000505,1.1,15.8,2.2,80.3,0.1,0.0,0.5,52.1,47.9
Acton-Boxborough - Raymond J Grey JH,06000405,0.9,17.2,2.8,77.5,0.0,0.0,1.5,51.1,48.9
Acushnet - Acushnet Elementary Sch,00030025,0.3,0.0,0.2,99.1,0.2,0.0,0.2,53.0,47.0
Acushnet - Albert F Ford Middle Sch,00030305,1.4,0.0,0.0,98.0,0.4,0.0,0.2,49.1,50.9
Adams-Cheshire - Adams Middle,06030305,0.8,0.3,2.6,96.0,0.0,0.0,0.3,55.6,44.4
Adams-Cheshire - Cheshire Elementary,06030004,1.1,1.5,0.0,96.6,0.7,0.0,0.0,51.1,48.9
Adams-Cheshire - Hoosac Valley High,06030505,0.8,1.0,1.5,95.6,0.2,0.0,0.8,47.3,52.7
Adams-Cheshire - Plunkett Elementary,06030020,4.6,0.7,1.6,92.4,0.5,0.2,0.0,52.8,47.2
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,10.5,1.7,4.6,2.1,0.0,77.0,4.2,55.6,44.4
Agawam - Agawam ECC,00050003,0.0,0.9,0.0,99.1,0.0,0.0,0.0,58.6,41.4
Agawam - Agawam High,00050505,1.3,0.6,3.6,92.5,0.1,1.0,0.9,51.0,49.0
Agawam - Agawam Junior High,00050405,1.7,1.7,0.0,96.6,0.0,0.0,0.0,51.9,48.1
Agawam - Agawam Middle School,00050303,0.6,1.3,0.0,98.1,0.0,0.0,0.0,49.5,50.5
Agawam - Benjamin J Phelps,00050020,0.8,2.0,0.0,96.9,0.0,0.0,0.3,50.1,49.9
Agawam - Clifford M Granger,00050010,0.5,2.1,7.5,87.3,0.3,0.0,2.3,57.5,42.5
Agawam - James Clark School,00050030,1.0,0.0,3.3,93.1,1.3,1.3,0.0,51.8,48.2
Agawam - Robinson Park,00050025,2.1,0.5,1.4,95.9,0.0,0.0,0.0,50.4,49.6
Amesbury - Amesbury Elementary,00070005,0.9,0.4,2.6,92.3,0.4,0.0,3.3,51.5,48.5
Amesbury - Amesbury High,00070505,1.7,0.1,2.1,91.9,1.2,0.0,2.8,47.4,52.6
Amesbury - Amesbury Middle,00070013,2.1,0.7,2.6,92.4,0.5,0.3,1.4,52.9,47.1
Amesbury - Charles C Cashman El,00070010,1.1,0.9,3.4,92.4,0.2,0.0,2.1,54.3,45.7
Amherst - Crocker Farm Elementary,00080009,8.7,6.3,29.0,53.0,1.1,0.0,1.8,52.8,47.2
Amherst - Fort River Elementary,00080020,6.3,13.3,9.1,61.1,0.0,0.0,10.1,49.9,50.1
Amherst - Marks Meadow Laboratory,00080030,15.5,15.0,9.3,45.1,0.0,0.0,15.0,51.8,48.2
Amherst - Wildwood Elementary,00080050,6.6,12.5,7.5,59.5,0.2,0.0,13.6,51.3,48.7
Amherst-Pelham - Amherst Regional High,06050505,7.1,10.3,8.3,70.4,0.5,0.0,3.4,49.4,50.6
Amherst-Pelham - Amherst Regional MS,06050405,11.1,8.2,8.2,71.4,0.3,0.0,0.7,50.9,49.1
Andover - Andover High,00090505,1.1,8.2,2.8,87.1,0.1,0.0,0.8,50.8,49.2
Andover - Andover West Middle,00090310,1.4,9.5,3.0,83.6,0.0,0.0,2.6,48.3,51.7
Andover - Bancroft Elementary,00090003,1.7,7.4,4.8,83.4,0.0,0.0,2.7,54.3,45.7
Andover - Doherty Middle,00090305,0.9,7.8,2.9,86.1,0.2,0.0,2.2,56.1,43.9
Andover - Henry C Sanborn Elem,00090010,0.0,7.9,1.5,89.8,0.0,0.0,0.9,51.5,48.5
Andover - High Plain Elementary,00090004,0.9,13.3,5.0,79.9,0.2,0.0,0.7,49.9,50.1
Andover - Shawsheen School,00090005,0.9,4.7,1.7,91.4,0.0,0.0,1.3,60.3,39.7
Andover - South Elementary,00090020,0.2,7.7,0.4,89.9,0.0,0.0,1.8,49.5,50.5
Andover - West Elementary,00090025,0.9,10.5,2.8,83.7,0.4,0.0,1.6,50.5,49.5
Andover - Wood Hill Middle School,00090350,3.2,13.1,5.4,75.9,0.0,0.3,2.1,50.9,49.1
Arlington - Arlington High,00100505,6.2,5.2,3.3,83.9,0.0,0.2,1.3,52.5,47.5
Arlington - Brackett,00100010,0.2,8.6,2.6,86.5,0.0,0.0,2.1,49.5,50.5
Arlington - Cyrus E Dallin,00100025,2.2,1.9,3.0,84.1,0.3,0.3,8.2,51.4,48.6
Arlington - Hardy,00100030,4.1,16.6,4.4,73.6,0.0,0.0,1.4,46.8,53.2
Arlington - John A Bishop,00100005,3.2,5.6,3.2,86.3,0.0,0.3,1.3,51.5,48.5
Arlington - M Norcross Stratton,00100055,1.4,10.1,2.4,85.5,0.0,0.0,0.7,53.4,46.6
Arlington - Menotomy Preschool,00100038,1.4,6.8,5.4,86.5,0.0,0.0,0.0,55.4,44.6
Arlington - Ottoson Middle,00100410,5.1,6.8,4.0,82.1,0.4,0.0,1.5,49.3,50.7
Arlington - Peirce,00100045,3.0,11.1,8.1,77.4,0.0,0.0,0.4,50.4,49.6
