SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,Males,Females
BURLINGTON - BURLINGTON HIGH,00480505,0.5,6.2,1.5,91.3,0.4,48.3,51.7
BURLINGTON - FOX HILL,00480007,1.8,9.0,1.2,87.9,0.0,52.4,47.6
BURLINGTON - FRANCIS WYMAN ELEM,00480035,3.3,10.6,1.9,84.2,0.0,52.0,48.0
BURLINGTON - MARSHALL SIMONDS MIDDLE,00480303,1.2,7.1,1.7,89.9,0.0,48.8,51.2
BURLINGTON - MEMORIAL,00480015,0.8,6.5,1.9,90.8,0.0,55.8,44.2
BURLINGTON - PINE GLEN ELEMENTARY,00480020,1.8,7.3,0.5,89.7,0.8,56.4,43.6
CAMBRIDGE - AGASSIZ,00490005,21.2,21.8,8.5,47.6,0.9,47.6,52.4
CAMBRIDGE - CAMB RINDGE & LATIN,00490506,37.2,7.9,14.2,40.5,0.2,53.7,46.3
CAMBRIDGE - CHARLES G HARRINGTON,00490025,39.0,3.8,10.4,46.3,0.5,51.7,48.3
CAMBRIDGE - FLETCHER,00490015,41.3,2.2,15.2,41.0,0.3,56.5,43.5
CAMBRIDGE - GRAHAM/PARKS NEW ALTERN,00490080,45.1,5.7,6.7,40.7,1.8,51.8,48.2
CAMBRIDGE - HAGGERTY,00490020,39.7,9.4,3.4,47.2,0.4,52.8,47.2
CAMBRIDGE - JOHN M TOBIN,00490065,40.7,8.3,8.0,42.6,0.3,53.2,46.8
CAMBRIDGE - KING,00490030,36.8,20.3,7.5,35.0,0.4,44.7,55.3
CAMBRIDGE - KING OPEN,00490035,30.0,14.0,8.0,47.7,0.3,48.3,51.7
CAMBRIDGE - LONGFELLOW,00490040,19.5,8.0,34.8,36.8,1.0,50.3,49.7
CAMBRIDGE - M E FITZGERALD,00490010,43.0,14.3,7.0,35.7,0.0,51.9,48.1
CAMBRIDGE - MAYNARD,00490060,47.8,2.8,21.7,27.2,0.6,52.2,47.8
CAMBRIDGE - MORSE,00490045,26.9,27.3,7.3,38.5,0.0,47.7,52.3
CAMBRIDGE - NEW SCHOOL/CAMBRIDGEPORT,00490007,34.4,8.4,10.1,46.3,0.9,52.4,47.6
CAMBRIDGE - PEABODY,00490050,24.3,23.3,4.2,47.3,1.0,51.2,48.8
CAMBRIDGE - ROBERT F KENNEDY,00490055,20.5,2.4,44.2,32.7,0.2,50.8,49.2
CANTON - CANTON HIGH,00500505,1.9,2.0,1.3,94.7,0.1,50.4,49.6
CANTON - DEAN S LUCE,00500020,5.1,1.7,0.9,92.3,0.0,50.7,49.3
CANTON - JOHN F KENNEDY,00500017,2.4,3.0,2.8,91.7,0.0,46.9,53.1
CANTON - LT PETER M HANSEN,00500012,6.5,3.2,1.8,88.4,0.0,52.7,47.3
CANTON - WM H GALVIN MIDDLE,00500305,2.9,2.2,1.5,93.2,0.3,53.3,46.7
CAPE COD LIGHTHOUSE CHART - CAPE COD LIGHTHOUSE CS,04320530,0.6,0.6,0.0,98.8,0.0,44.8,55.2
CAPE COD REGION VOC TECH - CAPE COD REGION VOC TECH,08150605,9.2,0.2,4.7,84.3,1.6,69.0,31.0
CARLISLE - CARLISLE SCHOOL,00510025,0.1,5.7,0.6,93.6,0.0,52.3,47.7
CARVER - CARVER HIGH SCHOOL,00520505,5.4,0.4,6.5,87.2,0.5,48.7,51.3
CARVER - CARVER MIDDLE,00520305,3.4,0.5,1.8,93.9,0.4,52.2,47.8
CARVER - GOV JOHN CARVER ELEM,00520010,2.3,0.2,1.0,96.3,0.2,55.0,45.0
CARVER - GOV JOHN CARVER PRIMARY,00520005,4.9,1.2,0.3,93.0,0.7,49.2,50.8
CENTRAL BERKSHIRE - BECKET CONSOLIDATED,06350005,1.4,1.4,0.0,97.2,0.0,47.4,52.6
CENTRAL BERKSHIRE - BERKSHIRE TRAIL ELEM,06350010,0.0,0.7,2.0,97.3,0.0,49.0,51.0
CENTRAL BERKSHIRE - CENTRAL BERKSHIRE ECC,06350003,0.0,5.9,0.0,94.1,0.0,52.9,47.1
CENTRAL BERKSHIRE - CRANEVILLE,06350025,1.5,1.2,1.4,95.9,0.0,55.4,44.6
CENTRAL BERKSHIRE - KITTREDGE,06350035,0.0,0.4,0.0,99.6,0.0,50.0,50.0
CENTRAL BERKSHIRE - NESSACUS MIDDLE,06350305,1.0,0.2,0.3,98.5,0.0,54.3,45.7
CENTRAL BERKSHIRE - WAHCONAH REGIONAL HIGH,06350505,0.5,0.8,0.7,97.8,0.1,49.5,50.5
CHATHAM - CHATHAM ELEMENTARY,00550005,0.6,0.3,1.8,97.3,0.0,52.7,47.3
CHATHAM - CHATHAM HIGH,00550505,1.0,0.3,1.3,97.1,0.3,49.8,50.2
CHELMSFORD - BYAM SCHOOL,00560030,0.7,4.3,0.5,94.1,0.3,53.9,46.1
CHELMSFORD - CHARLES D HARRINGTON,00560025,0.2,6.5,0.2,93.1,0.0,52.7,47.3
CHELMSFORD - CHELMSFORD HIGH,00560505,0.3,4.3,0.5,94.9,0.0,51.4,48.6
CHELMSFORD - COL MOSES PARKER SCHL,00560305,1.1,6.4,1.5,90.9,0.0,51.1,48.9
CHELMSFORD - MCCARTHY MIDDLE SCHOOL,00560310,0.8,7.2,0.6,91.4,0.0,54.2,45.8
CHELMSFORD - SOUTH ROW,00560015,1.7,6.7,0.7,90.9,0.0,47.9,52.1
CHELMSFORD - WESTLANDS ELEMENTARY,00560020,1.5,6.9,0.6,91.0,0.0,52.7,47.3
CHELMSFORD ALLIANCE/ED CH - CHELMSFORD PUB CS,04350305,0.6,6.3,1.1,92.0,0.0,57.7,42.3
CHELSEA - CHELSEA EARLY CHILDHOOD,00570003,7.8,6.1,68.7,17.4,0.0,52.0,48.0
CHELSEA - CHELSEA HIGH,00570505,9.2,9.2,65.6,16.1,0.0,49.0,51.0
CHELSEA - EDGAR A HOOKS ELEM,00570030,7.8,2.0,73.3,16.4,0.5,54.4,45.6
CHELSEA - FRANK M SOKOLOWSKI ELEM,00570040,10.2,11.4,60.5,17.7,0.2,52.9,47.1
CHELSEA - GEORGE D KELLY ELEM,00570035,3.4,3.0,77.8,15.8,0.0,50.5,49.5
CHELSEA - WILLIAM A BERKOWITZ ELEM,00570025,12.4,12.1,53.6,21.9,0.0,49.1,50.9
CHELSEA - WILLIAMS NORTH MIDDLE,00570305,9.8,12.4,59.5,18.4,0.0,49.3,50.7
CHELSEA - WILLIAMS SOUTH MIDDLE,00570310,9.4,10.8,59.5,19.5,0.7,52.4,47.6
CHESTERFIELD-GOSHEN - CENTER SCHOOL,06320010,0.9,0.0,0.9,97.4,0.9,53.0,47.0
CHICOPEE - BARRY,00610003,3.4,2.0,5.6,88.5,0.5,46.5,53.5
CHICOPEE - BELCHER,00610010,6.6,0.9,13.6,78.9,0.0,50.6,49.4
CHICOPEE - BELLAMY MIDDLE,00610305,3.3,1.2,16.5,79.0,0.0,51.5,48.5
CHICOPEE - BOWE,00610015,4.1,0.8,34.1,61.1,0.0,56.8,43.2
CHICOPEE - BOWIE,00610020,3.0,0.9,2.1,94.0,0.0,52.3,47.7
CHICOPEE - CHAPIN,00610025,6.2,0.4,18.3,75.1,0.0,52.9,47.1
CHICOPEE - CHICOPEE COMPREHENSIVE HS,00610510,2.6,1.3,6.9,88.4,0.7,54.8,45.2
CHICOPEE - CHICOPEE HIGH,00610505,1.8,0.9,10.2,87.0,0.1,47.5,52.5
CHICOPEE - FAIRVIEW MIDDLE,00610310,3.3,1.4,12.9,82.4,0.0,48.6,51.4
CHICOPEE - GEN JOHN J STEFANIK,00610090,5.7,0.8,50.5,42.9,0.0,51.3,48.7
CHICOPEE - HORIZON ACADEMY,00610021,5.3,0.0,15.8,78.9,0.0,71.1,28.9
CHICOPEE - LAMBERT-LAVOIE,00610040,0.6,0.3,6.7,92.1,0.3,51.1,48.9
CHICOPEE - LITWIN,00610022,0.0,1.8,10.4,87.8,0.0,59.5,40.5
CHICOPEE - SELSER,00610050,4.3,0.9,31.4,63.4,0.0,46.9,53.1
CHICOPEE - STREIBER MEMORIAL SCHOOL,00610065,1.2,2.1,5.8,90.8,0.0,54.7,45.3
CHICOPEE - SZETELA ECC,00610001,1.2,1.6,10.9,86.4,0.0,55.8,44.2
CITY ON A HILL CHARTER - CITY ON A HILL CS,04370505,62.3,3.4,11.0,23.3,0.0,48.6,51.4
CLARKSBURG - CLARKSBURG ELEMENTARY,00630010,1.0,0.0,0.0,99.0,0.0,53.3,46.7
CLINTON - CLINTON ELEM,00640050,2.1,0.0,19.5,78.4,0.0,50.2,49.8
CLINTON - CLINTON MIDDLE SCHOOL,00640305,1.5,0.7,18.1,79.5,0.2,53.5,46.5
CLINTON - CLINTON SENIOR HIGH,00640505,3.3,1.9,19.2,75.5,0.2,47.7,52.3
CLINTON - PARKHURST,00640035,0.0,0.0,5.9,94.1,0.0,66.7,33.3
COHASSET - COHASSET JR SR HIGH,00650505,4.2,0.4,1.2,94.2,0.0,55.1,44.9
COHASSET - DEER HILL,00650005,4.6,1.3,0.0,94.1,0.0,49.5,50.5
COHASSET - JOSEPH OSGOOD,00650010,3.3,0.2,0.2,96.3,0.0,56.1,43.9
COMMUNITY DAY CHARTER SCH - COMMUNITY DAY CS,04400205,4.6,0.0,68.4,27.0,0.0,47.4,52.6
CONCORD - ALCOTT,00670005,6.2,1.7,0.4,91.7,0.0,46.4,53.6
CONCORD - CONCORD MIDDLE,00670305,4.0,2.7,0.7,92.7,0.0,45.0,55.0
CONCORD - THOREAU,00670020,3.5,3.1,0.8,92.5,0.0,50.0,50.0
CONCORD - WILLARD,00670030,5.6,4.1,1.5,88.7,0.0,45.3,54.7
CONCORD-CARLISLE - CONCORD CARLISLE HIGH,06400505,8.2,4.3,3.4,84.0,0.1,50.7,49.3
CONWAY - CONWAY GRAMMAR,00680005,1.5,1.5,1.5,95.6,0.0,49.3,50.7
DANVERS - DANVERS HIGH,00710505,1.2,2.0,0.7,96.1,0.0,43.8,56.2
DANVERS - DUNN MIDDLE,00710305,0.2,0.7,0.6,98.5,0.0,51.4,48.6
DANVERS - GREAT OAK,00710015,0.3,0.8,0.5,98.4,0.0,50.8,49.2
DANVERS - HIGHLANDS,00710010,0.3,2.5,0.6,96.6,0.0,51.7,48.3
