SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Beverly - Briscoe Middle,00300305,2.2,1.6,6.8,88.1,0.1,0.1,1.1,48.9,51.1
Beverly - Centerville Elementary,00300010,3.4,1.3,8.8,83.9,0.0,0.0,2.6,49.2,50.8
Beverly - Cove Elementary,00300015,1.8,2.5,6.0,87.1,0.0,0.2,2.5,53.0,47.0
Beverly - Hannah Elementary,00300033,2.1,1.1,6.1,88.5,0.0,0.0,2.1,52.5,47.5
Beverly - North Beverly Elementary,00300040,1.8,1.3,8.5,84.8,0.0,0.3,3.4,51.4,48.6
Billerica - Billerica Memorial High School,00310505,1.1,2.1,2.4,92.7,0.1,0.1,1.6,50.6,49.4
Billerica - Eugene C Vining,00310030,0.4,1.8,2.2,91.5,0.4,1.1,2.6,51.8,48.2
Billerica - Frederick J Dutile,00310007,1.7,2.4,1.7,91.8,0.0,0.0,2.4,50.5,49.5
Billerica - Hajjar Elementary,00310026,1.5,4.1,2.2,90.0,0.2,0.2,1.9,52.6,47.4
Billerica - John F Kennedy,00310012,0.9,1.3,2.4,95.0,0.0,0.0,0.4,53.6,46.4
Billerica - Locke Middle,00310310,1.0,2.7,1.3,94.1,0.0,0.1,0.7,52.8,47.2
Billerica - Marshall Middle School,00310305,1.7,3.0,1.2,92.7,0.1,0.1,1.1,49.7,50.3
Billerica - Parker,00310015,3.1,7.7,3.1,84.1,0.0,0.0,2.0,53.7,46.3
Billerica - Thomas Ditson,00310005,1.1,6.9,2.7,87.4,0.0,0.0,2.0,52.8,47.2
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,0.5,0.5,3.0,93.3,0.1,0.0,2.6,56.2,43.8
Blackstone-Millville - A F Maloney,06220015,0.4,0.9,2.2,94.8,0.0,0.0,1.7,43.9,56.1
Blackstone-Millville - Blackstone Millville RHS,06220505,1.5,1.3,2.2,94.9,0.0,0.0,0.2,46.9,53.1
Blackstone-Millville - Frederick W. Hartnett Middle School,06220405,1.8,1.4,3.2,89.2,0.4,0.0,4.0,56.6,43.4
Blackstone-Millville - John F Kennedy Elem,06220008,1.8,0.9,4.9,90.4,0.0,0.0,2.0,50.9,49.1
Blackstone-Millville - Millville Elem,06220010,0.0,0.0,1.2,95.6,0.9,0.0,2.3,52.6,47.4
Blue Hills Regional Vocational Technical - Blue Hills Reg Voc Tech,08060605,17.5,1.1,6.4,70.7,0.0,0.0,4.4,58.3,41.7
Boston - Agassiz,00350007,17.1,0.6,78.3,2.6,0.2,0.0,1.2,51.2,48.8
Boston - Another Course To College,00350541,44.9,3.9,40.6,10.6,0.0,0.0,0.0,42.0,58.0
Boston - Baldwin ELC,00350003,22.1,15.0,40.0,22.9,0.0,0.0,0.0,53.6,46.4
Boston - Beethoven,00350021,22.5,6.3,35.4,31.6,0.4,0.4,3.5,55.4,44.6
Boston - Blackstone,00350390,13.9,0.5,82.4,2.1,0.0,0.0,1.1,52.0,48.0
Boston - Boston Adult Academy,00350548,56.4,13.2,29.5,0.9,0.0,0.0,0.0,57.7,42.3
Boston - Boston Arts Academy,00350546,41.2,3.7,36.0,14.2,0.9,0.5,3.5,41.6,58.4
Boston - Boston Community Leadership Academy,00350558,46.2,3.9,39.9,8.1,0.0,0.5,1.4,42.9,57.1
Boston - Boston International  High School,00350507,21.3,2.5,70.8,4.5,0.0,0.0,1.0,52.0,48.0
Boston - Boston Latin,00350560,12.1,27.8,8.6,49.0,0.1,0.0,2.4,43.3,56.7
Boston - Boston Latin Academy,00350545,27.4,21.9,17.6,30.4,0.7,0.1,1.9,43.7,56.3
Boston - Boston Middle School Academy,00350413,83.3,0.0,8.3,8.3,0.0,0.0,0.0,100.0,0.0
Boston - Boston Teachers Union School,00350012,37.3,2.1,42.3,17.6,0.0,0.0,0.7,50.7,49.3
Boston - Brighton High,00350505,38.0,3.3,52.7,5.0,0.5,0.1,0.4,53.8,46.2
Boston - Brook Farm Business and Service Career Academ,00350576,35.4,2.0,51.2,10.2,0.3,0.0,0.9,53.2,46.8
Boston - Carter Developmental Center,00350036,50.0,8.3,33.3,8.3,0.0,0.0,0.0,62.5,37.5
Boston - Charles H Taylor,00350054,79.6,1.5,15.8,0.6,1.1,0.0,1.5,54.6,45.4
Boston - Charles Sumner,00350052,19.5,1.0,71.6,6.4,0.0,0.2,1.4,55.5,44.5
Boston - Charlestown High,00350515,39.3,22.4,30.4,6.8,0.2,0.0,0.9,51.4,48.6
Boston - Clarence R Edwards Middle,00350430,24.2,14.9,46.6,12.5,0.4,0.0,1.4,54.2,45.8
Boston - Community Academy,00350518,79.2,3.8,15.1,1.9,0.0,0.0,0.0,67.9,32.1
Boston - Community Academy of Science and Health,00350581,74.6,0.8,22.8,1.1,0.3,0.0,0.5,48.4,51.6
Boston - Curley K-8 School,00350020,18.6,3.0,58.8,18.0,0.0,0.0,1.6,52.3,47.7
Boston - Curtis Guild,00350062,2.0,0.7,86.2,10.8,0.3,0.0,0.0,54.5,45.5
Boston - Dante Alighieri,00350066,8.5,3.8,71.5,13.1,0.0,0.0,3.1,48.5,51.5
Boston - David A Ellis,00350072,38.4,0.6,59.0,1.3,0.3,0.0,0.3,52.4,47.6
Boston - Dearborn,00350074,66.9,0.0,26.8,2.8,0.0,0.7,2.8,50.9,49.1
Boston - Dennis C Haley,00350077,34.8,1.4,37.3,22.5,0.7,0.0,3.3,50.7,49.3
Boston - Donald Mckay,00350080,1.8,0.8,89.2,7.5,0.0,0.0,0.7,52.0,48.0
Boston - Dorchester Academy,00350651,65.0,3.2,27.6,2.6,0.9,0.0,0.7,48.7,51.3
Boston - Dr. Catherine Ellison-Rosa Parks Early Ed Sch,00350008,54.3,6.4,36.2,1.1,0.0,0.0,2.1,51.1,48.9
Boston - East Boston ECC,00350009,2.4,2.4,79.0,13.8,1.2,0.0,1.2,52.7,47.3
Boston - East Boston High,00350530,15.7,2.0,65.1,16.0,0.3,0.0,0.9,54.4,45.6
Boston - Edison K-8,00350375,30.1,12.5,42.9,10.9,1.3,0.1,2.1,54.8,45.2
Boston - Edward Everett,00350088,39.2,21.2,22.7,12.3,0.0,0.4,4.2,53.8,46.2
Boston - Egleston Comm High School,00350543,40.9,1.1,52.7,4.3,0.0,0.0,1.1,38.7,61.3
Boston - ELC - East Zone,00350005,51.6,0.8,41.1,3.2,0.0,0.0,3.2,50.0,50.0
Boston - ELC - West Zone,00350006,34.0,5.3,38.3,18.1,1.1,0.0,3.2,51.1,48.9
Boston - Elihu Greenwood,00350094,56.2,0.3,38.3,3.2,0.6,0.0,1.4,57.1,42.9
Boston - Eliot Elementary,00350096,17.0,4.3,41.9,33.2,0.0,0.0,3.6,50.9,49.1
Boston - Ellis Mendell,00350100,33.9,0.5,57.0,6.5,0.0,0.0,2.2,49.5,50.5
Boston - Emily A Fifield,00350102,70.6,2.3,20.8,2.3,0.3,0.0,3.6,45.9,54.1
Boston - Excel High School,00350522,33.9,31.4,20.9,12.8,0.3,0.0,0.8,60.7,39.3
Boston - Farragut,00350108,32.9,9.3,52.8,1.9,0.9,0.0,2.3,52.8,47.2
Boston - Fenway High School,00350540,40.5,2.4,46.4,8.7,0.3,0.3,1.4,44.3,55.7
Boston - Franklin D Roosevelt,00350116,36.5,1.0,35.5,25.6,0.2,0.2,1.0,51.2,48.8
Boston - Gardner Pilot Academy,00350326,13.4,8.7,61.3,14.0,0.3,0.3,2.0,53.2,46.8
Boston - George H Conley,00350122,26.9,1.5,48.8,18.9,0.0,0.0,4.0,55.2,44.8
Boston - Harbor School,00350426,68.6,2.1,18.8,6.6,0.7,0.3,2.8,47.7,52.3
Boston - Harvard-Kent,00350200,21.1,29.6,37.7,9.6,0.7,0.0,1.3,53.3,46.7
Boston - Haynes Early Education Center,00350010,39.0,2.2,51.1,3.8,0.5,0.0,3.3,49.5,50.5
Boston - Henry Grew,00350135,56.9,0.8,35.7,3.9,0.4,0.0,2.4,53.7,46.3
Boston - Higginson/Lewis K-8,00350377,55.1,0.8,38.6,2.6,0.8,0.0,2.1,53.5,46.5
Boston - Horace Mann School for the Deaf,00350750,31.2,10.9,36.2,19.6,0.0,0.0,2.2,51.4,48.6
Boston - Hugh Roe O'Donnell,00350141,3.0,4.9,77.2,14.2,0.0,0.0,0.7,54.9,45.1
Boston - Jackson Mann,00350013,36.0,10.4,37.9,12.6,0.6,0.0,2.6,53.3,46.7
Boston - James Condon Elem,00350146,41.0,8.6,27.2,19.3,0.7,0.0,3.2,49.9,50.1
Boston - James J Chittick,00350154,70.8,0.7,24.1,2.4,0.3,0.0,1.7,50.2,49.8
Boston - James Otis,00350156,3.2,0.9,80.1,15.5,0.0,0.0,0.3,51.9,48.1
Boston - James P Timilty Middle,00350485,40.3,1.2,53.9,3.0,0.6,0.0,1.0,49.1,50.9
Boston - James W Hennigan,00350153,29.0,1.9,60.8,6.1,0.0,0.4,1.9,49.9,50.1
Boston - Jeremiah E Burke High,00350525,69.6,2.4,23.1,1.7,0.4,0.4,2.4,51.9,48.1
Boston - John D Philbrick,00350172,27.0,1.5,37.2,29.9,0.7,0.0,3.6,59.9,40.1
Boston - John F Kennedy,00350166,16.8,0.3,80.1,2.0,0.0,0.0,0.9,52.3,47.7
Boston - John Marshall,00350178,52.3,1.8,40.9,1.4,1.4,0.1,2.0,49.9,50.1
Boston - John P Holland,00350167,44.5,17.9,34.5,1.2,0.2,0.3,1.4,50.6,49.4
Boston - John W McCormack,00350179,36.5,12.6,39.0,10.3,0.3,0.2,1.1,56.9,43.1
Boston - John Winthrop,00350180,55.0,0.6,41.0,1.9,0.0,0.6,0.9,51.2,48.8
Boston - Joseph J Hurley,00350182,13.0,0.9,71.0,13.3,0.0,0.0,1.9,50.0,50.0
Boston - Joseph Lee,00350183,63.8,3.8,26.5,2.6,0.3,0.6,2.3,52.2,47.8
Boston - Joseph P Manning,00350184,21.6,5.9,25.5,40.5,2.0,0.0,4.6,54.2,45.8
Boston - Joseph P Tynan,00350181,38.8,6.5,23.7,28.0,0.9,0.0,2.2,53.8,46.2
Boston - Josiah Quincy,00350286,12.2,61.3,16.8,7.7,0.1,0.0,1.9,53.9,46.1
Boston - Joyce Kilmer,00350190,8.1,6.2,25.7,56.3,0.0,0.0,3.8,53.7,46.3
Boston - King K-8,00350376,59.1,1.2,34.5,1.7,1.0,0.5,1.9,51.1,48.9
Boston - Lee Academy,00350001,60.1,6.0,24.9,6.0,0.4,0.0,2.5,52.7,47.3
Boston - Lilla G. Frederick Middle School,00350383,51.0,0.9,41.9,3.4,0.8,0.0,2.0,48.8,51.2
Boston - Lyndon,00350262,7.2,1.9,39.4,50.1,0.4,0.0,1.0,50.3,49.7
Boston - Lyon Upper 9-12,00350655,22.2,11.1,44.4,22.2,0.0,0.0,0.0,66.7,33.3
Boston - Madison Park High,00350537,47.8,1.1,44.9,3.9,0.4,0.3,1.7,56.5,43.5
Boston - Manassah E Bradley,00350215,7.1,3.2,56.0,30.9,0.4,0.0,2.5,50.0,50.0
Boston - Mario Umana Middle School Academy,00350405,9.0,2.3,71.1,16.8,0.2,0.0,0.6,49.8,50.2
Boston - Mary Lyon,00350004,13.8,8.1,27.6,46.3,0.8,0.0,3.3,67.5,32.5
Boston - Mather,00350227,37.7,39.5,15.7,2.6,0.2,0.2,4.2,50.8,49.2
Boston - Mattahunt,00350226,74.8,0.5,21.1,2.5,0.2,0.0,0.9,54.7,45.3
Boston - Maurice J Tobin,00350229,21.0,0.4,73.5,3.8,0.4,0.0,0.9,51.1,48.9
