SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,29.7,4.6,25.8,36.0,0.1,0.1,3.8,49.0,51.0
Abington - Abington ECC,00010003,0.8,1.1,1.7,95.9,0.4,0.0,0.2,52.8,47.2
Abington - Abington High,00010505,2.2,1.3,2.3,92.1,0.5,0.0,1.6,51.3,48.7
Abington - Center,00010005,3.4,0.4,4.3,91.5,0.0,0.4,0.0,50.6,49.4
Abington - Frolio Middle School,00010405,0.5,1.3,4.0,93.7,0.0,0.0,0.5,47.9,52.1
Abington - Woodsdale,00010015,1.7,1.1,3.2,93.1,0.0,0.0,0.9,51.2,48.8
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public Sch,04120530,58.7,2.9,16.0,20.3,0.0,0.0,2.1,50.6,49.4
Acton - Douglas,00020020,1.0,19.4,3.0,68.5,0.0,0.0,8.0,55.5,44.5
Acton - Gates,00020025,7.6,28.0,1.2,59.6,0.0,0.0,3.7,56.9,43.1
Acton - Luther Conant,00020030,0.6,42.6,2.0,51.8,0.2,0.0,2.8,47.2,52.8
Acton - McCarthy-Towne,00020015,1.2,9.7,5.0,80.7,0.0,0.0,3.4,47.3,52.7
Acton - Merriam,00020010,8.0,20.7,2.4,66.2,0.3,0.0,2.4,49.0,51.0
Acton-Boxborough - Acton-Boxborough Reg High,06000505,0.9,20.7,2.9,73.8,0.1,0.1,1.6,52.5,47.5
Acton-Boxborough - Raymond J Grey JH,06000405,0.5,22.4,3.6,71.4,0.2,0.0,1.8,47.4,52.6
Acushnet - Acushnet Elementary Sch,00030025,0.0,0.4,0.0,99.6,0.0,0.0,0.0,50.4,49.6
Acushnet - Albert F Ford Middle Sch,00030305,1.0,0.2,0.6,98.1,0.0,0.0,0.0,54.1,45.9
Adams-Cheshire - Cheshire Elementary,06030004,0.7,0.4,0.4,98.1,0.4,0.0,0.0,51.9,48.1
Adams-Cheshire - Hoosac Valley High,06030505,1.7,0.6,0.7,96.1,0.4,0.1,0.3,51.3,48.7
Adams-Cheshire - Plunkett Elementary,06030020,4.0,1.3,2.4,91.8,0.5,0.0,0.0,55.2,44.8
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter Sch,04300305,2.0,26.3,4.2,64.9,0.5,0.0,2.0,54.4,45.6
Agawam - Agawam ECC,00050003,0.0,0.8,3.1,94.5,0.0,0.0,1.6,63.3,36.7
Agawam - Agawam High,00050505,0.9,0.6,0.8,97.1,0.0,0.0,0.5,49.6,50.4
Agawam - Agawam Junior High,00050405,1.7,1.7,3.5,91.6,0.4,0.4,0.8,54.4,45.6
Agawam - Agawam Middle School,00050303,1.0,1.6,4.3,92.1,0.3,0.1,0.6,51.6,48.4
Agawam - Benjamin J Phelps,00050020,1.1,2.7,1.9,92.8,0.0,0.0,1.6,50.5,49.5
Agawam - Clifford M Granger,00050010,1.0,2.3,4.9,89.2,0.0,0.0,2.6,49.0,51.0
Agawam - James Clark School,00050030,0.8,0.5,6.6,90.1,0.0,0.0,1.9,50.5,49.5
Agawam - Robinson Park,00050025,1.4,1.4,1.4,95.9,0.0,0.0,0.0,48.5,51.5
Amesbury - Amesbury Elementary,00070005,0.9,0.7,4.6,90.8,0.0,0.0,3.0,55.0,45.0
Amesbury - Amesbury High,00070505,1.5,1.0,2.5,92.6,0.3,0.3,1.8,52.4,47.6
Amesbury - Amesbury Middle,00070013,0.4,0.7,4.1,92.4,0.1,0.0,2.4,52.7,47.3
Amesbury - Charles C Cashman El,00070010,0.4,0.5,4.7,93.3,0.0,0.0,1.1,52.5,47.5
Amesbury Academy Charter Public School - Academy of Strategic Learning Charter School,04150505,2.0,0.0,8.0,90.0,0.0,0.0,0.0,50.0,50.0
Amherst - Crocker Farm Elementary,00080009,8.5,8.5,30.5,46.9,0.9,0.9,3.8,52.2,47.8
Amherst - Fort River Elementary,00080020,8.3,15.7,14.3,52.3,0.0,0.5,9.0,51.6,48.4
Amherst - Marks Meadow Elementary School,00080030,11.2,15.7,11.2,50.0,0.0,0.0,11.8,46.1,53.9
Amherst - Wildwood Elementary,00080050,4.6,11.7,11.4,60.9,0.0,0.0,11.4,50.8,49.2
Amherst-Pelham - Amherst Regional High,06050505,7.9,9.1,11.0,66.8,0.3,0.1,4.9,49.1,50.9
Amherst-Pelham - Amherst Regional MS,06050405,5.7,8.5,15.6,59.8,0.0,0.0,10.3,51.1,48.9
Andover - Andover High,00090505,2.0,10.1,3.4,82.6,0.1,0.0,1.9,50.9,49.1
Andover - Andover West Middle,00090310,0.9,11.2,2.6,81.9,0.6,0.0,2.8,51.2,48.8
Andover - Bancroft Elementary,00090003,1.1,6.0,5.1,82.9,0.2,0.0,4.7,48.8,51.2
Andover - Doherty Middle,00090305,1.5,7.3,2.0,87.1,0.0,0.0,2.2,50.8,49.2
Andover - Henry C Sanborn Elem,00090010,0.3,9.3,3.4,86.8,0.0,0.0,0.3,49.9,50.1
Andover - High Plain Elementary,00090004,1.0,21.4,5.5,70.4,0.2,0.0,1.5,52.9,47.1
Andover - Shawsheen School,00090005,3.2,10.6,1.4,83.7,0.0,0.0,1.1,56.7,43.3
Andover - South Elementary,00090020,0.2,7.8,0.9,89.8,0.0,0.0,1.4,50.3,49.7
Andover - West Elementary,00090025,1.3,11.1,3.4,81.2,0.0,0.0,3.0,50.7,49.3
Andover - Wood Hill Middle School,00090350,0.5,18.1,5.5,74.4,0.0,0.0,1.5,51.1,48.9
Arlington - Arlington High,00100505,5.3,7.6,5.1,79.6,0.3,0.2,2.0,48.9,51.1
Arlington - Brackett,00100010,0.7,6.8,3.6,85.0,0.0,0.0,3.9,54.9,45.1
Arlington - Cyrus E Dallin,00100025,2.2,8.5,3.5,80.3,0.0,0.0,5.5,48.1,51.9
Arlington - Hardy,00100030,3.1,19.7,5.4,68.7,0.0,0.3,2.8,49.0,51.0
Arlington - John A Bishop,00100005,4.5,8.7,4.2,80.9,0.0,0.0,1.7,49.4,50.6
Arlington - M Norcross Stratton,00100055,2.1,8.2,3.3,81.8,0.0,0.0,4.5,53.9,46.1
Arlington - Menotomy Preschool,00100038,8.5,10.2,8.5,71.2,0.0,0.0,1.7,50.8,49.2
Arlington - Ottoson Middle,00100410,3.8,7.6,5.5,80.9,0.1,0.0,2.1,49.6,50.4
Arlington - Peirce,00100045,4.6,8.0,9.3,72.6,0.0,0.4,5.1,49.4,50.6
Arlington - Thompson,00100050,3.5,19.6,8.2,65.2,0.0,0.3,3.2,47.2,52.8
Ashburnham-Westminster - Briggs Elem,06100025,0.2,0.9,2.2,95.3,0.0,0.0,1.3,49.9,50.1
Ashburnham-Westminster - Meetinghouse School,06100010,0.5,3.6,3.6,91.8,0.0,0.0,0.5,56.4,43.6
Ashburnham-Westminster - Oakmont Regional H S,06100505,1.2,1.2,3.5,92.2,0.1,0.1,1.6,52.1,47.9
Ashburnham-Westminster - Overlook Middle School,06100305,0.9,0.7,5.7,90.3,0.4,0.0,2.1,49.6,50.4
Ashburnham-Westminster - Westminster Elem,06100005,0.5,1.7,3.2,92.7,0.0,0.0,2.0,51.7,48.3
Ashland - Ashland High,00140505,2.4,3.6,4.0,89.3,0.0,0.0,0.7,49.7,50.3
Ashland - Ashland Middle,00140405,4.5,4.4,6.9,82.4,0.0,0.0,1.8,52.9,47.1
Ashland - David Mindess,00140015,2.3,9.1,5.4,81.7,0.0,0.0,1.5,49.5,50.5
Ashland - Henry E Warren Elem,00140010,1.3,12.0,8.1,76.0,0.4,0.0,2.2,50.7,49.3
Ashland - William Pittaway Elem,00140005,2.1,10.5,7.3,77.0,0.0,0.0,3.1,46.1,53.9
Assabet Valley Regional Vocational Technical - Assabet Valley Voc HS,08010605,1.1,0.3,14.8,81.1,0.4,0.0,2.2,62.0,38.0
Athol-Royalston - Athol High,06150505,0.9,1.3,4.3,90.8,0.4,0.2,2.2,55.7,44.3
Athol-Royalston - Athol-Royalston Middle School,06150305,3.3,0.4,1.3,92.2,0.2,0.2,2.2,50.9,49.1
Athol-Royalston - Ellen Bigelow,06150005,3.2,0.0,0.0,90.3,0.0,0.0,6.5,87.1,12.9
Athol-Royalston - Pleasant St,06150016,3.7,0.8,4.5,86.5,0.4,0.0,4.1,53.9,46.1
Athol-Royalston - Riverbend,06150020,5.2,3.9,7.7,80.6,0.0,0.0,2.6,53.5,46.5
Athol-Royalston - Royalston Community Sch,06150050,0.0,0.0,4.2,91.5,0.0,0.0,4.2,44.8,55.2
Athol-Royalston - Sanders Street,06150025,0.0,0.0,6.9,90.2,0.6,0.0,2.3,50.9,49.1
Atlantis Charter (District) - Atlantis Charter School,04910550,4.1,2.9,5.6,84.3,0.3,0.0,2.9,49.7,50.3
Attleboro - A. Irvin Studley Elementary School,00160001,3.0,3.9,24.1,64.8,0.5,0.0,3.7,49.8,50.2
Attleboro - Attleboro High,00160505,4.6,6.0,8.6,78.0,0.4,0.5,2.0,50.5,49.5
Attleboro - Cyril K. Brennan Middle School,00160315,4.1,4.0,11.5,76.1,0.7,0.0,3.6,57.0,43.0
Attleboro - Early Learning Center,00160008,1.9,3.8,6.4,86.0,0.0,0.0,1.9,66.2,33.8
Attleboro - Hill-Roberts Elementary School,00160045,2.1,5.1,8.4,79.4,0.0,0.2,4.8,52.8,47.2
Attleboro - Hyman Fine Elementary School,00160040,2.8,4.9,11.0,75.3,1.2,0.2,4.7,50.6,49.4
Attleboro - Peter Thacher Elementary School,00160050,3.9,3.9,13.0,72.6,0.4,0.0,6.3,51.4,48.6
Attleboro - Robert J. Coelho Middle School,00160305,3.0,3.2,5.0,86.4,0.3,0.0,2.0,50.3,49.7
Attleboro - Thomas E. Willett School,00160035,4.0,3.8,8.5,77.1,0.3,0.0,6.3,55.8,44.2
Attleboro - Wamsutta Middle School,00160320,5.1,6.3,14.0,70.3,1.2,0.0,3.1,51.5,48.5
Auburn - Auburn Middle,00170305,0.9,1.6,3.6,92.4,0.2,0.0,1.3,49.8,50.2
Auburn - Auburn Senior High,00170505,1.7,2.9,3.5,89.9,0.5,0.0,1.4,48.0,52.0
Auburn - Bryn Mawr,00170010,0.0,1.2,3.2,92.0,0.4,0.0,3.2,49.0,51.0
Auburn - Julia Bancroft,00170005,1.2,3.5,7.3,83.4,0.8,0.0,3.9,49.0,51.0
Auburn - Mary D Stone,00170025,0.3,3.4,4.7,89.6,0.0,0.0,2.0,50.8,49.2
Auburn - Pakachoag,00170015,2.2,2.9,0.7,92.4,0.4,0.0,1.4,51.1,48.9
Avon - Avon Middle High School,00180510,22.9,4.0,4.3,66.5,0.9,0.3,1.1,49.6,50.4
Avon - Ralph D Butler,00180010,20.3,4.5,4.5,66.4,0.8,0.0,3.5,52.6,47.4
Ayer - Ayer High,00190510,6.6,2.5,8.8,71.5,0.8,0.0,9.9,50.7,49.3
Ayer - Ayer Middle,00190305,5.3,4.9,11.1,73.4,0.4,0.0,4.9,56.6,43.4
Ayer - Page-Hilltop,00190025,6.1,2.4,7.5,76.7,0.7,0.5,6.1,54.3,45.7
Barnstable - Barnstable Early Learning Center,00200004,13.0,2.6,3.5,77.4,0.0,0.0,3.5,51.3,48.7
Barnstable - Barnstable High,00200505,4.9,1.7,5.9,81.6,1.4,0.5,4.0,50.1,49.9
Barnstable - Barnstable Intermediate School,00200315,5.3,1.4,3.7,83.9,1.4,0.2,4.2,50.8,49.2
Barnstable - Centerville Elementary,00200010,3.0,0.4,5.5,86.9,1.7,0.4,2.1,47.3,52.7
Barnstable - Hyannis West Elementary,00200025,13.8,1.0,19.2,56.1,1.3,0.3,8.3,53.8,46.2
Barnstable - West Barnstable Elem,00200005,1.2,1.6,2.8,91.2,0.8,0.0,2.4,51.4,48.6
Barnstable - West Villages Elementary School,00200045,0.7,0.9,1.6,93.7,0.0,0.7,2.5,49.2,50.8
Barnstable Community Horace Mann Charter Public (District) - Barnstable Community Horace Mann Charter Publ,04270010,7.5,1.2,6.3,81.2,1.2,0.3,2.4,49.9,50.1
Barnstable Horace Mann Charter (District) - Barnstable Horace Mann Charter School,04230010,4.4,1.9,6.1,82.6,0.9,0.3,3.9,52.0,48.0
Bedford - Bedford High,00230505,5.4,9.2,3.6,79.4,0.8,0.0,1.7,48.9,51.1
Bedford - John Glenn Middle,00230305,6.8,12.2,3.6,75.4,0.5,0.0,1.4,49.1,50.9
Bedford - Lt Elezer Davis,00230010,17.7,10.5,5.7,59.9,2.1,0.0,4.2,50.4,49.6
Bedford - Lt Job Lane School,00230012,6.0,11.3,4.1,73.2,0.2,0.2,5.0,50.2,49.8
Belchertown - Belchertown High,00240505,1.2,2.6,2.4,91.7,0.1,0.5,1.4,50.4,49.6
Belchertown - Chestnut Hill Community School,00240006,1.9,2.0,2.5,91.0,0.2,0.2,2.2,50.8,49.2
Belchertown - Cold Spring,00240005,1.0,2.9,3.4,89.3,0.0,0.5,2.9,51.9,48.1
Belchertown - Jabish Middle School,00240025,2.2,2.4,4.0,88.7,0.2,0.0,2.4,51.8,48.2
Belchertown - Swift River Elem,00240018,1.0,1.0,3.6,92.9,0.2,0.0,1.3,57.1,42.9
Bellingham - Bellingham ECC,00250003,3.8,4.8,0.0,91.3,0.0,0.0,0.0,49.0,51.0
Bellingham - Bellingham High School,00250505,1.7,2.7,3.1,90.9,0.5,0.0,1.1,51.2,48.8
Bellingham - Bellingham Memorial Middle School,00250315,1.7,3.0,3.7,89.6,0.4,0.0,1.6,50.2,49.8
Bellingham - Clara Macy Elementary,00250009,1.5,3.3,2.9,90.4,0.4,0.0,1.5,51.1,48.9
Bellingham - Primavera Jr/Sr H S,00250510,10.0,0.0,10.0,76.7,3.3,0.0,0.0,80.0,20.0
Bellingham - South Elem,00250020,1.4,5.1,2.6,88.1,0.2,0.0,2.6,53.4,46.6
Bellingham - Stall Brook,00250025,2.0,4.5,1.2,90.2,0.4,0.0,1.6,53.3,46.7
Belmont - Belmont High,00260505,4.1,13.9,4.3,74.7,0.0,0.0,3.0,50.3,49.7
Belmont - Daniel Butler,00260015,6.5,20.1,7.1,60.2,0.0,0.0,6.2,50.4,49.6
Belmont - Mary Lee Burbank,00260010,3.5,12.6,3.2,76.9,0.0,0.0,3.8,49.7,50.3
Belmont - Roger E Wellington,00260035,4.6,10.9,3.3,76.7,0.0,0.7,3.9,47.1,52.9
Belmont - Winn Brook,00260005,2.4,12.6,2.6,79.8,0.0,0.0,2.4,50.3,49.7
Belmont - Winthrop L Chenery Middle,00260305,3.2,13.3,3.9,72.5,0.1,0.0,7.1,46.2,53.8
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,79.4,1.8,14.7,0.6,0.3,0.0,3.1,43.6,56.4
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public Sc,04470205,0.2,13.9,0.9,81.9,0.2,0.0,2.8,48.6,51.4
Berkley - Berkley Community School,00270010,1.0,0.2,0.8,96.5,0.0,0.0,1.6,50.1,49.9
Berkley - Berkley Middle School,00270305,1.2,0.5,2.2,94.1,0.0,0.0,2.0,52.5,47.5
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public,04140305,4.6,0.0,2.8,91.2,0.5,0.0,0.9,45.8,54.2
Berkshire Hills - Monument Mt Reg High,06180505,1.7,0.5,3.8,91.0,0.0,0.0,3.0,51.4,48.6
Berkshire Hills - Monument Valley Regional Middle School,06180310,1.9,0.8,4.3,90.2,0.0,0.3,2.4,54.7,45.3
Berkshire Hills - Muddy Brook Regional Elementary School,06180035,0.7,1.2,9.3,87.0,0.0,0.7,1.0,49.4,50.6
Berlin - Berlin Memorial,00280005,0.0,0.5,0.9,96.7,0.0,0.0,1.9,57.1,42.9
Berlin-Boylston - Tahanto Reg High,06200505,0.7,2.5,1.6,93.7,0.2,0.0,1.4,41.9,58.1
Beverly - Ayers/Ryal Side Sch,00300055,2.5,4.9,7.2,82.6,0.0,0.0,2.9,57.3,42.7
Beverly - Beverly High,00300505,3.4,1.6,6.6,87.0,0.0,0.1,1.4,46.5,53.5
