SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,Males,Females
Abington - Abington High,00010505,0.4,0.9,,98.7,,49.7,50.3
Abington - Center,00010005,1.5,0.6,0.6,97.4,,50.4,49.6
Abington - Frolio Jr Hs,00010405,0.6,0.8,0.8,97.8,,50.3,49.7
Abington - North,00010010,0.2,0.2,0.7,98.9,,49.4,50.6
Abington - Woodsdale,00010015,0.4,1.0,0.8,97.7,,52.0,48.0
Acton - Douglas,00020020,0.9,6.6,0.9,91.5,,46.1,53.9
Acton - Gates,00020025,,7.6,0.9,91.5,,48.4,51.6
Acton - Luther Conant,00020030,2.1,9.4,1.9,86.5,,50.7,49.3
Acton - McCarthy-Towne,00020015,1.1,3.8,2.4,92.5,0.2,53.0,47.0
Acton - Merriam,00020010,0.5,3.0,0.5,96.0,,53.8,46.2
Acton-Boxborough - Acton-Boxborough Reg High,06000505,0.9,4.7,1.3,92.5,0.6,51.7,48.3
Acton-Boxborough - Raymond J Grey JH,06000405,0.8,6.1,2.1,90.3,0.6,49.7,50.3
Acushnet - Acushnet Elementary Sch,00030025,0.9,0.5,0.3,98.3,,54.2,45.8
Acushnet - ALBERT F FORD MIDDLE SCH,00030405,,,,,,0.0,0.0
Adams-Cheshire - ADAMS MEMORIAL PRIMARY,06030012,,,,,,0.0,0.0
Adams-Cheshire - Cheshire Elementary,06030004,0.5,0.5,0.5,97.9,0.5,54.6,45.4
Adams-Cheshire - Hoosac Valley High,06030505,0.4,0.2,,99.4,,46.7,53.3
Adams-Cheshire - Plunkett Elementary,06030020,0.3,1.7,,98.0,,50.7,49.3
Agawam - Agawam High,00050505,1.1,0.6,1.6,96.7,,53.4,46.6
Agawam - Agawam Junior High,00050405,0.7,0.9,1.7,96.7,,52.9,47.1
Agawam - Agawam Middle School,00050303,0.8,0.3,0.8,98.2,,53.1,46.9
Agawam - Benjamin J Phelps,00050020,0.8,1.3,0.8,97.2,,52.2,47.8
Agawam - Clifford M Granger,00050010,0.4,3.7,1.1,94.5,0.2,52.3,47.7
Agawam - James Clark School,00050030,1.0,0.3,1.0,97.7,,52.5,47.5
Agawam - Robinson Park,00050025,1.2,1.4,2.7,94.7,,51.7,48.3
Amesbury - Amesbury Elementary,00070005,1.2,0.2,,98.6,,50.0,50.0
Amesbury - Amesbury High,00070505,0.5,0.7,0.3,98.5,,49.2,50.8
Amesbury - Amesbury Middle,00070013,0.4,0.2,0.5,98.8,0.2,52.9,47.1
Amesbury - Charles C Cashman El,00070010,1.2,0.6,0.4,97.8,,52.8,47.2
Amesbury - HORACE MANN,00070003,,,,,,0.0,0.0
Amherst - Crocker Farm Elementary,00080009,8.6,8.1,14.5,68.5,0.3,54.9,45.1
Amherst - Fort River Elementary,00080020,9.4,10.1,8.6,71.9,,51.2,48.8
Amherst - Marks Meadow Laboratory,00080030,12.8,16.4,19.2,51.6,,51.2,48.8
Amherst - Wildwood Elementary,00080050,10.4,12.9,7.1,69.6,,51.2,48.8
Amherst-Pelham - Amherst Regional High,06050505,8.2,11.3,9.0,71.4,0.1,53.2,46.8
Amherst-Pelham - Amherst Regional MS,06050405,9.8,8.5,8.4,73.1,0.2,52.3,47.7
Andover - Andover High,00090505,1.2,7.0,1.8,89.9,0.1,52.4,47.6
Andover - Andover West Middle,00090310,1.2,6.8,2.3,89.7,,50.5,49.5
Andover - Bancroft Elementary,00090003,1.0,4.8,2.2,92.0,,52.8,47.2
Andover - Doherty Middle,00090305,1.0,5.4,0.8,92.6,0.2,50.3,49.7
Andover - Henry C Sanborn Elem,00090010,0.2,7.1,,92.7,,49.8,50.2
Andover - Shawsheen School,00090005,1.0,5.7,1.9,91.4,,52.4,47.6
Andover - South Elementary,00090020,,11.1,0.2,88.7,,52.3,47.7
Andover - West Elementary,00090025,0.1,3.0,3.1,93.8,,52.9,47.1
Arlington - Arlington High,00100505,3.9,4.5,1.1,90.5,,47.3,52.7
Arlington - Brackett,00100010,2.9,3.2,0.8,93.0,,48.8,51.2
Arlington - Cyrus E Dallin,00100025,3.2,3.2,1.1,92.5,,53.6,46.4
Arlington - Hardy,00100030,7.1,6.5,5.1,81.1,0.3,55.4,44.6
Arlington - John A Bishop,00100005,1.5,4.9,2.4,91.2,,52.4,47.6
Arlington - M Norcross Stratton,00100055,4.3,3.1,2.5,90.1,,54.0,46.0
Arlington - Ottoson Middle,00100410,6.0,3.6,3.6,86.5,0.4,52.0,48.0
Arlington - Peirce,00100045,17.9,4.9,3.0,74.1,,58.6,41.4
Arlington - Thompson,00100050,6.5,8.0,2.4,83.0,,50.9,49.1
Ashburnham-Westminster - Briggs Elem,06100025,0.4,0.5,1.1,97.9,0.2,55.7,44.3
Ashburnham-Westminster - Meetinghouse School,06100010,0.7,0.7,1.1,97.4,,46.3,53.7
Ashburnham-Westminster - Oakmont Regional H S,06100505,0.4,0.6,0.9,97.7,0.4,48.7,51.3
Ashburnham-Westminster - VETERANS MEMORIAL,06100003,,,,,,0.0,0.0
Ashburnham-Westminster - Westminster Elem,06100005,2.0,1.5,1.7,94.8,,53.1,46.9
ASHFIELD-PLAINFIELD REG - SANDERSON ACADEMY,06120005,,,,,,0.0,0.0
Ashland - Ashland High,00140505,2.7,2.4,2.9,92.0,,47.5,52.5
Ashland - Ashland Middle,00140405,2.4,2.7,4.1,90.7,,47.7,52.3
Ashland - Henry E Warren Elem,00140010,2.3,0.7,4.0,93.0,,47.8,52.2
Ashland - William Pittaway Elem,00140005,2.2,2.0,2.8,93.0,,51.0,49.0
Assabet Valley - Assabet Valley Voc H S,08010605,1.6,0.5,4.7,92.6,0.6,54.4,45.6
Athol-Royalston - Athol High,06150505,0.3,1.2,1.7,96.5,0.3,48.3,51.7
Athol-Royalston - Athol-Royalston Middle School,06150305,0.3,1.0,0.6,98.1,,60.0,40.0
Athol-Royalston - Ellen Bigelow,06150005,1.0,,3.6,93.9,1.5,52.0,48.0
Athol-Royalston - Pleasant St,06150016,1.3,0.6,0.6,97.4,,49.5,50.5
Athol-Royalston - RAYMOND,06150045,,,,,,0.0,0.0
Athol-Royalston - Riverbend,06150020,0.9,,3.0,96.1,,53.5,46.5
Athol-Royalston - Sanders Street,06150025,1.6,1.0,3.1,93.8,0.5,54.2,45.8
Athol-Royalston - Silver Lake,06150030,0.8,,0.4,98.8,,53.0,47.0
Athol-Royalston - SOUTH ROYALSTON,06150040,,,,,,0.0,0.0
Attleboro - A. Irvin Studley Elementary School,00160001,2.1,14.2,5.4,78.3,,51.5,48.5
Attleboro - Attleboro High,00160505,2.2,5.1,5.2,87.5,,48.5,51.5
Attleboro - ATTLEBORO VOC TECH HIGH,00160605,,,,,,0.0,0.0
Attleboro - ATTLEBOROUGH ECC,00160005,,,,,,0.0,0.0
Attleboro - CYRIL K BRENNAN MIDDLE,00160415,,,,,,0.0,0.0
Attleboro - Hill-Roberts Elementary School,00160045,0.5,0.9,0.5,98.1,,52.9,47.1
Attleboro - Hyman Fine Elementary School,00160040,2.5,4.9,0.9,90.6,1.1,53.2,46.8
Attleboro - JOSEPH FINBERG,00160010,,,,,,0.0,0.0
Attleboro - PETER THACHER MIDDLE,00160410,,,,,,0.0,0.0
Attleboro - ROBERT J COELHO MIDDLE,00160405,,,,,,0.0,0.0
Attleboro - Thomas E. Willett School,00160035,2.4,3.2,3.9,90.5,,52.1,47.9
Auburn - Auburn Middle,00170305,0.8,0.6,0.4,98.2,,52.6,47.4
Auburn - Auburn Senior High,00170505,0.8,1.2,1.2,96.8,,46.4,53.6
Auburn - Bryn Mawr,00170010,1.4,1.7,2.4,94.1,0.3,56.3,43.7
Auburn - Julia Bancroft,00170005,1.0,0.7,1.0,97.2,,53.3,46.7
Auburn - Mary D Stone,00170025,0.3,1.5,0.6,97.6,,48.8,51.2
Auburn - Pakachoag,00170015,1.2,1.6,0.4,96.8,,50.4,49.6
Avon - AVON MIDDLE/HIGH SCHOOL,00180505,,,,,,0.0,0.0
Avon - Ralph D Butler,00180010,4.9,0.6,1.3,93.2,,55.0,45.0
Ayer - Ayer High,00190510,18.2,6.3,10.1,64.6,0.9,50.5,49.5
Ayer - PAGE,00190010,,,,,,0.0,0.0
Ayer - Page-Hilltop,00190025,15.5,4.6,5.1,74.6,0.2,52.6,47.4
Barnstable - Barnstable High,00200505,4.2,1.4,2.1,92.3,,50.1,49.9
Barnstable - BARNSTABLE MIDDLE SCHOOL,00200405,,,,,,0.0,0.0
Barnstable - Centerville Elementary,00200010,4.6,0.9,2.1,92.4,,52.8,47.2
Barnstable - Hyannis Elementary,00200020,20.3,0.5,4.3,73.0,2.0,52.7,47.3
Barnstable - Hyannis West Elementary,00200025,12.5,1.6,5.6,77.2,3.0,50.4,49.6
Barnstable - Marstons Mills East,00200032,2.8,1.6,0.9,94.0,0.7,55.7,44.3
Barnstable - Marstons Mills Elem,00200030,3.4,0.5,1.8,94.3,,55.0,45.0
Barnstable - MIDDLE SCHOOL GRADE 6,00200045,,,,,,0.0,0.0
Barnstable - Osterville Bay Elementary,00200040,1.0,0.7,1.7,96.7,,53.2,46.8
Barnstable - Osterville Elementary,00200035,1.0,,1.9,97.1,,55.1,44.9
Barnstable - West Barnstable Elem,00200005,0.6,1.1,,98.3,,48.8,51.2
Bedford - Bedford High,00230505,8.4,5.1,2.1,84.4,,50.6,49.4
Bedford - JOHN GLENN MIDDLE,00230405,,,,,,0.0,0.0
Bedford - Lt Elezer Davis,00230010,1.9,4.9,0.7,92.5,,52.1,47.9
Bedford - Lt Job Lane School,00230012,4.2,4.0,1.9,89.9,,55.5,44.5
Belchertown - Belchertown High,00240505,1.1,0.9,1.3,96.6,,45.4,54.6
Belchertown - Berkshire Avenue School,00240002,3.3,4.0,,92.7,,50.7,49.3
Belchertown - CENTER,00240003,,,,,,0.0,0.0
Belchertown - Chestnut Hill Community,00240004,1.0,0.3,0.7,97.9,0.1,48.2,51.8
Belchertown - Cold Spring,00240005,0.4,0.4,0.4,98.7,,50.6,49.4
Belchertown - FRANKLIN SCHOOL,00240010,,,,,,0.0,0.0
Belchertown - MEADOW SCHOOL,00240015,,,,,,0.0,0.0
Bellingham - Bellingham High School,00250505,2.0,0.6,1.8,95.4,0.2,49.7,50.3
Bellingham - Clara Macy Elementary,00250009,1.5,2.7,0.6,95.2,,48.9,51.1
Bellingham - Primavera Jr/Sr H S,00250510,3.2,,3.2,93.5,,77.4,22.6
Bellingham - South Elem,00250020,0.9,0.2,0.3,98.6,,51.5,48.5
Bellingham - Stall Brook,00250025,1.9,0.6,1.5,96.0,,51.1,48.9
Belmont - Belmont High,00260505,5.0,4.4,2.1,88.5,,49.4,50.6
Belmont - Daniel Butler,00260015,4.7,5.0,0.6,89.7,,46.9,53.1
Belmont - Mary Lee Burbank,00260010,3.4,6.5,0.6,89.4,,53.4,46.6
Belmont - Roger E Wellington,00260035,4.0,4.2,0.9,90.9,,51.4,48.6
Belmont - Winn Brook,00260005,2.7,5.2,1.6,90.5,,49.1,50.9
Belmont - WINTHROP L CHENERY MIDDLE,00260405,,,,,,0.0,0.0
Berkley - Berkley Community School,00270010,0.7,,,99.3,,51.9,48.1
Berkshire Hills - HOUSATONIC GRAMMAR,06180015,,,,,,0.0,0.0
Berkshire Hills - Monument Mt Reg High,06180505,2.1,0.9,1.8,95.3,,53.0,47.0
Berkshire Hills - SEARLES MIDDLE,06180405,,,,,,0.0,0.0
Berkshire Hills - Stockbridge Plain,06180030,2.9,1.0,2.6,93.6,,46.3,53.7
Berkshire Hills - VILLAGE,06180025,,,,,,0.0,0.0
Berkshire Hills - WILLIAM CULLEN BRYANT,06180005,,,,,,0.0,0.0
Berlin - Berlin Memorial,00280005,,,,100.0,,53.8,46.2
Berlin-Boylston - Tahanto Reg High,06200505,0.6,0.6,0.9,97.9,,50.4,49.6
Beverly - ABRAHAM EDWARDS,00300020,,,,,,0.0,0.0
Beverly - Ayers/Ryal Side Sch,00300055,0.2,1.2,0.5,98.0,,54.6,45.4
Beverly - Beverly High,00300505,2.1,1.2,1.9,94.6,0.2,48.7,51.3
Beverly - BRISCOE MIDDLE,00300405,,,,,,0.0,0.0
Beverly - Centerville Elementary,00300010,,0.4,0.4,99.3,,52.2,47.8
Beverly - Cove Elementary,00300015,1.2,0.3,,98.5,,54.0,46.0
Beverly - Hannah Elementary,00300033,5.0,1.6,2.1,91.3,,48.5,51.5
Beverly - MCKAY,00300035,,,,,,0.0,0.0
Beverly - MEMORIAL MIDDLE,00300410,,,,,,0.0,0.0
Beverly - North Beverly Elementary,00300040,0.4,1.8,,97.9,,49.6,50.4
Beverly - WASHINGTON-BEADLE SCHOOL,00300060,,,,,,0.0,0.0
Billerica - Billerica Memorial High School,00310505,1.0,2.2,1.8,94.8,0.3,46.8,53.2
Billerica - Eugene C Vining,00310030,1.2,1.2,1.5,96.0,,51.2,48.8
Billerica - Frederick J Dutile,00310007,0.9,1.2,0.2,97.7,,46.4,53.6
Billerica - Hajjar Elementary,00310026,0.3,0.4,,99.3,,53.4,46.6
Billerica - John F Kennedy,00310012,0.6,0.8,0.4,98.3,,55.6,44.4
Billerica - LOCKE MIDDLE,00310410,,,,,,0.0,0.0
Billerica - MARSHALL MIDDLE SCHOOL,00310405,,,,,,0.0,0.0
Billerica - Parker,00310015,1.2,3.5,0.4,94.9,,53.1,46.9
Billerica - Thomas Ditson,00310005,0.6,2.3,0.8,96.3,,47.8,52.2
Blackstone Valley Reg - Blackstone Valley,08050605,0.1,0.1,1.6,97.6,0.6,68.6,31.4
Blackstone-Millville - A F MALONEY,06220305,,,,,,0.0,0.0
Blackstone-Millville - Blackstone Millville RHS,06220505,0.4,1.0,1.7,96.3,0.6,49.0,51.0
Blackstone-Millville - John F Kennedy Elem,06220008,0.5,0.3,0.2,99.0,,50.8,49.2
Blackstone-Millville - Millville Elem,06220010,0.6,,,99.4,,51.9,48.1
Blue Hills Voc - Blue Hills Reg Voc Tech,08060605,4.5,1.0,2.2,91.8,0.4,61.1,38.9
Blue Hills Voc - RANDOLPH CAREER DEV,08060610,,,,,,0.0,0.0
BOLTON - EMERSON,00340005,,,,,,0.0,0.0
Boston - Agassiz,00350007,23.8,1.2,64.7,10.1,0.2,51.1,48.9
Boston - Alexander Hamilton,00350011,31.7,42.3,8.9,17.1,,57.7,42.3
Boston - Beethoven,00350021,42.7,4.7,16.1,36.1,0.3,58.2,41.8
Boston - Blackstone,00350390,32.4,1.2,59.9,6.1,0.4,51.3,48.7
Boston - BOSTON HIGH SCHOOL,00350650,,,,,,0.0,0.0
Boston - Boston Latin,00350560,22.8,16.6,10.4,50.0,0.2,44.4,55.6
Boston - Boston Latin Academy,00350545,32.7,18.3,7.0,41.8,0.3,42.9,57.1
Boston - Brighton High,00350505,42.5,24.4,25.9,6.9,0.3,49.9,50.1
Boston - Carter Develop Day Care,00350036,42.9,,35.7,21.4,,50.0,50.0
Boston - Charles H Taylor,00350054,87.0,1.5,3.2,7.2,1.0,49.5,50.5
Boston - Charles Sumner,00350052,33.1,1.8,34.7,30.0,0.3,55.0,45.0
Boston - Charlestown High,00350515,37.5,23.7,23.0,15.4,0.3,54.5,45.5
Boston - Clarence R Edwards Middle,00350430,34.5,26.6,19.8,19.0,0.2,58.3,41.7
Boston - Curtis Guild,00350062,27.7,30.6,10.3,31.4,,54.5,45.5
Boston - Dante Alighieri,00350066,18.5,9.5,26.2,45.8,,50.6,49.4
Boston - David A Ellis,00350072,42.6,0.2,55.8,1.5,,47.1,52.9
Boston - Dearborn,00350074,74.9,2.1,18.5,4.5,,48.7,51.3
Boston - Dennis C Haley,00350077,62.8,1.7,14.0,21.2,0.3,48.1,51.9
Boston - Donald Mckay,00350080,18.6,0.3,56.0,24.9,0.2,53.5,46.5
Boston - DORCHESTER HIGH,00350520,,,,,,0.0,0.0
