SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Ashburnham-Westminster - Overlook Middle School,06100305,0.7,0.7,3.4,92.8,0.0,0.0,2.4,51.0,49.0
Ashburnham-Westminster - Westminster Elementary,06100005,0.0,1.7,2.9,94.9,0.0,0.0,0.6,53.4,46.6
Ashland - Ashland High,00140505,4.0,4.7,4.9,84.9,0.0,0.0,1.4,49.9,50.1
Ashland - Ashland Middle,00140405,2.5,5.1,6.0,83.5,0.0,0.0,3.0,50.2,49.8
Ashland - David Mindess,00140015,1.8,12.2,8.6,75.2,0.3,0.0,1.8,49.1,50.9
Ashland - Henry E Warren Elementary,00140010,2.1,14.5,7.3,72.5,0.3,0.0,3.3,49.7,50.3
Ashland - William Pittaway Elementary,00140005,0.9,10.1,3.7,83.5,0.0,0.0,1.8,56.0,44.0
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,1.8,0.1,13.6,81.7,0.5,0.0,2.3,60.2,39.8
Athol-Royalston - Athol High,06150505,2.1,0.8,3.8,91.0,0.0,0.3,2.1,52.1,47.9
Athol-Royalston - Athol-Royalston Middle School,06150305,2.9,0.7,4.3,89.2,0.0,0.2,2.6,52.2,47.8
Athol-Royalston - Ellen Bigelow,06150005,3.6,0.0,3.6,78.6,0.0,0.0,14.3,60.7,39.3
Athol-Royalston - Pleasant Street,06150016,4.3,0.7,3.9,87.5,0.4,0.0,3.2,52.3,47.7
Athol-Royalston - Riverbend,06150020,1.5,1.5,8.9,85.9,0.0,0.0,2.2,49.6,50.4
Athol-Royalston - Royalston Community School,06150050,0.0,0.0,4.1,94.6,0.0,0.0,1.4,46.9,53.1
Athol-Royalston - Sanders Street,06150025,0.0,0.0,12.7,81.7,0.0,0.0,5.6,54.0,46.0
Atlantis Charter (District) - Atlantis Charter School,04910550,4.4,2.5,5.6,84.3,0.5,0.0,2.7,47.6,52.4
Attleboro - A. Irvin Studley Elementary School,00160001,3.0,3.0,25.1,64.2,0.2,0.2,4.2,49.6,50.4
Attleboro - Attleboro High,00160505,4.9,5.6,10.4,76.9,0.2,0.2,1.8,51.6,48.4
Attleboro - Cyril K. Brennan Middle School,00160315,4.7,2.9,14.3,72.8,0.3,0.3,4.7,56.1,43.9
Attleboro - Early Learning Center,00160008,1.9,4.3,10.5,75.9,0.0,0.0,7.4,58.6,41.4
Attleboro - Hill-Roberts Elementary School,00160045,2.3,4.2,9.7,79.0,0.0,0.0,4.8,51.9,48.1
Attleboro - Hyman Fine Elementary School,00160040,3.4,7.3,13.0,69.2,0.0,0.2,6.8,49.4,50.6
Attleboro - Peter Thacher Elementary School,00160050,5.2,4.6,14.3,70.4,0.0,0.2,5.2,53.9,46.1
Attleboro - Robert J. Coelho Middle School,00160305,3.7,3.5,5.4,82.6,0.5,0.5,3.8,53.5,46.5
Attleboro - Thomas E. Willett School,00160035,4.6,4.2,11.0,75.6,0.2,0.0,4.4,54.0,46.0
Attleboro - Wamsutta Middle School,00160320,4.5,4.1,15.3,71.2,0.8,0.0,4.1,50.7,49.3
Auburn - Auburn Middle,00170305,1.7,2.6,5.1,87.3,0.6,0.0,2.8,47.0,53.0
Auburn - Auburn Senior High,00170505,1.2,2.5,4.3,90.4,0.1,0.0,1.6,46.0,54.0
Auburn - Bryn Mawr,00170010,0.4,2.6,1.8,90.8,0.0,0.0,4.4,56.5,43.5
Auburn - Julia Bancroft,00170005,0.0,2.7,4.2,89.2,0.4,0.0,3.5,51.4,48.6
Auburn - Mary D Stone,00170025,0.8,3.3,4.1,88.0,0.0,0.0,3.7,52.7,47.3
Auburn - Pakachoag,00170015,1.1,3.3,2.2,91.5,0.0,0.0,1.9,51.5,48.5
Avon - Avon Middle High School,00180510,27.9,4.3,5.7,59.3,0.9,0.3,1.7,51.0,49.0
Avon - Ralph D Butler,00180010,21.2,4.9,5.2,65.2,0.5,0.0,3.0,53.3,46.7
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,8.5,2.9,12.1,69.1,1.0,0.0,6.5,50.8,49.2
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,5.8,0.8,7.5,80.4,0.3,0.5,4.8,55.3,44.7
Ayer Shirley School District - Lura A. White Elementary School,06160001,4.7,4.2,7.8,81.5,0.5,0.0,1.3,50.5,49.5
Ayer Shirley School District - Page Hilltop School,06160002,5.5,2.1,10.4,76.7,0.9,0.2,4.2,52.3,47.7
Barnstable - Barnstable Early Learning Center,00200004,6.9,3.9,1.0,82.4,0.0,0.0,5.9,54.9,45.1
Barnstable - Barnstable High,00200505,4.6,2.6,5.2,82.2,1.2,0.4,3.8,48.7,51.3
Barnstable - Barnstable Intermediate School,00200315,5.8,2.2,6.4,80.6,0.9,0.3,3.9,52.6,47.4
Barnstable - Centerville Elementary,00200010,2.3,2.3,5.7,87.0,0.8,0.0,1.9,47.9,52.1
Barnstable - Hyannis West Elementary,00200025,16.9,2.3,18.9,45.6,1.3,0.7,14.3,56.4,43.6
Barnstable - West Barnstable Elementary,00200005,0.4,1.2,5.1,89.9,0.0,0.0,3.5,47.9,52.1
Barnstable - West Villages Elementary School,00200045,2.8,1.4,2.8,89.8,0.2,0.0,3.0,50.9,49.1
Barnstable Community Horace Mann Charter Public (District) - Barnstable Community Horace Mann Charter Public School,04270010,9.5,1.3,8.2,77.6,0.6,0.3,2.5,49.2,50.8
Barnstable Horace Mann Charter (District) - Barnstable Horace Mann Charter School,04230010,5.6,4.2,4.8,80.3,0.7,0.6,3.7,48.3,51.7
Bedford - Bedford High,00230505,7.3,12.3,3.4,74.5,0.7,0.0,1.9,47.6,52.4
Bedford - John Glenn Middle,00230305,6.4,11.3,4.5,74.6,0.0,0.0,3.1,51.2,48.8
Bedford - Lt Elezer Davis,00230010,4.1,13.8,5.3,73.1,0.0,0.0,3.7,54.6,45.4
Bedford - Lt Job Lane School,00230012,5.6,10.6,5.6,73.1,0.0,0.2,5.0,52.7,47.3
Belchertown - Belchertown High,00240505,1.3,3.2,3.4,89.6,0.3,0.0,2.2,47.5,52.5
Belchertown - Chestnut Hill Community School,00240006,1.5,1.5,3.9,91.2,0.3,0.2,1.5,54.4,45.6
Belchertown - Cold Spring,00240005,1.1,1.1,6.6,89.6,0.0,0.5,1.1,47.8,52.2
Belchertown - Jabish Middle School,00240025,1.5,2.5,2.8,90.9,0.0,0.0,2.3,50.4,49.6
Belchertown - Swift River Elementary,00240018,0.9,1.8,3.0,91.6,0.0,0.4,2.5,53.1,46.9
Bellingham - Bellingham Early Childhood Center,00250003,4.4,4.4,0.0,91.2,0.0,0.0,0.0,58.2,41.8
Bellingham - Bellingham High School,00250505,1.5,2.6,3.1,91.7,0.0,0.0,1.2,52.3,47.7
Bellingham - Bellingham Memorial Middle School,00250315,1.9,2.2,4.4,89.9,0.4,0.0,1.2,52.7,47.3
Bellingham - Clara Macy Elementary,00250009,1.5,4.2,3.8,88.1,0.4,0.0,1.9,48.7,51.3
Bellingham - Primavera Junior/Senior High School,00250510,0.0,0.0,4.5,95.5,0.0,0.0,0.0,86.4,13.6
Bellingham - South Elementary,00250020,0.7,5.6,3.4,88.9,0.0,0.0,1.4,51.2,48.8
Bellingham - Stall Brook,00250025,1.3,4.7,3.8,88.5,0.0,0.0,1.7,53.8,46.2
Belmont - Belmont High,00260505,4.7,16.0,3.8,71.2,0.0,0.0,4.3,49.0,51.0
Belmont - Daniel Butler,00260015,6.8,17.7,4.3,64.1,0.0,0.0,7.1,56.4,43.6
Belmont - Mary Lee Burbank,00260010,4.4,10.3,5.9,71.9,0.0,0.0,7.5,51.6,48.4
Belmont - Roger E Wellington,00260035,2.7,11.3,3.1,78.4,0.2,0.2,4.2,50.1,49.9
Belmont - Winn Brook,00260005,1.6,17.3,2.2,75.5,0.2,0.0,3.1,51.0,49.0
Belmont - Winthrop L Chenery Middle,00260305,4.4,13.8,3.6,73.1,0.0,0.1,5.1,46.1,53.9
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,77.9,1.1,16.1,0.6,0.8,0.0,3.4,45.3,54.7
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,0.9,16.4,2.2,76.0,0.7,0.0,3.8,47.8,52.2
Berkley - Berkley Community School,00270010,1.0,0.0,1.0,96.8,0.0,0.0,1.2,49.4,50.6
Berkley - Berkley Middle School,00270305,1.0,0.3,2.4,93.7,0.0,0.0,2.6,52.6,47.4
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,6.5,0.7,3.6,87.0,1.1,0.0,1.1,46.4,53.6
Berkshire Hills - Monument Mt Regional High,06180505,1.5,0.4,5.8,88.1,0.0,0.2,4.0,53.5,46.5
Berkshire Hills - Monument Valley Regional Middle School,06180310,1.3,1.3,4.3,90.6,0.0,0.0,2.6,51.5,48.5
Berkshire Hills - Muddy Brook Regional Elementary School,06180035,2.3,2.1,8.4,85.0,0.0,0.0,2.1,48.7,51.3
Berlin - Berlin Memorial,00280005,0.9,0.9,0.9,92.5,0.0,0.0,4.7,60.1,39.9
Berlin-Boylston - Tahanto Regional High,06200505,1.0,1.0,0.7,95.5,0.2,0.0,1.7,45.7,54.3
Beverly - Ayers/Ryal Side School,00300055,3.6,4.4,8.2,80.7,0.0,0.0,3.1,52.8,47.2
Beverly - Beverly High,00300505,2.5,1.2,8.2,86.1,0.0,0.0,2.1,45.9,54.1
Beverly - Briscoe Middle,00300305,2.6,1.2,7.5,86.7,0.1,0.0,1.9,50.5,49.5
Beverly - Centerville Elementary,00300010,4.0,1.1,8.0,84.6,0.0,0.0,2.3,51.7,48.3
Beverly - Cove Elementary,00300015,2.3,3.2,9.9,82.1,0.0,0.2,2.3,52.6,47.4
Beverly - Hannah Elementary,00300033,2.2,1.2,8.5,86.3,0.0,0.0,1.7,54.6,45.4
Beverly - North Beverly Elementary,00300040,0.8,1.8,10.1,84.1,0.0,0.3,3.0,54.5,45.5
Billerica - Billerica Memorial High School,00310505,2.0,2.5,2.0,92.0,0.0,0.1,1.4,49.3,50.7
Billerica - Eugene C Vining,00310030,1.9,2.7,3.4,85.6,0.0,1.1,5.3,51.3,48.7
Billerica - Frederick J Dutile,00310007,2.4,3.4,4.5,87.9,0.0,0.0,1.8,50.5,49.5
Billerica - Hajjar Elementary,00310026,4.9,4.3,4.3,84.5,0.0,0.0,2.1,50.5,49.5
Billerica - John F Kennedy,00310012,0.7,1.0,2.4,94.2,0.0,0.0,1.7,51.8,48.2
Billerica - Locke Middle,00310310,0.3,2.8,1.6,94.7,0.0,0.1,0.4,53.0,47.0
Billerica - Marshall Middle School,00310305,1.6,3.0,2.3,92.0,0.0,0.3,0.8,53.2,46.8
Billerica - Parker,00310015,5.8,9.4,5.8,75.6,1.1,0.0,2.2,50.6,49.4
Billerica - Thomas Ditson,00310005,3.3,9.4,3.6,80.7,0.0,0.3,2.7,52.8,47.2
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,0.6,0.6,2.2,94.3,0.0,0.1,2.2,52.5,47.5
Blackstone-Millville - A F Maloney,06220015,2.6,0.4,3.5,91.7,0.0,0.0,1.7,53.5,46.5
Blackstone-Millville - Blackstone Millville RHS,06220505,1.5,1.3,3.5,90.9,0.0,0.0,2.8,50.8,49.2
Blackstone-Millville - Frederick W. Hartnett Middle School,06220405,1.0,0.8,1.7,94.8,0.2,0.0,1.4,48.6,51.4
Blackstone-Millville - John F Kennedy Elementary,06220008,1.0,0.8,5.9,89.3,0.0,0.0,3.1,46.5,53.5
Blackstone-Millville - Millville Elementary,06220010,0.0,0.3,2.6,94.4,0.3,0.0,2.3,52.9,47.1
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,20.8,1.0,6.5,67.7,0.2,0.1,3.7,56.0,44.0
Boston - Another Course To College,00350541,41.9,4.8,45.2,8.1,0.0,0.0,0.0,53.8,46.2
Boston - Baldwin Early Learning Center,00350003,13.0,19.3,31.3,31.3,0.0,0.0,5.2,56.8,43.2
Boston - Beethoven,00350021,19.4,3.9,38.8,34.5,0.0,0.0,3.3,55.6,44.4
Boston - Blackstone,00350390,16.8,0.9,79.1,2.1,0.2,0.0,1.0,53.9,46.1
Boston - Boston Adult Academy,00350548,53.7,4.7,38.6,2.0,0.3,0.0,0.7,52.7,47.3
Boston - Boston Arts Academy,00350546,35.6,2.6,45.2,12.9,0.7,0.2,2.6,41.1,58.9
Boston - Boston Community Leadership Academy,00350558,37.6,5.9,48.0,7.4,0.2,0.4,0.4,45.7,54.3
Boston - Boston International High School,00350507,41.5,1.5,51.5,3.8,0.0,0.6,1.2,52.9,47.1
Boston - Boston Latin,00350560,11.6,28.6,9.4,48.0,0.1,0.1,2.3,44.7,55.3
Boston - Boston Latin Academy,00350545,27.2,22.0,20.0,28.5,0.9,0.0,1.4,43.2,56.8
Boston - Boston Middle School Academy,00350413,42.9,0.0,28.6,28.6,0.0,0.0,0.0,57.1,42.9
Boston - Boston Teachers Union School,00350012,36.3,1.6,44.7,15.1,0.0,0.0,2.3,50.8,49.2
Boston - Brighton High,00350505,39.6,3.2,50.3,4.9,0.5,0.1,1.3,55.9,44.1
Boston - Brook Farm/Media High,00350658,45.9,1.4,44.8,6.6,0.4,0.0,0.9,56.2,43.8
Boston - Carter Developmental Center,00350036,56.0,8.0,24.0,12.0,0.0,0.0,0.0,68.0,32.0
Boston - Charles H Taylor,00350054,75.8,1.7,18.8,1.0,1.0,0.0,1.7,52.7,47.3
Boston - Charles Sumner,00350052,19.1,1.8,70.8,7.6,0.0,0.2,0.6,50.0,50.0
Boston - Charlestown High,00350515,36.6,20.7,37.1,5.1,0.1,0.0,0.4,52.9,47.1
Boston - Clarence R Edwards Middle,00350430,16.9,13.5,59.9,8.2,0.4,0.0,1.1,50.0,50.0
Boston - Community Academy,00350518,48.6,0.0,48.6,0.0,2.7,0.0,0.0,62.2,37.8
Boston - Community Academy of Science and Health,00350581,66.8,1.6,27.1,2.4,0.0,0.0,2.1,51.2,48.8
Boston - Curley K-8 School,00350020,19.4,2.1,58.7,17.0,0.0,0.0,2.8,51.7,48.3
Boston - Curtis Guild,00350062,1.5,0.4,89.4,8.4,0.0,0.0,0.4,57.1,42.9
Boston - David A Ellis,00350072,35.0,0.3,63.2,0.3,0.0,0.3,1.0,49.7,50.3
Boston - Dearborn,00350074,66.3,2.4,24.8,2.8,0.8,0.4,2.4,57.7,42.3
Boston - Dennis C Haley,00350077,26.3,2.6,38.8,26.3,0.6,0.3,5.1,50.3,49.7
Boston - Donald Mckay,00350080,1.6,0.7,90.8,6.1,0.1,0.0,0.6,49.9,50.1
Boston - Dorchester Academy,00350651,60.3,3.6,30.0,4.1,1.0,0.3,0.8,51.1,48.9
Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,00350008,47.3,6.3,44.9,0.5,0.0,0.0,1.0,56.0,44.0
Boston - Dr. William Henderson,00350266,23.0,6.6,26.2,40.6,2.0,0.0,1.6,51.2,48.8
Boston - Early Childhood Center at Fifield (ECC-Fifield),00350002,,,,,,,,,
Boston - East Boston Early Childhood Center,00350009,2.5,0.5,75.9,18.6,0.5,0.0,2.0,53.3,46.7
Boston - East Boston High,00350530,16.1,1.9,65.5,15.5,0.3,0.1,0.6,54.4,45.6
Boston - Edison K-8,00350375,27.6,11.1,45.9,12.2,1.1,0.1,2.0,55.7,44.3
Boston - Edward Everett,00350088,40.4,19.5,30.9,5.3,0.0,0.4,3.5,52.8,47.2
Boston - Egleston Community High School,00350543,28.7,0.0,61.3,4.7,0.0,0.0,5.3,39.3,60.7
Boston - ELC - West Zone,00350006,29.8,2.1,47.9,17.0,1.1,0.0,2.1,54.3,45.7
Boston - Elihu Greenwood Leadership Academy,00350094,54.0,0.5,42.2,1.8,0.0,0.0,1.5,51.8,48.2
Boston - Eliot Elementary,00350096,19.1,2.2,36.7,38.3,0.0,0.0,3.7,53.1,46.9
Boston - Ellis Mendell,00350100,29.5,0.9,48.0,15.9,0.0,0.9,4.8,51.1,48.9
Boston - Excel High School,00350522,35.3,21.2,29.5,12.6,0.3,0.0,1.1,56.2,43.8
Boston - Fenway High School,00350540,40.4,2.5,47.2,7.8,0.3,0.3,1.6,46.0,54.0
Boston - Franklin D Roosevelt,00350116,34.9,2.2,37.3,23.9,0.2,0.2,1.2,53.1,46.9
Boston - Gardner Pilot Academy,00350326,15.0,6.1,65.9,9.5,0.3,0.6,2.6,52.6,47.4
Boston - George H Conley,00350122,23.2,3.0,53.7,17.2,0.0,0.0,3.0,55.7,44.3
Boston - Harbor School,00350426,63.6,2.5,23.0,7.5,1.3,0.0,2.1,51.0,49.0
Boston - Harvard-Kent,00350200,19.5,25.1,43.8,9.3,0.0,0.0,2.3,50.4,49.6
Boston - Haynes Early Education Center,00350010,40.4,2.5,52.5,2.0,0.5,0.5,1.5,51.0,49.0
Boston - Henry Grew,00350135,49.8,2.3,39.6,5.7,0.4,0.0,2.3,54.0,46.0
Boston - Higginson/Lewis K-8,00350377,52.6,0.7,42.1,2.9,0.5,0.2,1.0,53.1,46.9
Boston - Horace Mann School for the Deaf,00350750,27.3,12.5,41.4,16.4,0.0,0.0,2.3,50.0,50.0
Boston - Hugh Roe O'Donnell,00350141,2.1,5.2,83.0,9.7,0.0,0.0,0.0,49.1,50.9
Boston - Jackson Mann,00350013,33.0,11.7,44.1,8.4,0.4,0.0,2.5,54.0,46.0
Boston - James Condon Elementary,00350146,34.8,8.0,35.8,18.0,0.3,0.1,3.0,50.3,49.7
Boston - James J Chittick,00350154,68.8,1.8,26.1,1.8,0.0,0.0,1.5,54.4,45.6
Boston - James Otis,00350156,3.1,0.5,84.1,12.0,0.0,0.3,0.0,55.5,44.5
Boston - James P Timilty Middle,00350485,43.6,0.6,52.2,2.0,0.7,0.0,0.9,44.8,55.2
Boston - James W Hennigan,00350153,32.5,1.4,60.1,3.7,0.2,0.3,1.7,50.9,49.1
Boston - Jeremiah E Burke High,00350525,64.4,0.8,31.7,1.1,0.0,0.5,1.6,50.8,49.2
Boston - John D Philbrick,00350172,19.1,0.7,44.7,27.6,1.3,0.0,6.6,57.2,42.8
Boston - John F Kennedy,00350166,17.2,0.3,78.7,2.1,0.0,0.0,1.8,52.3,47.7
Boston - John Marshall,00350178,47.3,2.0,46.8,1.0,0.6,0.1,2.2,51.4,48.6
Boston - John P Holland,00350167,38.2,15.5,44.1,0.9,0.1,0.0,1.2,50.3,49.7
Boston - John W McCormack,00350179,36.3,10.0,41.1,9.8,1.1,0.0,1.8,55.3,44.7
Boston - John Winthrop,00350180,51.7,0.6,44.0,1.4,0.0,0.9,1.4,49.4,50.6
Boston - Joseph J Hurley,00350182,6.4,0.0,75.1,16.4,0.0,0.0,2.0,49.4,50.6
Boston - Joseph Lee,00350183,60.3,5.7,28.6,2.6,0.6,0.3,2.0,53.7,46.3
Boston - Joseph P Manning,00350184,22.6,3.7,28.7,40.2,0.0,0.0,4.9,51.2,48.8
Boston - Joseph P Tynan,00350181,36.8,8.3,26.2,22.5,0.5,0.3,5.4,53.4,46.6
Boston - Josiah Quincy,00350286,13.5,56.6,19.2,8.3,0.1,0.0,2.2,52.0,48.0
Boston - Joyce Kilmer,00350190,9.9,5.7,17.2,62.3,0.0,0.0,4.9,53.2,46.8
Boston - King K-8,00350376,59.0,0.8,35.5,1.6,0.5,0.3,2.3,49.3,50.7
Boston - Lee Academy,00350001,50.0,6.6,33.2,5.6,0.0,1.0,3.6,53.6,46.4
Boston - Lilla G. Frederick Middle School,00350383,48.6,2.5,44.0,3.2,0.6,0.0,1.1,50.3,49.7
Boston - Lyndon,00350262,8.5,1.4,46.9,41.3,0.3,0.2,1.4,48.6,51.4
Boston - Lyon K-8,00350004,16.0,11.2,29.6,38.4,0.0,0.0,4.8,60.8,39.2
Boston - Lyon Upper 9-12,00350655,28.4,4.9,30.9,29.6,1.2,0.0,4.9,65.4,34.6
Boston - Madison Park High,00350537,44.6,1.7,47.0,4.1,0.5,0.2,1.9,57.8,42.2
Boston - Manassah E Bradley,00350215,4.1,3.1,56.3,32.4,0.7,0.0,3.4,46.8,53.2
Boston - Mather,00350227,36.9,31.1,24.7,3.4,0.0,0.2,3.7,52.2,47.8
Boston - Mattahunt,00350226,62.6,1.2,32.8,1.6,0.6,0.0,1.2,56.5,43.5
Boston - Maurice J Tobin,00350229,24.9,1.1,68.9,3.1,0.4,0.4,1.1,52.5,47.5
Boston - Michael J Perkins,00350231,35.0,4.9,45.7,8.2,0.0,0.4,5.8,52.3,47.7
Boston - Mildred Avenue K-8,00350378,68.2,1.2,28.0,1.0,0.3,0.2,1.2,51.9,48.1
