SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,33.2,4.8,25.5,32.5,0.1,0.1,3.9,48.7,51.3
Abington - Abington High,00010505,1.8,1.9,3.9,91.6,0.0,0.0,0.8,50.5,49.5
Abington - Beaver Brook Elementary School,00010003,1.7,1.7,1.8,94.5,0.2,0.0,0.2,52.2,47.8
Abington - Center Elementary School,00010002,0.0,0.5,1.0,98.5,0.0,0.0,0.0,52.3,47.7
Abington - Frolio Middle School,00010405,2.4,1.2,3.9,91.5,0.0,0.0,0.9,50.8,49.2
Abington - Woodsdale Elementary School,00010015,1.8,0.9,3.9,93.1,0.0,0.3,0.0,48.8,51.2
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,56.8,2.6,17.4,19.8,0.0,0.0,3.4,49.6,50.4
Acton - Douglas,00020020,1.0,21.7,1.7,67.5,0.0,0.0,8.1,55.5,44.5
Acton - Gates,00020025,0.8,33.3,0.6,60.1,0.6,0.0,4.5,55.4,44.6
Acton - Luther Conant,00020030,0.6,49.5,1.2,45.5,0.2,0.0,2.9,48.9,51.1
Acton - McCarthy-Towne,00020015,1.5,10.1,5.7,77.5,0.0,0.0,5.3,49.2,50.8
Acton - Merriam,00020010,1.4,24.2,2.9,68.1,0.5,0.0,2.9,53.6,46.4
Acton-Boxborough - Acton-Boxborough Regional High,06000505,0.8,23.1,3.5,70.9,0.2,0.0,1.6,50.4,49.6
Acton-Boxborough - Raymond J Grey Junior High,06000405,0.7,23.9,3.7,69.3,0.1,0.0,2.3,50.4,49.6
Acushnet - Acushnet Elementary School,00030025,0.0,0.0,0.8,99.2,0.0,0.0,0.0,51.9,48.1
Acushnet - Albert F Ford Middle School,00030305,0.6,0.4,0.4,98.6,0.0,0.0,0.0,52.4,47.6
Adams-Cheshire - Cheshire Elementary,06030004,1.5,0.0,0.4,98.1,0.0,0.0,0.0,49.0,51.0
Adams-Cheshire - Hoosac Valley High,06030505,2.6,1.0,1.1,94.7,0.5,0.2,0.0,51.3,48.7
Adams-Cheshire - Plunkett Elementary,06030020,4.7,0.9,1.4,92.5,0.3,0.2,0.0,53.6,46.4
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,2.3,26.7,5.3,63.3,0.4,0.0,2.0,53.8,46.2
Agawam - Agawam Early Childhood Center,00050003,2.5,0.0,2.5,94.9,0.0,0.0,0.0,52.5,47.5
Agawam - Agawam High,00050505,2.1,1.6,2.3,93.0,0.1,0.1,0.6,50.6,49.4
Agawam - Agawam Junior High,00050405,1.0,1.7,4.3,92.0,0.3,0.1,0.6,52.5,47.5
Agawam - Benjamin J Phelps,00050020,1.9,4.9,2.5,88.2,0.0,0.0,2.5,48.9,51.1
Agawam - Clifford M Granger,00050010,0.3,1.3,8.1,89.3,0.0,0.0,1.0,49.2,50.8
Agawam - James Clark School,00050030,1.1,3.1,6.2,87.3,0.0,0.0,2.3,49.3,50.7
Agawam - Roberta G. Doering School,00050303,1.3,1.4,5.3,90.1,0.0,0.2,1.7,51.1,48.9
Agawam - Robinson Park,00050025,2.4,1.9,4.5,89.8,0.0,0.0,1.3,50.8,49.2
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,20.0,1.7,36.7,31.7,0.0,0.0,10.0,46.7,53.3
Amesbury - Amesbury Elementary,00070005,1.6,0.5,3.2,92.0,0.0,0.0,2.8,52.4,47.6
Amesbury - Amesbury High,00070505,1.1,1.0,1.8,93.6,0.2,0.0,2.3,53.7,46.3
Amesbury - Amesbury Middle,00070013,0.9,0.4,4.4,91.4,0.0,0.0,2.8,55.3,44.7
Amesbury - Charles C Cashman Elementary,00070010,0.6,0.6,3.0,93.8,0.0,0.2,1.9,48.8,51.2
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,04150505,2.0,0.0,10.2,85.7,0.0,0.0,2.0,61.2,38.8
Amherst - Crocker Farm Elementary,00080009,9.9,11.7,20.1,51.2,0.5,0.5,6.0,51.4,48.6
Amherst - Fort River Elementary,00080020,8.4,13.3,20.5,48.1,0.0,0.5,9.2,52.7,47.3
Amherst - Wildwood Elementary,00080050,7.0,12.5,16.4,56.8,0.0,0.0,7.3,52.0,48.0
Amherst-Pelham - Amherst Regional High,06050505,6.2,9.5,12.8,63.1,0.2,0.1,8.1,50.6,49.4
Amherst-Pelham - Amherst Regional Middle School,06050405,7.1,10.2,11.5,63.9,0.0,0.0,7.4,53.0,47.0
Andover - Andover High,00090505,2.0,11.1,3.8,80.8,0.1,0.0,2.3,48.9,51.1
Andover - Andover West Middle,00090310,1.5,12.3,3.3,80.7,0.2,0.0,2.0,54.9,45.1
Andover - Bancroft Elementary,00090003,2.6,6.9,5.3,80.4,0.6,0.0,4.3,48.6,51.4
Andover - Doherty Middle,00090305,1.4,8.2,2.3,85.8,0.0,0.0,2.3,49.1,50.9
Andover - Henry C Sanborn Elementary,00090010,3.6,15.9,2.8,73.8,1.4,0.0,2.5,51.5,48.5
Andover - High Plain Elementary,00090004,1.3,20.1,6.7,69.2,0.2,0.0,2.4,50.6,49.4
Andover - Shawsheen School,00090005,3.4,9.9,3.4,78.7,0.0,0.0,4.6,55.5,44.5
Andover - South Elementary,00090020,0.9,14.1,1.7,81.9,0.3,0.2,0.9,51.0,49.0
Andover - West Elementary,00090025,2.4,12.4,3.8,78.6,0.1,0.0,2.7,48.0,52.0
Andover - Wood Hill Middle School,00090350,0.5,15.5,9.4,72.8,0.0,0.0,1.8,53.9,46.1
Arlington - Arlington High,00100505,4.6,8.3,4.9,79.6,0.2,0.1,2.4,49.2,50.8
Arlington - Brackett,00100010,1.8,7.7,4.6,79.5,0.0,0.0,6.4,51.9,48.1
Arlington - Cyrus E Dallin,00100025,1.6,9.6,3.2,80.0,0.0,0.0,5.5,47.0,53.0
Arlington - Hardy,00100030,3.7,17.6,6.5,66.9,0.0,0.6,4.8,46.7,53.3
Arlington - John A Bishop,00100005,3.9,9.3,2.3,82.9,0.0,0.0,1.6,50.5,49.5
Arlington - M Norcross Stratton,00100055,2.4,12.0,4.8,75.4,0.0,0.0,5.4,49.7,50.3
Arlington - Menotomy Preschool,00100038,4.2,6.3,8.3,79.2,0.0,2.1,0.0,58.3,41.7
Arlington - Ottoson Middle,00100410,3.6,9.5,4.4,80.5,0.1,0.0,1.9,50.8,49.2
Arlington - Peirce,00100045,4.6,8.5,8.8,70.3,0.0,0.4,7.4,50.5,49.5
Arlington - Thompson,00100050,4.7,18.1,7.8,64.8,0.0,0.6,4.0,48.0,52.0
Ashburnham-Westminster - Briggs Elementary,06100025,0.2,0.9,2.6,95.6,0.0,0.0,0.7,49.9,50.1
Ashburnham-Westminster - Meetinghouse School,06100010,0.8,1.7,3.8,90.3,0.4,0.0,3.0,54.0,46.0
Ashburnham-Westminster - Oakmont Regional High School,06100505,1.2,1.5,4.1,91.5,0.3,0.0,1.5,50.4,49.6
