SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,39.9,4.6,25.7,26.3,0.1,0.1,3.2,47.7,52.3
Abington - Abington High,00010505,2.8,1.5,4.6,90.0,0.2,0.0,0.9,51.1,48.9
Abington - Beaver Brook Elementary School,00010003,1.5,2.2,2.0,93.8,0.5,0.0,0.0,50.9,49.1
Abington - Center Elementary School,00010002,2.8,3.9,5.0,87.7,0.6,0.0,0.0,54.2,45.8
Abington - Frolio Middle School,00010405,1.8,1.2,4.6,91.8,0.3,0.3,0.0,49.8,50.2
Abington - Woodsdale Elementary School,00010015,2.4,0.9,3.8,92.4,0.3,0.0,0.3,52.4,47.6
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,58.4,1.4,20.5,16.3,0.0,0.0,3.4,47.0,53.0
Acton - Douglas,00020020,1.0,22.8,1.9,65.3,0.4,0.0,8.6,57.3,42.7
Acton - Gates,00020025,2.3,38.3,1.2,55.4,0.7,0.0,2.1,54.3,45.7
Acton - Luther Conant,00020030,1.3,57.7,2.3,35.6,0.2,0.2,2.7,48.0,52.0
Acton - McCarthy-Towne,00020015,1.7,14.5,6.4,71.8,0.0,0.0,5.6,48.1,51.9
Acton - Merriam,00020010,1.8,24.1,3.5,67.3,0.0,0.2,3.1,53.7,46.3
Acton-Boxborough - Acton-Boxborough Regional High,06000505,1.2,24.2,3.5,68.6,0.2,0.0,2.3,49.4,50.6
Acton-Boxborough - Raymond J Grey Junior High,06000405,1.2,27.5,2.6,63.8,0.2,0.0,4.7,52.3,47.7
Acushnet - Acushnet Elementary School,00030025,0.2,0.0,2.1,97.6,0.0,0.0,0.2,55.2,44.8
Acushnet - Albert F Ford Middle School,00030305,1.1,0.7,0.2,97.8,0.0,0.0,0.2,48.9,51.1
Adams-Cheshire - Cheshire Elementary,06030004,3.6,0.4,0.9,95.1,0.0,0.0,0.0,46.7,53.3
Adams-Cheshire - Hoosac Valley Middle & High School,06030505,3.9,0.9,2.5,91.8,0.9,0.1,0.0,49.4,50.6
Adams-Cheshire - Plunkett Elementary,06030020,3.6,0.4,1.7,93.6,0.2,0.2,0.2,55.5,44.5
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,3.0,24.4,4.5,64.2,0.6,0.1,3.2,53.1,46.9
Agawam - Agawam Early Childhood Center,00050003,2.1,0.0,5.6,92.4,0.0,0.0,0.0,61.1,38.9
Agawam - Agawam High,00050505,1.3,2.1,4.0,91.2,0.3,0.2,0.9,52.2,47.8
Agawam - Agawam Junior High,00050405,1.4,2.1,5.2,89.3,0.0,0.2,1.7,52.3,47.7
Agawam - Benjamin J Phelps,00050020,2.1,4.9,4.9,83.9,0.0,0.0,4.2,47.5,52.5
Agawam - Clifford M Granger,00050010,1.7,2.0,8.1,86.2,0.0,0.0,2.0,47.1,52.9
Agawam - James Clark School,00050030,2.0,4.2,7.4,84.1,0.0,0.0,2.3,47.3,52.7
Agawam - Roberta G. Doering School,00050303,0.8,1.6,4.4,90.8,0.0,0.0,2.3,47.9,52.1
Agawam - Robinson Park,00050025,2.0,2.5,6.5,86.0,0.0,0.0,3.0,51.2,48.8
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,19.5,1.0,43.5,29.0,0.0,0.0,7.0,46.5,53.5
Amesbury - Amesbury Elementary,00070005,1.8,0.7,3.4,91.3,0.0,0.0,2.8,53.2,46.8
Amesbury - Amesbury High,00070505,0.6,1.4,3.9,92.0,0.0,0.0,2.0,52.0,48.0
Amesbury - Amesbury Middle,00070013,1.8,0.9,4.1,89.8,0.0,0.0,3.4,54.5,45.5
Amesbury - Charles C Cashman Elementary,00070010,1.5,1.7,5.1,88.6,0.0,0.4,2.8,49.2,50.8
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,04150505,0.0,2.1,6.4,89.4,0.0,0.0,2.1,57.4,42.6
Amherst - Crocker Farm Elementary,00080009,11.0,14.9,20.7,45.7,0.0,0.5,7.1,50.3,49.7
Amherst - Fort River Elementary,00080020,7.9,13.6,20.9,48.6,0.3,0.3,8.4,49.7,50.3
Amherst - Wildwood Elementary,00080050,8.1,10.1,17.9,53.8,0.0,0.0,10.1,51.4,48.6
Amherst-Pelham - Amherst Regional High,06050505,8.3,10.0,12.2,61.2,0.1,0.0,8.4,51.7,48.3
Amherst-Pelham - Amherst Regional Middle School,06050405,6.1,10.5,13.9,60.1,0.2,0.0,9.1,55.3,44.7
Andover - Andover High,00090505,1.9,12.6,4.4,78.4,0.2,0.0,2.6,50.1,49.9
Andover - Andover West Middle,00090310,1.1,11.8,2.3,82.7,0.2,0.0,2.0,50.1,49.9
Andover - Bancroft Elementary,00090003,2.3,8.1,6.1,79.1,0.6,0.0,3.8,50.1,49.9
Andover - Doherty Middle,00090305,1.6,7.6,4.2,83.7,0.0,0.0,3.0,50.3,49.7
Andover - Henry C Sanborn Elementary,00090010,2.0,21.6,4.0,69.0,1.1,0.0,2.3,53.4,46.6
Andover - High Plain Elementary,00090004,2.0,25.8,6.7,61.9,0.2,0.0,3.4,47.2,52.8
Andover - Shawsheen School,00090005,1.3,11.9,6.8,72.5,0.0,0.0,7.6,54.2,45.8
Andover - South Elementary,00090020,0.8,17.5,3.0,77.5,0.2,0.2,0.8,49.5,50.5
Andover - West Elementary,00090025,1.4,12.3,5.2,77.8,0.2,0.0,3.2,49.2,50.8
Andover - Wood Hill Middle School,00090350,2.1,20.3,6.3,69.4,0.0,0.0,1.8,54.6,45.4
Arlington - Arlington High,00100505,3.4,10.4,4.0,79.9,0.1,0.1,2.2,48.1,51.9
Arlington - Brackett,00100010,1.2,8.9,6.0,76.1,0.0,0.4,7.3,50.9,49.1
Arlington - Cyrus E Dallin,00100025,2.8,9.2,4.3,79.7,0.0,0.2,3.9,50.1,49.9
Arlington - Hardy,00100030,4.1,16.3,7.4,67.8,0.0,0.3,4.1,48.8,51.2
