SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Fitchburg - Fitchburg High,00970505,9.4,7.3,40.2,39.7,0.0,0.1,3.2,49.2,50.8
Fitchburg - McKay Arts Academy,00970340,3.7,5.1,42.4,41.6,0.0,0.0,7.2,48.2,51.8
Fitchburg - Memorial Intermediate,00970048,7.0,6.7,47.1,35.3,0.0,0.2,3.8,49.1,50.9
Fitchburg - Reingold Elementary,00970043,5.1,4.5,42.9,41.1,0.2,0.0,6.2,53.3,46.7
Fitchburg - South Street Elementary,00970060,4.6,7.1,45.4,35.8,0.0,0.2,6.9,49.0,51.0
Florida - Abbott Memorial,00980005,1.0,0.0,1.0,92.9,0.0,1.0,4.0,44.4,55.6
Four Rivers Charter Public (District) - Four Rivers Charter Public School,04130505,1.4,1.9,3.3,90.0,0.0,0.0,3.3,56.2,43.8
Foxborough - Charles Taylor Elementary,00990050,1.1,2.5,2.5,91.8,0.0,0.0,2.2,49.5,50.5
Foxborough - Foxborough High,00990505,5.1,2.5,1.8,90.3,0.0,0.0,0.4,48.0,52.0
Foxborough - John J Ahern,00990405,4.4,2.8,2.6,89.4,0.0,0.1,0.8,53.1,46.9
Foxborough - Mabelle M Burrell,00990015,2.5,2.5,2.2,90.2,0.3,0.0,2.5,55.0,45.0
Foxborough - Vincent M Igo Elementary,00990020,3.5,5.2,3.8,85.9,1.1,0.0,0.5,53.5,46.5
Foxborough Regional Charter (District) - Foxborough Regional Charter School,04460550,22.6,9.8,4.7,58.5,0.0,0.1,4.3,46.3,53.7
Framingham - Barbieri Elementary,01000035,2.8,0.8,65.5,28.1,0.0,0.2,2.6,45.9,54.1
Framingham - Blocks Pre-School @ King,01000003,5.7,5.3,18.6,66.2,0.0,1.9,2.3,60.1,39.9
Framingham - Brophy,01000006,4.2,4.4,56.0,31.7,0.0,0.0,3.8,51.5,48.5
Framingham - Cameron Middle School,01000302,5.2,1.8,17.3,73.4,0.0,0.0,2.3,54.1,45.9
Framingham - Charlotte A Dunning,01000007,4.8,17.2,7.0,66.9,0.0,0.0,4.0,53.5,46.5
Framingham - Framingham High School,01000515,7.3,6.5,17.2,68.2,0.3,0.0,0.6,48.8,51.2
Framingham - Fuller Middle,01000305,8.1,4.0,31.4,55.2,0.0,0.0,1.3,51.8,48.2
Framingham - Hemenway,01000015,3.3,9.6,5.8,77.2,0.0,0.0,4.0,52.3,47.7
