SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,Males,Females
ABBY KELLEY FOSTER R           - Abby Kelley Foster Reg CS,04450105,6.9,1.8,7.5,83.5,0.3,51.9,48.1
ABINGTON                       - Abington ECC,00010003,0.5,1.3,1.2,96.8,0.2,55.2,44.8
ABINGTON                       - Abington High,00010505,0.9,0.9,0.7,97.5,0.0,50.3,49.7
ABINGTON                       - Center,00010005,4.0,0.5,0.0,95.5,0.0,49.5,50.5
ABINGTON                       - Frolio Jr Hs,00010405,0.5,0.0,0.5,98.9,0.0,47.6,52.4
ABINGTON                       - North,00010010,0.0,0.0,0.0,100.0,0.0,50.8,49.2
ABINGTON                       - Woodsdale,00010015,1.8,0.3,0.3,97.7,0.0,53.8,46.2
ACADEMY OF PACIFIC R           - ACADEMY OF PACIFIC RIM CS,04120530,61.6,6.6,10.7,21.1,0.0,55.4,44.6
ACTON                          - Douglas,00020020,0.8,13.6,5.2,80.4,0.0,52.2,47.8
ACTON                          - Gates,00020025,0.6,7.9,0.6,90.9,0.0,57.9,42.1
ACTON                          - Luther Conant,00020030,0.8,15.9,2.0,81.1,0.2,51.4,48.6
ACTON                          - McCarthy-Towne,00020015,2.2,7.1,3.1,87.6,0.0,53.5,46.5
ACTON                          - Merriam,00020010,1.5,12.3,1.8,84.5,0.0,50.6,49.4
ACTON-BOXBOROUGH               - Acton-Boxborough Reg High,06000505,0.8,9.1,2.0,87.5,0.5,49.1,50.9
ACTON-BOXBOROUGH               - Raymond J Grey Reg JH,06000405,0.9,9.4,1.4,88.0,0.2,50.3,49.7
ACUSHNET                       - Acushnet Elementary Sch,00030025,1.6,0.1,0.6,97.1,0.6,51.5,48.5
ACUSHNET                       - Albert F Ford Middle Sch,00030305,0.5,0.2,0.5,98.8,0.0,54.2,45.8
ADAMS-CHESHIRE                 - Adams Middle,06030305,1.4,0.5,0.7,97.1,0.2,54.2,45.8
ADAMS-CHESHIRE                 - Cheshire Elementary,06030004,1.7,1.1,0.8,96.0,0.3,54.5,45.5
ADAMS-CHESHIRE                 - Hoosac Valley High,06030505,1.1,0.5,0.0,98.2,0.2,48.8,51.2
ADAMS-CHESHIRE                 - Plunket Elementary,06030020,1.4,0.6,1.6,96.3,0.0,50.8,49.2
AGAWAM                         - Agawam ECC,00050003,0.7,0.0,2.0,97.4,0.0,57.0,43.0
AGAWAM                         - Agawam High,00050505,0.7,1.0,1.5,96.3,0.5,51.0,49.0
