SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,Males,Females
ABBY KELLEY FOSTER REG CH - ABBY KELLEY FOSTER REG CS,04450105,8.3,2.2,9.4,79.2,0.9,53.5,46.5
ABINGTON - ABINGTON ECC,00010003,1.2,0.5,0.2,98.2,0.0,57.2,42.8
ABINGTON - ABINGTON HIGH,00010505,0.9,0.4,0.6,97.9,0.2,47.2,52.8
ABINGTON - CENTER,00010005,3.7,1.6,0.0,94.7,0.0,47.1,52.9
ABINGTON - FROLIO JR HS,00010405,0.5,1.0,0.8,97.7,0.0,49.7,50.3
ABINGTON - NORTH,00010010,0.0,0.0,0.5,99.5,0.0,47.3,52.7
ABINGTON - WOODSDALE,00010015,1.6,0.3,0.3,97.8,0.0,54.0,46.0
ACADEMY OF PACIFIC RIM CH - ACADEMY OF PACIFIC RIM CS,04120530,65.9,10.3,6.5,16.8,0.5,57.8,42.2
ACTON - DOUGLAS,00020020,0.4,13.8,3.9,81.9,0.0,47.2,52.8
ACTON - GATES,00020025,0.0,8.7,0.6,90.7,0.0,53.3,46.7
ACTON - LUTHER CONANT,00020030,1.2,12.9,0.8,85.1,0.0,51.9,48.1
ACTON - MCCARTHY-TOWNE,00020015,1.4,5.1,4.1,89.5,0.0,54.6,45.4
ACTON - MERRIAM,00020010,2.1,7.8,1.9,88.2,0.0,52.1,47.9
ACTON-BOXBOROUGH - ACTON-BOXBOROUGH REG HIGH,06000505,0.8,8.7,2.2,87.6,0.6,51.2,48.8
ACTON-BOXBOROUGH - RAYMOND J GREY REG JH,06000405,0.8,9.7,1.3,87.7,0.5,49.8,50.2
ACUSHNET - ACUSHNET ELEMENTARY SCH,00030025,1.4,0.1,0.7,97.1,0.6,52.4,47.6
ACUSHNET - ALBERT F FORD MIDDLE SCH,00030305,0.0,0.5,1.0,98.3,0.2,57.1,42.9
ADAMS-CHESHIRE - ADAMS MIDDLE,06030305,0.7,0.7,0.0,98.6,0.0,53.0,47.0
ADAMS-CHESHIRE - CHESHIRE ELEMENTARY,06030004,1.2,1.5,0.6,96.2,0.6,52.5,47.5
ADAMS-CHESHIRE - HOOSAC VALLEY HIGH,06030505,0.5,0.7,0.0,98.7,0.0,49.6,50.4
