SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Adams-Cheshire - Plunkett Elementary,06030020,5.1,1.3,2.6,90.4,0.6,0.0,0.0,54.1,45.9
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,1.3,19.6,3.2,73.1,0.6,0.0,2.2,55.8,44.2
Agawam - Agawam ECC,00050003,0.0,0.0,0.0,100.0,0.0,0.0,0.0,53.8,46.2
Agawam - Agawam High,00050505,1.0,0.4,1.6,96.2,0.0,0.3,0.4,51.5,48.5
Agawam - Agawam Junior High,00050405,1.1,1.1,2.3,94.7,0.1,0.0,0.7,49.6,50.4
Agawam - Agawam Middle School,00050303,1.8,1.2,3.5,91.7,0.6,0.6,0.7,53.0,47.0
Agawam - Benjamin J Phelps,00050020,1.3,1.3,1.3,95.7,0.0,0.0,0.3,48.3,51.7
Agawam - Clifford M Granger,00050010,0.9,2.7,6.0,87.9,0.0,0.0,2.4,52.9,47.1
Agawam - James Clark School,00050030,0.5,1.6,4.2,92.1,0.3,0.0,1.3,51.3,48.7
Agawam - Robinson Park,00050025,1.5,1.5,0.8,96.2,0.0,0.0,0.0,49.7,50.3
Amesbury - Amesbury Elementary,00070005,0.7,0.7,5.3,90.3,0.0,0.0,3.1,55.8,44.2
Amesbury - Amesbury High,00070505,1.3,0.9,3.1,91.6,0.6,0.1,2.3,50.1,49.9
Amesbury - Amesbury Middle,00070013,0.7,0.6,3.0,93.2,0.1,0.0,2.4,53.6,46.4
Amesbury - Charles C Cashman El,00070010,0.5,0.4,4.5,93.5,0.4,0.0,0.7,52.3,47.7
Amherst - Crocker Farm Elementary,00080009,10.6,7.9,34.4,41.7,0.6,0.9,3.9,53.2,46.8
Amherst - Fort River Elementary,00080020,7.4,17.9,12.7,52.4,0.2,0.4,9.0,52.6,47.4
Amherst - Marks Meadow Elementary School,00080030,14.2,12.6,12.6,46.8,0.0,0.0,13.7,46.3,53.7
Amherst - Wildwood Elementary,00080050,4.0,12.7,11.4,59.6,0.2,0.0,12.2,56.1,43.9
Amherst-Pelham - Amherst Regional High,06050505,8.7,8.2,9.7,68.8,0.4,0.0,4.2,49.5,50.5
Amherst-Pelham - Amherst Regional MS,06050405,3.8,11.9,11.9,63.8,0.0,0.0,8.7,50.0,50.0
Andover - Andover High,00090505,1.7,9.8,3.4,82.9,0.1,0.0,2.0,50.9,49.1
Andover - Andover West Middle,00090310,0.6,10.6,3.3,82.8,0.2,0.0,2.6,51.3,48.7
Andover - Bancroft Elementary,00090003,1.1,5.9,3.8,86.2,0.0,0.0,3.0,48.4,51.6
Andover - Doherty Middle,00090305,0.7,6.9,2.8,87.8,0.0,0.0,1.8,53.0,47.0
Andover - Henry C Sanborn Elem,00090010,0.0,11.4,2.3,85.8,0.0,0.0,0.6,51.4,48.6
Andover - High Plain Elementary,00090004,0.8,20.5,4.0,74.0,0.0,0.0,0.8,52.0,48.0
Andover - Shawsheen School,00090005,2.2,7.9,1.1,88.4,0.0,0.0,0.4,50.5,49.5
Andover - South Elementary,00090020,0.2,6.6,0.0,92.2,0.0,0.0,1.0,50.6,49.4
Andover - West Elementary,00090025,0.7,10.8,2.8,80.8,0.3,0.0,4.6,53.0,47.0
Andover - Wood Hill Middle School,00090350,0.5,14.3,3.9,80.1,0.0,0.0,1.2,49.4,50.6
Arlington - Arlington High,00100505,5.3,7.9,4.5,80.0,0.3,0.3,1.8,49.3,50.7
Arlington - Brackett,00100010,0.4,7.2,2.9,85.8,0.0,0.0,3.6,52.6,47.4
Arlington - Cyrus E Dallin,00100025,2.3,7.9,3.1,81.1,0.3,0.0,5.4,49.9,50.1
Arlington - Hardy,00100030,4.0,21.7,4.0,67.3,0.0,0.3,2.8,48.9,51.1
Arlington - John A Bishop,00100005,3.1,7.3,4.2,84.0,0.0,0.0,1.3,50.8,49.2
Arlington - M Norcross Stratton,00100055,2.3,8.4,3.5,82.3,0.3,0.0,3.2,53.2,46.8
Arlington - Menotomy Preschool,00100038,4.5,11.9,4.5,79.1,0.0,0.0,0.0,68.7,31.3
Arlington - Ottoson Middle,00100410,3.9,6.9,4.7,82.3,0.0,0.0,2.3,49.8,50.2
Arlington - Peirce,00100045,4.2,8.5,8.9,72.9,0.0,0.4,5.1,54.2,45.8
Arlington - Thompson,00100050,3.8,19.9,7.6,66.1,0.0,0.3,2.2,47.5,52.5
Ashburnham-Westminster - Briggs Elem,06100025,0.7,0.7,3.3,93.3,0.2,0.0,2.0,50.1,49.9
Ashburnham-Westminster - Meetinghouse School,06100010,0.4,2.8,3.6,93.3,0.0,0.0,0.0,54.0,46.0
Ashburnham-Westminster - Oakmont Regional H S,06100505,1.2,0.7,2.1,94.1,0.3,0.0,1.6,53.5,46.5
Ashburnham-Westminster - Overlook Middle School,06100305,0.9,0.9,5.7,90.3,0.2,0.2,1.9,50.3,49.7
Ashburnham-Westminster - Westminster Elem,06100005,0.5,1.0,1.8,94.2,0.0,0.0,2.5,52.3,47.7
Ashland - Ashland High,00140505,2.2,3.7,4.6,87.9,0.0,0.1,1.5,47.1,52.9
Ashland - Ashland Middle,00140405,4.8,4.8,4.8,84.1,0.0,0.0,1.5,52.4,47.6
Ashland - David Mindess,00140015,2.4,6.1,5.3,84.1,0.0,0.2,2.1,52.2,47.8
Ashland - Henry E Warren Elem,00140010,2.0,11.8,6.7,77.6,0.4,0.0,1.4,49.1,50.9
Ashland - William Pittaway Elem,00140005,0.5,8.3,9.3,78.2,0.0,0.0,3.6,49.2,50.8
Assabet Valley Regional Vocational Technical - Assabet Valley Voc HS,08010605,0.9,0.3,15.1,81.9,0.2,0.0,1.6,61.4,38.6
Athol-Royalston - Athol High,06150505,0.9,1.3,2.4,92.1,0.7,0.2,2.4,55.9,44.1
Athol-Royalston - Athol-Royalston Middle School,06150305,4.6,0.2,3.3,89.0,0.2,0.0,2.6,51.0,49.0
Athol-Royalston - Ellen Bigelow,06150005,0.0,0.0,3.3,93.3,0.0,0.0,3.3,83.3,16.7
Athol-Royalston - Pleasant St,06150016,4.2,0.8,4.2,88.2,0.4,0.0,2.3,55.0,45.0
Athol-Royalston - Riverbend,06150020,3.8,2.7,6.6,83.0,0.0,0.5,3.3,56.0,44.0
Athol-Royalston - Royalston Community Sch,06150050,0.0,0.0,4.0,90.1,0.0,0.0,6.0,44.4,55.6
Athol-Royalston - Sanders Street,06150025,0.0,0.0,9.3,88.2,0.6,0.0,1.9,51.6,48.4
Atlantis Charter (District) - Atlantis Charter School,04910550,4.1,2.3,4.7,85.5,0.3,0.1,3.0,49.9,50.1
Attleboro - A. Irvin Studley Elementary School,00160001,2.5,3.8,21.7,67.8,0.4,0.0,3.8,54.1,45.9
Attleboro - Attleboro High,00160505,4.2,5.9,8.5,77.8,0.7,0.5,2.4,50.7,49.3
Attleboro - Cyril K. Brennan Middle School,00160315,4.5,4.3,11.7,75.2,0.8,0.0,3.5,54.3,45.7
Attleboro - Early Learning Center,00160008,2.0,0.7,9.2,87.5,0.0,0.0,0.7,61.2,38.8
Attleboro - Hill-Roberts Elementary School,00160045,1.9,4.2,6.9,82.6,0.0,0.2,4.2,52.1,47.9
Attleboro - Hyman Fine Elementary School,00160040,3.9,3.9,10.9,74.0,2.7,0.0,4.6,51.0,49.0
Attleboro - Peter Thacher Elementary School,00160050,4.6,4.2,12.3,73.2,0.4,0.0,5.3,51.2,48.8
Attleboro - Robert J. Coelho Middle School,00160305,3.2,3.8,4.1,86.3,0.3,0.5,2.0,48.6,51.4
Attleboro - Thomas E. Willett School,00160035,4.1,3.9,7.8,78.0,1.0,0.0,5.2,55.6,44.4
Attleboro - Wamsutta Middle School,00160320,3.8,6.8,14.2,72.1,0.5,0.0,2.6,52.8,47.2
Auburn - Auburn Middle,00170305,0.7,1.2,2.4,94.2,0.3,0.0,1.2,51.6,48.4
Auburn - Auburn Senior High,00170505,1.8,3.4,3.4,90.2,0.6,0.0,0.7,49.0,51.0
Auburn - Bryn Mawr,00170010,0.4,2.4,4.1,91.0,0.4,0.0,1.6,51.8,48.2
Auburn - Julia Bancroft,00170005,1.2,1.6,4.8,89.6,0.8,0.0,2.0,46.2,53.8
Auburn - Mary D Stone,00170025,1.3,2.5,2.2,91.5,0.0,0.0,2.5,52.2,47.8
Auburn - Pakachoag,00170015,1.6,2.7,2.0,92.2,0.4,0.4,0.8,46.7,53.3
Avon - Avon Middle High School,00180510,23.9,3.3,5.5,65.4,0.5,0.5,0.8,48.9,51.1
Avon - Ralph D Butler,00180010,16.9,3.4,4.7,70.6,0.3,0.3,3.9,51.9,48.1
Ayer - Ayer High,00190510,6.8,1.6,7.5,72.7,0.5,0.3,10.6,48.6,51.4
Ayer - Ayer Middle,00190305,4.8,3.5,11.4,75.5,0.0,0.0,4.8,52.4,47.6
Ayer - Page-Hilltop,00190025,4.8,2.4,9.4,76.0,0.9,0.2,6.5,54.9,45.1
Barnstable - Barnstable Early Learning Center,00200004,8.6,1.7,6.9,80.2,0.9,0.0,1.7,55.2,44.8
Barnstable - Barnstable High,00200505,5.2,1.4,6.2,81.2,1.1,0.6,4.3,49.4,50.6
Barnstable - Barnstable Middle School,00200305,4.4,1.8,6.5,82.3,1.7,0.1,3.2,52.1,47.9
Barnstable - Centerville Elementary,00200010,2.8,1.4,6.7,87.7,0.4,0.4,0.7,48.2,51.8
Barnstable - Cotuit Elem,00200015,1.6,3.1,1.6,92.2,0.0,0.0,1.6,52.3,47.7
Barnstable - Hyannis Elementary,00200020,15.1,1.9,19.3,53.3,2.7,0.0,7.7,52.5,47.5
Barnstable - Hyannis West Elementary,00200025,7.1,2.5,17.9,62.7,1.5,0.6,7.7,54.6,45.4
Barnstable - Marstons Mills Elem,00200030,1.8,0.0,1.8,92.3,0.0,2.4,1.8,44.6,55.4
Barnstable - Osterville Elementary,00200035,1.3,0.0,5.3,90.3,0.0,0.0,3.1,49.8,50.2
Barnstable - West Barnstable Elem,00200005,1.5,1.5,0.8,93.2,0.4,0.0,2.7,51.1,48.9
Barnstable Horace Mann Charter (District) - Barnstable Horace Mann Charter School,04230010,4.5,1.3,3.6,83.1,2.5,0.5,4.5,51.4,48.6
Bedford - Bedford High,00230505,7.0,8.1,3.0,79.8,0.8,0.0,1.4,50.3,49.7
Bedford - John Glenn Middle,00230305,6.6,12.8,3.3,75.4,0.7,0.0,1.2,45.8,54.2
Bedford - Lt Elezer Davis,00230010,8.3,9.5,5.7,70.1,0.4,0.2,5.7,53.3,46.7
Bedford - Lt Job Lane School,00230012,6.0,9.7,4.8,77.0,0.0,0.0,2.6,51.0,49.0
Belchertown - Belchertown High,00240505,1.3,2.7,3.1,90.9,0.0,0.5,1.4,51.4,48.6
Belchertown - Chestnut Hill Community School,00240006,2.4,2.4,2.4,91.4,0.0,0.0,1.5,50.9,49.1
Belchertown - Cold Spring,00240005,0.0,1.3,1.7,95.7,0.0,0.0,1.3,54.8,45.2
Belchertown - Jabish Middle School,00240025,1.3,2.0,3.6,90.6,0.4,0.0,2.0,49.3,50.7
Belchertown - Swift River Elem,00240018,1.5,1.1,3.4,92.0,0.3,0.2,1.5,54.6,45.4
Bellingham - Bellingham ECC,00250003,1.7,3.3,0.0,95.0,0.0,0.0,0.0,56.2,43.8
Bellingham - Bellingham High School,00250505,1.6,2.5,4.1,90.4,0.5,0.0,0.9,50.2,49.8
Bellingham - Bellingham Memorial Middle School,00250315,1.5,2.8,2.5,91.3,0.4,0.0,1.6,52.5,47.5
Bellingham - Clara Macy Elementary,00250009,1.5,2.6,3.7,90.7,0.4,0.0,1.1,49.6,50.4
Bellingham - Primavera Jr/Sr H S,00250510,9.1,0.0,0.0,90.9,0.0,0.0,0.0,75.8,24.2
Bellingham - South Elem,00250020,1.7,4.6,2.4,89.1,0.2,0.0,1.9,55.1,44.9
Bellingham - Stall Brook,00250025,2.7,3.9,2.7,89.5,0.4,0.0,0.8,48.4,51.6
Belmont - Belmont High,00260505,3.4,14.3,4.6,75.0,0.0,0.0,2.6,50.5,49.5
Belmont - Daniel Butler,00260015,6.0,21.5,6.6,58.5,0.0,0.0,7.3,47.5,52.5
Belmont - Mary Lee Burbank,00260010,4.2,12.0,3.6,75.7,0.0,0.0,4.5,49.8,50.2
Belmont - Roger E Wellington,00260035,3.0,10.7,3.9,78.0,0.0,0.2,4.2,47.1,52.9
Belmont - Winn Brook,00260005,2.6,10.5,2.8,80.2,0.0,0.0,4.0,48.5,51.5
Belmont - Winthrop L Chenery Middle,00260305,3.7,12.5,3.9,73.9,0.1,0.0,6.0,48.6,51.4
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,82.1,1.0,14.1,0.3,0.6,0.0,1.9,43.9,56.1
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,0.7,12.5,1.0,83.2,0.2,0.0,2.4,50.2,49.8
Berkley - Berkley Community School,00270010,0.7,0.2,1.5,95.7,0.0,0.0,1.8,51.4,48.6
Berkley - Berkley Middle School,00270305,1.2,0.5,2.2,94.9,0.0,0.0,1.2,52.7,47.3
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,3.3,0.4,5.3,89.0,0.4,0.0,1.6,49.0,51.0
Berkshire Hills - Monument Mt Reg High,06180505,2.1,0.8,3.5,92.2,0.0,0.0,1.4,52.3,47.7
Berkshire Hills - Monument Valley Regional Middle School,06180310,1.1,0.8,5.6,87.9,0.0,0.0,4.5,54.2,45.8
Berkshire Hills - Muddy Brook Regional Elementary School,06180035,1.0,0.5,6.8,90.2,0.0,1.0,0.5,52.4,47.6
Berlin - Berlin Memorial,00280005,0.0,1.7,2.1,95.0,0.0,0.0,1.3,54.0,46.0
Berlin-Boylston - Tahanto Reg High,06200505,0.4,2.4,2.1,93.8,0.2,0.0,1.1,43.8,56.2
Beverly - Ayers/Ryal Side Sch,00300055,1.0,3.7,7.2,86.2,0.0,0.0,1.8,55.2,44.8
Beverly - Beverly High,00300505,3.7,1.5,5.3,88.5,0.0,0.2,0.9,46.5,53.5
Beverly - Briscoe Middle,00300305,1.8,1.3,6.7,88.6,0.1,0.1,1.4,49.7,50.3
Beverly - Centerville Elementary,00300010,2.2,1.6,7.4,86.6,0.0,0.0,2.2,47.0,53.0
Beverly - Cove Elementary,00300015,2.2,3.4,5.4,86.9,0.0,0.2,1.9,52.7,47.3
Beverly - Hannah Elementary,00300033,2.4,1.1,5.9,88.6,0.0,0.0,2.1,52.4,47.6
Beverly - North Beverly Elementary,00300040,2.1,1.6,8.4,84.8,0.0,0.3,2.9,52.1,47.9
Billerica - Billerica Memorial High School,00310505,1.5,3.0,2.9,89.9,0.1,0.1,2.6,51.4,48.6
Billerica - Eugene C Vining,00310030,1.1,1.4,1.4,92.6,0.0,1.1,2.5,56.2,43.8
Billerica - Frederick J Dutile,00310007,1.8,2.5,1.8,92.3,0.0,0.0,1.6,49.5,50.5
Billerica - Hajjar Elementary,00310026,1.6,3.6,1.6,91.0,0.2,0.2,1.8,53.5,46.5
Billerica - John F Kennedy,00310012,0.4,1.0,2.8,95.6,0.0,0.0,0.2,51.2,48.8
Billerica - Locke Middle,00310310,1.0,2.3,0.8,95.1,0.1,0.1,0.6,51.4,48.6
Billerica - Marshall Middle School,00310305,1.9,2.1,1.0,93.2,0.1,0.1,1.5,49.9,50.1
Billerica - Parker,00310015,3.0,7.1,3.3,84.6,0.0,0.0,2.0,51.4,48.6
Billerica - Thomas Ditson,00310005,0.9,5.8,2.6,89.6,0.0,0.0,1.1,52.7,47.3
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,0.5,0.4,2.9,93.7,0.0,0.0,2.5,59.3,40.7
Blackstone-Millville - A F Maloney,06220015,0.9,0.9,3.0,93.0,0.4,0.0,1.7,43.0,57.0
Blackstone-Millville - Blackstone Millville RHS,06220505,1.4,1.1,1.9,95.4,0.0,0.0,0.2,48.0,52.0
Blackstone-Millville - Frederick W. Hartnett Middle School,06220405,1.5,1.3,3.6,89.9,0.2,0.0,3.4,55.3,44.7
Blackstone-Millville - John F Kennedy Elem,06220008,1.1,1.3,4.0,91.1,0.2,0.0,2.3,53.3,46.7
Blackstone-Millville - Millville Elem,06220010,0.0,0.3,0.9,96.0,0.6,0.0,2.3,52.6,47.4
Blue Hills Regional Vocational Technical - Blue Hills Reg Voc Tech,08060605,15.8,1.2,6.3,72.4,0.0,0.1,4.3,59.4,40.6
Boston - Academy of Public Service,00350502,65.3,2.1,28.1,3.5,0.0,0.3,0.7,45.1,54.9
Boston - Agassiz,00350007,16.9,0.2,79.4,2.7,0.0,0.0,0.9,50.2,49.8
Boston - Alexander Hamilton,00350011,33.1,11.3,40.0,13.1,1.3,0.0,1.3,50.0,50.0
Boston - Another Course To College,00350541,43.7,5.0,36.5,14.4,0.0,0.0,0.5,41.0,59.0
Boston - Baldwin ELC,00350003,18.9,19.5,30.5,26.2,1.2,0.0,3.7,53.7,46.3
Boston - Beethoven,00350021,29.9,6.0,38.1,22.1,1.1,0.0,2.8,55.5,44.5
Boston - Blackstone,00350390,15.2,0.5,78.8,4.1,0.0,0.2,1.2,51.8,48.2
Boston - Boston Adult Academy,00350548,54.4,4.6,39.2,0.7,0.0,0.0,1.1,54.4,45.6
Boston - Boston Arts Academy,00350546,41.9,4.3,32.8,16.5,0.5,0.0,4.0,37.3,62.7
Boston - Boston Community Leadership Academy,00350558,47.4,3.7,39.7,7.2,0.0,0.5,1.5,42.7,57.3
Boston - Boston International  High School,00350507,19.0,4.6,67.2,7.5,0.0,0.0,1.7,51.1,48.9
Boston - Boston Latin,00350560,11.7,27.9,8.3,49.9,0.1,0.0,2.1,42.8,57.2
Boston - Boston Latin Academy,00350545,28.3,21.1,16.5,31.3,0.8,0.0,1.9,43.9,56.1
Boston - Boston Middle School Academy,00350413,64.3,0.0,28.6,7.1,0.0,0.0,0.0,85.7,14.3
Boston - Brighton High,00350505,39.7,2.9,51.4,5.2,0.4,0.1,0.3,52.7,47.3
Boston - Brook Farm Business and Service Career Academy,00350576,37.2,1.8,47.8,12.0,0.3,0.0,0.9,52.2,47.8
Boston - Carter Developmental Center,00350036,58.3,8.3,25.0,8.3,0.0,0.0,0.0,62.5,37.5
Boston - Charles H Taylor,00350054,82.7,1.2,12.7,1.2,0.6,0.0,1.6,52.4,47.6
Boston - Charles Sumner,00350052,21.3,2.0,66.4,8.5,0.0,0.0,1.8,55.7,44.3
Boston - Charlestown High,00350515,42.5,21.2,29.6,5.9,0.2,0.0,0.6,53.6,46.4
Boston - Clarence R Edwards Middle,00350430,26.0,18.6,41.4,11.9,0.8,0.0,1.3,52.8,47.2
Boston - Community Academy,00350518,79.4,0.0,19.0,1.6,0.0,0.0,0.0,57.1,42.9
Boston - Community Academy of Science and Health,00350581,74.5,1.3,21.6,1.5,0.3,0.0,0.8,47.2,52.8
Boston - Curley K-8 School,00350020,20.6,3.9,58.7,14.7,0.1,0.0,1.9,51.8,48.2
Boston - Curtis Guild,00350062,2.1,2.1,83.3,11.3,0.7,0.0,0.4,52.8,47.2
Boston - Dante Alighieri,00350066,8.2,3.0,69.4,17.2,0.0,0.0,2.2,55.2,44.8
Boston - David A Ellis,00350072,40.9,0.3,55.3,1.3,0.3,0.0,1.9,51.9,48.1
Boston - Dearborn,00350074,62.9,1.4,28.7,3.1,0.0,0.8,3.1,53.7,46.3
Boston - Dennis C Haley,00350077,42.5,2.0,35.0,17.0,0.3,0.0,3.1,51.0,49.0
Boston - Donald Mckay,00350080,2.3,0.4,88.3,8.6,0.0,0.0,0.4,50.2,49.8
Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,00350008,51.3,6.4,38.5,1.1,0.0,0.0,2.7,51.9,48.1
Boston - East Boston ECC,00350009,2.9,3.4,77.0,16.1,0.0,0.0,0.6,50.6,49.4
Boston - East Boston High,00350530,16.3,2.0,62.2,18.0,0.6,0.0,0.9,53.0,47.0
Boston - Edward Everett,00350088,47.1,18.3,20.1,11.4,0.0,0.3,2.8,55.0,45.0
Boston - Egleston Comm High School,00350543,32.4,1.0,59.8,3.9,1.0,0.0,2.0,33.3,66.7
Boston - ELC - East Zone,00350005,61.0,0.0,33.1,2.5,0.0,0.0,3.4,42.4,57.6
Boston - ELC - West Zone,00350006,30.9,5.2,43.3,18.6,0.0,0.0,2.1,55.7,44.3
Boston - Elihu Greenwood,00350094,59.0,0.0,35.8,3.3,0.6,0.0,1.4,53.4,46.6
Boston - Eliot Elementary,00350096,16.5,5.1,39.6,34.9,0.0,0.0,3.9,52.5,47.5
Boston - Ellis Mendell,00350100,33.8,0.0,62.7,2.0,0.0,0.0,1.5,53.2,46.8
Boston - Emily A Fifield,00350102,76.0,1.8,16.6,2.5,0.0,0.0,3.1,48.0,52.0
Boston - Excel High School,00350522,36.6,25.6,20.3,16.5,0.3,0.0,0.8,59.1,40.9
Boston - Farragut,00350108,42.3,9.7,43.2,1.8,1.3,0.0,1.8,52.9,47.1
Boston - Fenway High School,00350540,41.4,1.7,43.1,11.4,0.7,0.3,1.4,45.2,54.8
Boston - Franklin D Roosevelt,00350116,35.4,1.4,32.4,29.4,0.3,0.0,1.1,50.0,50.0
Boston - Gardner Pilot Academy,00350326,12.5,12.5,61.3,11.3,0.6,0.0,1.8,52.4,47.6
Boston - George H Conley,00350122,29.4,1.0,44.7,22.8,0.0,0.0,2.0,55.8,44.2
Boston - Harbor School,00350426,72.3,3.8,13.5,7.3,0.4,0.4,2.3,54.2,45.8
Boston - Harvard-Kent,00350200,24.1,29.6,34.3,9.6,0.9,0.0,1.5,51.7,48.3
Boston - Haynes Early Education Center,00350010,41.2,4.4,47.8,2.7,0.0,0.0,3.8,52.2,47.8
Boston - Henry Grew,00350135,55.6,0.8,36.4,5.0,0.4,0.0,1.7,57.3,42.7
Boston - Henry L Higginson,00350137,65.4,0.6,30.8,1.3,0.0,0.0,1.9,52.8,47.2
Boston - Horace Mann School for the Deaf,00350750,31.5,9.2,36.9,20.8,0.0,0.0,1.5,47.7,52.3
Boston - Hugh Roe O'Donnell,00350141,3.4,5.3,71.6,18.6,0.0,0.0,1.1,55.3,44.7
Boston - Jackson Mann,00350013,36.5,9.3,35.6,15.8,0.6,0.0,2.3,55.6,44.4
Boston - James A Garfield Elem,00350152,32.8,8.4,37.0,16.8,0.4,0.0,4.6,53.4,46.6
Boston - James Condon Elem,00350146,40.4,9.3,28.2,19.4,0.6,0.0,2.1,52.1,47.9
Boston - James J Chittick,00350154,73.2,0.7,23.7,1.4,0.7,0.0,0.3,49.5,50.5
Boston - James Otis,00350156,2.9,1.0,74.7,20.5,0.0,0.0,1.0,49.4,50.6
Boston - James P Timilty Middle,00350485,41.5,1.6,50.8,4.5,0.9,0.0,0.8,50.8,49.2
Boston - James W Hennigan,00350153,28.0,3.1,61.4,6.3,0.0,0.2,1.0,49.1,50.9
Boston - Jeremiah E Burke High,00350525,67.6,2.7,23.6,2.9,0.3,0.5,2.4,51.8,48.2
Boston - John D Philbrick,00350172,30.6,1.4,41.5,25.2,0.7,0.0,0.7,57.8,42.2
Boston - John F Kennedy,00350166,19.9,0.0,77.6,1.9,0.0,0.0,0.6,51.0,49.0
Boston - John Marshall,00350178,56.9,1.6,35.8,1.4,2.0,0.2,2.2,50.9,49.1
Boston - John P Holland,00350167,45.8,17.6,32.7,1.4,0.1,0.7,1.6,52.8,47.2
Boston - John W McCormack,00350179,38.1,13.5,35.8,10.5,0.8,0.0,1.3,53.0,47.0
Boston - John Winthrop,00350180,54.3,0.6,41.8,1.3,0.6,0.6,0.6,49.2,50.8
Boston - Joseph J Hurley,00350182,16.7,0.9,68.1,12.2,0.9,0.0,1.2,50.8,49.2
Boston - Joseph Lee,00350183,66.1,3.6,24.1,2.3,0.7,0.3,2.9,54.4,45.6
Boston - Joseph P Manning,00350184,15.8,7.5,24.0,49.3,0.7,0.7,2.1,52.1,47.9
Boston - Joseph P Tynan,00350181,36.7,5.4,25.7,29.0,1.2,0.0,2.1,55.2,44.8
Boston - Josiah Quincy,00350286,12.3,64.9,13.0,7.9,0.1,0.0,1.8,54.2,45.8
Boston - Joyce Kilmer,00350190,10.2,7.2,23.8,54.8,0.0,0.0,4.0,54.3,45.7
Boston - Lee Academy,00350001,62.5,6.4,21.0,6.7,0.4,0.0,3.0,53.9,46.1
Boston - Lewis Middle School,00350455,58.5,0.0,37.7,1.7,1.7,0.0,0.4,57.2,42.8
Boston - Lilla G. Frederick Middle School,00350383,52.7,1.1,41.4,3.8,0.2,0.0,0.9,52.5,47.5
Boston - Lucy Stone,00350211,76.2,3.5,17.5,0.0,0.7,0.0,2.1,47.6,52.4
Boston - Lyndon,00350262,7.0,2.2,41.1,48.1,0.4,0.0,1.2,51.7,48.3
Boston - Madison Park High,00350537,47.2,0.7,45.8,3.9,0.5,0.3,1.6,57.3,42.7
Boston - Manassah E Bradley,00350215,5.9,4.5,54.7,31.7,0.3,0.0,2.8,51.6,48.4
Boston - Mario Umana Middle School Academy,00350405,10.0,2.8,69.0,17.2,0.4,0.0,0.7,52.2,47.8
Boston - Martin Luther King Jr Mid,00350410,68.9,1.7,24.8,2.1,0.4,0.4,1.7,53.4,46.6
