SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,28.0,4.7,25.3,37.9,0.1,0.1,3.9,49.9,50.1
Abington - Abington ECC,00010003,0.4,1.7,1.3,96.1,0.4,0.2,0.0,53.1,46.9
Abington - Abington High,00010505,2.4,0.7,2.9,90.6,0.9,0.2,2.4,51.9,48.1
Abington - Center,00010005,2.7,0.5,6.4,89.9,0.5,0.0,0.0,49.5,50.5
Abington - Frolio Middle School,00010405,1.8,1.5,2.6,93.3,0.0,0.0,0.8,51.3,48.7
Abington - North,00010010,0.0,1.0,5.6,93.4,0.0,0.0,0.0,57.1,42.9
Abington - Woodsdale,00010015,1.5,0.3,3.8,93.0,0.3,0.0,1.3,47.3,52.8
Academy of Strategic Learning Charter (District) - Academy of Strategic Learning Charter School,04150505,0.0,0.0,2.0,98.0,0.0,0.0,0.0,55.1,44.9
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,58.4,2.1,15.6,21.1,0.0,0.0,2.7,50.2,49.8
Acton - Douglas,00020020,0.8,19.8,3.9,69.1,0.0,0.0,6.3,55.2,44.8
Acton - Gates,00020025,8.1,24.6,0.6,64.1,0.0,0.0,2.5,54.5,45.5
Acton - Luther Conant,00020030,0.8,39.8,1.8,55.7,0.2,0.0,1.6,47.8,52.2
Acton - McCarthy-Towne,00020015,1.7,9.8,5.4,81.0,0.0,0.0,2.1,48.8,51.3
Acton - Merriam,00020010,8.3,21.8,2.3,65.1,0.5,0.0,2.1,50.5,49.5
Acton-Boxborough - Acton-Boxborough Reg High,06000505,0.9,20.0,2.9,75.0,0.0,0.0,1.3,51.8,48.2
Acton-Boxborough - Raymond J Grey JH,06000405,0.5,22.5,3.1,70.9,0.1,0.0,2.9,49.5,50.5
Acushnet - Acushnet Elementary Sch,00030025,0.2,0.4,0.0,99.4,0.0,0.0,0.0,50.0,50.0
Acushnet - Albert F Ford Middle Sch,00030305,1.4,0.2,1.0,97.1,0.0,0.0,0.2,53.4,46.6
Adams-Cheshire - Adams Middle,06030305,3.3,0.6,0.9,93.7,0.9,0.3,0.3,51.3,48.7
Adams-Cheshire - Cheshire Elementary,06030004,1.2,0.4,0.4,96.8,1.2,0.0,0.0,50.6,49.4
Adams-Cheshire - Hoosac Valley High,06030505,0.6,0.8,1.1,97.0,0.0,0.0,0.4,49.3,50.7
