SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,25.7,4.6,24.5,41.2,0.1,0.1,3.8,49.2,50.8
Abington - Abington ECC,00010003,0.4,0.7,3.1,94.9,0.5,0.4,0.0,52.4,47.6
Abington - Abington High,00010505,3.4,0.0,2.4,92.7,0.2,0.8,0.5,51.2,48.8
Abington - Center,00010005,3.6,0.5,7.6,88.3,0.0,0.0,0.0,51.3,48.7
Abington - Frolio Jr Hs,00010405,1.5,1.2,2.2,93.9,0.5,0.0,0.7,54.1,45.9
Abington - North,00010010,0.0,0.5,4.3,95.1,0.0,0.0,0.0,53.8,46.2
Abington - Woodsdale,00010015,1.3,1.0,2.3,94.1,0.0,0.0,1.3,49.2,50.8
Academy of Strategic Learning Charter (District) - Academy of Strategic Learning Charter School,04150505,4.2,0.0,2.1,93.8,0.0,0.0,0.0,60.4,39.6
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,57.4,2.5,15.5,23.3,0.0,0.0,1.3,50.0,50.0
Acton - Douglas,00020020,0.4,18.7,4.5,71.3,0.0,0.0,5.1,53.3,46.7
Acton - Gates,00020025,0.0,24.5,0.8,71.4,0.0,0.0,3.2,53.5,46.5
Acton - Luther Conant,00020030,0.6,38.4,2.2,57.1,0.2,0.0,1.4,47.5,52.5
Acton - McCarthy-Towne,00020015,1.2,10.3,6.1,80.8,0.4,0.0,1.2,49.8,50.2
Acton - Merriam,00020010,0.3,23.5,1.5,72.0,0.3,0.2,2.2,51.5,48.5
Acton-Boxborough - Acton-Boxborough Reg High,06000505,1.0,17.6,2.7,77.6,0.0,0.0,1.2,51.2,48.8
Acton-Boxborough - Raymond J Grey JH,06000405,0.9,21.4,2.8,73.2,0.0,0.0,1.7,53.7,46.3
Acushnet - Acushnet Elementary Sch,00030025,0.3,0.0,0.2,99.5,0.0,0.0,0.0,50.3,49.7
Acushnet - Albert F Ford Middle Sch,00030305,1.6,0.4,1.0,96.3,0.0,0.0,0.6,51.4,48.6
Adams-Cheshire - Adams Middle,06030305,2.1,0.9,1.2,94.9,0.3,0.3,0.3,51.2,48.8
Adams-Cheshire - Cheshire Elementary,06030004,1.2,0.4,0.0,98.0,0.4,0.0,0.0,52.0,48.0
Adams-Cheshire - Hoosac Valley High,06030505,0.9,0.9,1.1,96.6,0.0,0.0,0.6,49.6,50.4
Adams-Cheshire - Plunkett Elementary,06030020,5.1,1.3,2.4,90.0,1.3,0.0,0.0,53.1,46.9
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,0.2,8.4,2.1,86.2,0.2,0.0,2.9,55.6,44.4
