SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,24.6,4.3,21.4,45.3,0.2,0.1,4.1,48.7,51.3
Abington - Abington ECC,00010003,0.4,1.1,3.2,94.3,0.2,0.4,0.5,52.0,48.0
Abington - Abington High,00010505,3.2,0.0,2.6,92.3,0.3,0.9,0.7,50.9,49.1
Abington - Center,00010005,3.0,2.5,1.5,90.9,0.5,0.0,1.5,49.0,51.0
Abington - Frolio Jr Hs,00010405,1.3,0.5,2.5,95.2,0.0,0.0,0.5,54.8,45.2
Abington - North,00010010,0.0,0.5,2.6,96.9,0.0,0.0,0.0,55.4,44.6
Abington - Woodsdale,00010015,1.3,1.0,2.0,94.6,0.0,0.0,1.0,47.8,52.2
Academy of Strategic Learning Charter (District) - Academy of Strategic Learning Charter School,04150505,0.0,0.0,0.0,100.0,0.0,0.0,0.0,67.3,32.7
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,54.1,3.4,14.4,25.0,0.0,0.0,3.1,50.8,49.2
Acton - Douglas,00020020,1.0,18.1,4.4,73.1,0.0,0.0,3.4,52.4,47.6
Acton - Gates,00020025,0.0,19.0,0.6,76.9,0.0,0.0,3.5,55.5,44.5
Acton - Luther Conant,00020030,0.8,35.8,2.2,60.3,0.0,0.0,0.8,48.3,51.7
Acton - McCarthy-Towne,00020015,1.2,8.0,6.1,83.3,0.4,0.0,1.0,49.8,50.2
Acton - Merriam,00020010,0.8,21.4,2.2,74.2,0.3,0.0,1.0,51.8,48.2
Acton-Boxborough - Acton-Boxborough Reg High,06000505,1.4,17.2,2.7,77.9,0.0,0.0,0.8,50.2,49.8
Acton-Boxborough - Raymond J Grey JH,06000405,0.8,19.4,3.0,75.2,0.0,0.0,1.6,52.5,47.5
Acushnet - Acushnet Elementary Sch,00030025,0.3,0.0,0.5,99.2,0.0,0.0,0.0,52.7,47.3
Acushnet - Albert F Ford Middle Sch,00030305,1.2,0.2,0.6,97.0,0.2,0.0,0.8,49.3,50.7
Adams-Cheshire - Adams Middle,06030305,2.6,0.9,2.0,94.3,0.0,0.0,0.3,54.0,46.0
Adams-Cheshire - Cheshire Elementary,06030004,1.1,0.7,0.0,97.4,0.7,0.0,0.0,52.0,48.0
Adams-Cheshire - Hoosac Valley High,06030505,2.3,0.6,0.6,95.8,0.0,0.0,0.6,48.6,51.4
Adams-Cheshire - Plunkett Elementary,06030020,4.8,0.7,2.0,90.9,1.3,0.2,0.2,52.2,47.8
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,0.7,11.0,3.2,80.0,0.2,0.0,4.9,58.4,41.6
Agawam - Agawam ECC,00050003,0.0,0.8,0.0,99.2,0.0,0.0,0.0,55.5,44.5
Agawam - Agawam High,00050505,0.8,0.6,3.4,93.5,0.0,0.9,0.8,49.2,50.8
Agawam - Agawam Junior High,00050405,1.0,0.7,0.3,97.7,0.0,0.0,0.3,52.8,47.2
Agawam - Agawam Middle School,00050303,1.0,0.7,1.1,96.8,0.3,0.0,0.1,48.9,51.1
Agawam - Benjamin J Phelps,00050020,1.0,2.3,0.5,95.9,0.0,0.0,0.3,50.0,50.0
Agawam - Clifford M Granger,00050010,0.5,1.9,7.6,86.8,0.3,0.0,3.0,58.1,41.9
Agawam - James Clark School,00050030,0.5,0.3,1.3,95.7,0.8,1.3,0.0,52.4,47.6
Agawam - Robinson Park,00050025,2.0,1.0,2.2,94.6,0.0,0.0,0.2,49.4,50.6
Amesbury - Amesbury Elementary,00070005,0.5,0.5,3.8,92.6,0.5,0.0,2.3,55.5,44.5
Amesbury - Amesbury High,00070505,1.0,0.1,3.2,92.4,1.1,0.1,2.0,46.8,53.2
Amesbury - Amesbury Middle,00070013,1.6,0.7,1.6,93.7,0.4,0.1,1.9,53.0,47.0
Amesbury - Charles C Cashman El,00070010,1.7,0.6,4.7,91.3,0.2,0.0,1.5,55.3,44.7
Amherst - Crocker Farm Elementary,00080009,9.3,6.0,32.6,48.2,0.5,0.0,3.3,55.3,44.7
Amherst - Fort River Elementary,00080020,6.6,14.5,12.0,57.3,0.0,0.0,9.6,49.1,50.9
Amherst - Marks Meadow Elementary School,00080030,13.8,17.7,9.4,45.3,0.0,0.0,13.8,49.2,50.8
Amherst - Wildwood Elementary,00080050,4.4,13.8,10.4,58.1,0.0,0.0,13.4,52.8,47.2
Amherst-Pelham - Amherst Regional High,06050505,7.7,10.4,8.8,68.5,0.4,0.0,4.2,48.6,51.4
Amherst-Pelham - Amherst Regional MS,06050405,9.8,7.6,10.5,66.7,0.4,0.0,5.1,49.5,50.5
Andover - Andover High,00090505,1.5,8.4,2.5,86.3,0.1,0.1,1.1,50.6,49.4
Andover - Andover West Middle,00090310,1.2,8.7,3.1,84.1,0.0,0.0,3.0,51.4,48.6
Andover - Bancroft Elementary,00090003,1.5,6.9,3.3,85.0,0.0,0.0,3.3,49.9,50.1
Andover - Doherty Middle,00090305,0.4,9.2,3.4,84.7,0.2,0.0,2.2,55.9,44.1
Andover - Henry C Sanborn Elem,00090010,0.0,12.1,1.1,85.1,0.0,0.0,1.7,51.5,48.5
Andover - High Plain Elementary,00090004,0.8,15.4,5.4,77.7,0.0,0.0,0.8,51.2,48.8
Andover - Shawsheen School,00090005,0.4,6.2,0.8,90.9,0.0,0.0,1.7,56.2,43.8
Andover - South Elementary,00090020,0.2,6.5,0.4,91.4,0.0,0.0,1.6,49.0,51.0
Andover - West Elementary,00090025,0.9,10.2,2.5,83.1,0.5,0.0,2.8,51.2,48.8
Andover - Wood Hill Middle School,00090350,2.0,11.7,3.6,80.5,0.0,0.0,2.3,47.5,52.5
Arlington - Arlington High,00100505,5.8,5.8,3.9,83.0,0.0,0.2,1.4,49.7,50.3
Arlington - Brackett,00100010,0.5,7.0,3.3,86.4,0.0,0.0,2.8,51.6,48.4
Arlington - Cyrus E Dallin,00100025,2.9,6.9,4.0,78.4,0.3,0.3,7.2,50.3,49.7
Arlington - Hardy,00100030,4.3,17.3,4.3,72.4,0.0,0.0,1.5,45.5,54.5
Arlington - John A Bishop,00100005,2.7,7.5,3.0,85.5,0.0,0.0,1.3,52.4,47.6
Arlington - M Norcross Stratton,00100055,2.0,10.0,1.3,84.3,0.3,0.0,2.0,54.3,45.7
Arlington - Menotomy Preschool,00100038,0.0,7.8,5.2,84.4,0.0,0.0,2.6,68.8,31.2
Arlington - Ottoson Middle,00100410,4.1,6.4,3.8,83.1,0.4,0.0,2.2,49.9,50.1
Arlington - Peirce,00100045,3.6,9.0,7.2,77.6,0.0,0.4,2.2,52.0,48.0
Arlington - Thompson,00100050,6.4,17.3,8.5,65.8,0.0,0.0,2.1,50.6,49.4
Ashburnham-Westminster - Briggs Elem,06100025,1.6,0.8,6.3,88.6,0.4,0.0,2.3,49.9,50.1
Ashburnham-Westminster - Meetinghouse School,06100010,0.4,1.7,2.2,93.9,0.0,0.0,1.7,50.4,49.6
Ashburnham-Westminster - Oakmont Regional H S,06100505,1.4,0.8,2.3,94.9,0.0,0.0,0.7,55.7,44.3
Ashburnham-Westminster - Overlook Middle School,06100305,0.8,1.5,3.4,92.4,0.2,0.2,1.6,52.0,48.0
Ashburnham-Westminster - Westminster Elem,06100005,0.3,0.3,3.7,93.0,0.0,0.0,2.7,48.9,51.1
Ashland - Ashland High,00140505,1.5,0.0,5.8,85.9,0.3,3.4,3.1,48.6,51.4
Ashland - Ashland Middle,00140405,2.2,0.0,3.1,90.1,0.2,1.5,2.9,49.9,50.1
Ashland - David Mindess,00140015,3.7,1.2,5.8,82.6,0.2,3.0,3.6,53.3,46.7
Ashland - Henry E Warren Elem,00140010,1.2,0.5,5.4,84.7,0.0,6.2,2.0,49.9,50.1
Ashland - William Pittaway Elem,00140005,1.3,0.0,4.2,87.1,0.0,7.1,0.3,49.8,50.2
Assabet Valley - Assabet Valley Voc H S,08010605,0.8,0.4,13.9,82.5,0.3,0.0,2.1,63.2,36.8
Athol-Royalston - Athol High,06150505,0.6,0.4,5.0,90.2,0.6,0.6,2.8,54.4,45.6
Athol-Royalston - Athol-Royalston Middle School,06150305,2.3,0.6,6.3,88.1,0.2,0.2,2.3,54.4,45.6
Athol-Royalston - Ellen Bigelow,06150005,0.0,0.0,10.0,87.5,0.0,0.0,2.5,82.5,17.5
Athol-Royalston - Pleasant St,06150016,2.5,0.7,8.9,83.9,0.0,0.0,3.9,51.8,48.2
Athol-Royalston - Riverbend,06150020,4.5,1.5,10.1,80.8,0.5,0.0,2.5,49.5,50.5
Athol-Royalston - Royalston Community Sch,06150050,0.0,0.0,2.7,92.9,0.0,0.0,4.5,42.0,58.0
Athol-Royalston - Sanders Street,06150025,4.3,0.0,8.6,83.6,0.0,0.0,3.6,52.1,47.9
Athol-Royalston - Silver Lake,06150030,0.6,0.0,3.6,92.8,0.6,0.0,2.4,54.5,45.5
Atlantis Charter (District) - Atlantis Charter School,04910550,5.8,1.4,4.6,85.2,0.3,0.0,2.6,49.3,50.7
Attleboro - A. Irvin Studley Elementary School,00160001,4.0,3.4,21.7,68.4,0.2,0.0,2.3,55.2,44.8
Attleboro - Attleboro High,00160505,3.6,5.5,8.9,76.9,1.6,0.1,3.4,49.8,50.2
Attleboro - Cyril K. Brennan Middle School,00160315,4.1,4.1,9.8,79.8,0.5,0.2,1.4,51.0,49.0
Attleboro - Early Learning Center,00160008,1.3,1.3,6.0,85.9,0.7,0.0,4.7,55.7,44.3
Attleboro - Hill-Roberts Elementary School,00160045,1.1,3.9,7.6,85.2,0.4,0.2,1.5,52.3,47.7
Attleboro - Hyman Fine Elementary School,00160040,4.1,3.2,7.8,78.3,4.4,0.0,2.2,50.4,49.6
Attleboro - Peter Thacher Elementary School,00160050,4.1,5.1,8.6,72.8,0.9,0.0,8.6,49.9,50.1
Attleboro - Robert J. Coelho Middle School,00160305,4.8,3.4,4.8,85.4,0.2,0.6,0.9,51.6,48.4
Attleboro - Thomas E. Willett School,00160035,2.1,5.7,7.7,79.6,0.5,0.0,4.4,55.4,44.6
Attleboro - Wamsutta Middle School,00160320,4.7,7.2,9.4,77.3,0.2,0.2,0.9,53.1,46.9
Auburn - Auburn Middle,00170305,1.0,1.9,4.1,92.5,0.0,0.0,0.5,52.1,47.9
Auburn - Auburn Senior High,00170505,1.3,2.8,3.6,91.2,0.6,0.0,0.4,48.3,51.7
Auburn - Bryn Mawr,00170010,1.7,2.1,4.1,89.7,0.8,0.0,1.7,48.8,51.2
Auburn - Julia Bancroft,00170005,0.0,1.5,3.4,92.9,0.4,0.0,1.9,53.8,46.2
Auburn - Mary D Stone,00170025,1.6,2.6,1.3,92.9,0.3,0.3,1.0,51.0,49.0
Auburn - Pakachoag,00170015,1.2,2.8,1.6,93.7,0.4,0.0,0.4,46.2,53.8
Avon - Avon Middle High School,00180510,24.1,5.5,3.1,66.4,0.0,0.3,0.5,49.6,50.4
Avon - Ralph D Butler,00180010,14.5,3.7,3.4,75.8,0.8,0.5,1.3,48.9,51.1
Ayer - Ayer High,00190510,6.4,1.5,7.2,75.6,0.0,0.5,8.7,50.3,49.7
Ayer - Ayer Middle,00190305,6.8,1.1,9.7,73.6,0.6,0.0,8.2,50.9,49.1
Ayer - Page-Hilltop,00190025,3.6,2.7,8.3,78.0,0.8,0.2,6.4,56.8,43.2
Barnstable - Barnstable Early Learning Center,00200004,5.4,4.5,0.9,88.4,0.0,0.9,0.0,57.1,42.9
Barnstable - Barnstable High,00200505,4.5,1.3,7.7,82.6,0.4,0.6,2.8,49.2,50.8
Barnstable - Barnstable Middle School,00200305,5.1,1.1,4.1,86.8,1.5,0.0,1.3,51.6,48.4
Barnstable - Centerville Elementary,00200010,2.2,1.6,5.1,89.1,0.3,0.3,1.3,50.3,49.7
Barnstable - Cotuit Elem,00200015,3.6,0.9,3.6,88.3,0.9,0.9,1.8,50.5,49.5
Barnstable - Hyannis Elementary,00200020,14.5,3.2,17.4,52.1,4.8,0.3,7.7,54.3,45.7
Barnstable - Hyannis West Elementary,00200025,8.2,2.9,10.8,63.8,1.1,1.4,11.8,51.6,48.4
Barnstable - Marstons Mills Elem,00200030,1.9,0.6,0.0,91.6,0.0,2.6,3.2,49.4,50.6
Barnstable - Osterville Bay Elementary,00200040,0.0,1.4,2.0,93.2,0.0,0.7,2.7,50.0,50.0
Barnstable - Osterville Elementary,00200035,2.2,1.1,3.8,90.7,0.0,0.0,2.2,47.5,52.5
Barnstable - West Barnstable Elem,00200005,1.8,1.3,0.0,95.1,0.0,0.0,1.8,49.6,50.4
Barnstable Horace Mann Charter (District) - Barnstable Horace Mann Charter School,04230010,4.3,1.9,5.0,84.6,1.6,0.1,2.5,52.8,47.2
Bedford - Bedford High,00230505,7.6,6.8,1.9,82.4,0.5,0.0,0.8,51.7,48.3
Bedford - John Glenn Middle,00230305,2.9,10.3,2.9,82.6,0.4,0.0,1.0,45.6,54.4
Bedford - Lt Elezer Davis,00230010,4.6,8.5,4.6,77.6,0.0,0.2,4.4,50.7,49.3
Bedford - Lt Job Lane School,00230012,6.3,11.1,3.4,76.5,0.6,0.0,2.1,50.9,49.1
Belchertown - Belchertown High,00240505,0.9,0.9,1.8,93.0,0.0,1.6,1.8,48.9,51.1
Belchertown - Chestnut Hill Community School,00240006,1.4,1.6,3.7,90.5,0.6,0.0,2.2,49.5,50.5
Belchertown - Cold Spring,00240005,1.9,0.8,3.8,92.1,0.4,0.0,1.1,59.0,41.0
Belchertown - Jabish Middle School,00240025,1.4,2.7,2.3,93.5,0.0,0.0,0.2,52.8,47.2
Belchertown - Swift River Elem,00240018,1.8,1.4,1.6,92.9,0.4,0.2,1.8,52.1,47.9
Bellingham - Bellingham ECC,00250003,4.0,4.0,0.0,92.0,0.0,0.0,0.0,80.0,20.0
Bellingham - Bellingham High School,00250505,1.6,2.1,2.9,92.7,0.4,0.0,0.4,48.5,51.5
Bellingham - Bellingham Memorial Middle School,00250315,1.1,2.2,3.5,92.2,0.2,0.0,0.7,52.4,47.6
Bellingham - Clara Macy Elementary,00250009,0.4,0.7,4.7,93.5,0.4,0.0,0.4,53.8,46.2
Bellingham - Primavera Jr/Sr H S,00250510,0.0,0.0,5.9,82.4,5.9,0.0,5.9,67.6,32.4
Bellingham - South Elem,00250020,1.7,3.2,2.4,91.3,0.2,0.0,1.2,54.1,45.9
Bellingham - Stall Brook,00250025,2.2,2.9,2.2,90.1,0.7,0.0,1.8,50.4,49.6
