SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,Males,Females
Abby Kelley Foster Regional Charter - Abby Kelley Foster Regional Charter School,04450105,13.9,4.0,15.0,66.8,0.2,50.5,49.5
Abington - Abington ECC,00010003,1.7,1.3,2.5,94.4,0.0,51.3,48.7
Abington - Abington High,00010505,2.6,0.5,1.8,95.1,0.0,47.5,52.5
Abington - Center,00010005,0.9,0.5,0.5,98.2,0.0,55.0,45.0
Abington - Frolio Jr Hs,00010405,3.1,0.5,1.9,94.4,0.0,51.9,48.1
Abington - North,00010010,0.0,0.5,0.5,99.0,0.0,52.9,47.1
Abington - Woodsdale,00010015,0.8,0.3,0.0,98.9,0.0,55.1,44.9
Academy of Strategic Learning HMCS - Academy of Strategic Learning HMCS School,04150505,0.0,0.0,0.0,100.0,0.0,64.4,35.6
Academy Of the Pacific Rim Charter - Academy Of the Pacific Rim Charter School,04120530,65.7,4.9,6.7,22.6,0.0,52.3,47.7
Acton - Douglas,00020020,0.8,19.8,3.4,75.9,0.0,51.2,48.8
Acton - Gates,00020025,0.2,14.6,0.4,84.8,0.0,56.3,43.7
Acton - Luther Conant,00020030,0.8,27.8,1.2,69.7,0.4,51.0,49.0
Acton - McCarthy-Towne,00020015,1.6,11.1,4.2,83.2,0.0,50.3,49.7
Acton - Merriam,00020010,0.2,19.4,1.3,79.1,0.0,49.9,50.1
Acton-Boxborough - Acton-Boxborough Reg High,06000505,1.0,12.1,1.7,84.9,0.2,50.3,49.7
Acton-Boxborough - Raymond J Grey JH,06000405,1.7,14.5,1.2,82.6,0.0,52.3,47.7
Acushnet - Acushnet Elementary Sch,00030025,1.4,0.4,0.0,98.2,0.0,53.1,46.9
Acushnet - Albert F Ford Middle Sch,00030305,1.5,0.2,0.0,98.4,0.0,52.0,48.0
Adams-Cheshire - Adams Middle,06030305,1.6,0.9,1.2,94.2,2.1,50.1,49.9
Adams-Cheshire - Cheshire Elementary,06030004,1.1,1.8,1.4,95.7,0.0,52.5,47.5
Adams-Cheshire - Hoosac Valley High,06030505,1.0,0.8,0.4,97.7,0.2,47.8,52.2
Adams-Cheshire - Plunkett Elementary,06030020,4.4,0.5,1.8,93.2,0.0,53.9,46.1
Agawam - Agawam ECC,00050003,0.0,0.0,0.0,100.0,0.0,53.2,46.8
Agawam - Agawam High,00050505,1.4,1.6,1.4,95.3,0.3,49.9,50.1
Agawam - Agawam Junior High,00050405,1.2,1.6,3.0,93.9,0.3,54.1,45.9
Agawam - Agawam Middle School,00050303,1.3,1.0,1.6,96.1,0.0,51.7,48.3
Agawam - Benjamin J Phelps,00050020,0.7,1.0,1.4,96.9,0.0,49.5,50.5
Agawam - Clifford M Granger,00050010,1.5,0.7,4.6,92.7,0.5,52.3,47.7
Agawam - James Clark School,00050030,0.5,0.8,3.1,94.8,0.8,53.9,46.1
Agawam - Robinson Park,00050025,1.2,0.7,0.5,97.5,0.0,52.5,47.5
Amesbury - Amesbury Elementary,00070005,2.0,0.8,2.2,95.0,0.0,53.6,46.4
Amesbury - Amesbury High,00070505,1.0,1.1,1.5,96.4,0.0,50.6,49.4
Amesbury - Amesbury Middle,00070013,1.5,0.7,2.3,94.7,0.8,49.2,50.8
Amesbury - Charles C Cashman El,00070010,1.3,0.5,2.9,95.1,0.2,56.4,43.6
Amherst - Crocker Farm Elementary,00080009,11.5,6.1,25.1,56.7,0.6,53.6,46.4
Amherst - Fort River Elementary,00080020,13.5,13.1,7.9,65.1,0.4,50.1,49.9
Amherst - Marks Meadow Laboratory,00080030,19.1,16.6,12.1,51.8,0.5,46.7,53.3
Amherst - Wildwood Elementary,00080050,14.9,14.4,8.0,62.0,0.7,46.2,53.8
Amherst-Pelham - Amherst Regional High,06050505,10.7,9.9,7.3,70.9,1.2,52.0,48.0
Amherst-Pelham - Amherst Regional MS,06050405,8.9,8.4,6.6,75.6,0.5,49.6,50.4
Andover - Andover High,00090505,0.9,7.7,2.7,88.6,0.1,50.5,49.5
Andover - Andover West Middle,00090310,0.6,9.5,2.0,87.9,0.0,48.6,51.4
Andover - Bancroft Elementary,00090003,0.7,7.2,2.4,89.2,0.5,54.9,45.1
Andover - Doherty Middle,00090305,1.1,3.1,1.4,94.1,0.4,54.2,45.8
Andover - Henry C Sanborn Elem,00090010,0.3,8.0,0.5,91.2,0.0,50.4,49.6
Andover - High Plain Elementary,00090004,0.7,14.2,5.7,79.3,0.2,48.3,51.7
Andover - Shawsheen School,00090005,0.8,3.8,0.4,95.1,0.0,50.4,49.6
Andover - South Elementary,00090020,0.7,7.4,0.5,91.3,0.0,51.4,48.6
Andover - West Elementary,00090025,2.0,9.6,2.0,86.1,0.3,57.0,43.0
Andover - Wood Hill Middle School,00090350,1.7,12.3,4.4,81.5,0.0,50.2,49.8
Arlington - Arlington High,00100505,5.9,4.6,2.6,86.9,0.1,49.6,50.4
Arlington - Brackett,00100010,0.3,6.5,1.7,91.6,0.0,48.6,51.4
Arlington - Cyrus E Dallin,00100025,4.0,9.1,1.9,84.5,0.5,48.8,51.2
Arlington - Hardy,00100030,7.5,12.9,2.7,76.9,0.0,46.3,53.7
Arlington - John A Bishop,00100005,2.0,6.5,1.5,90.0,0.0,53.6,46.4
Arlington - M Norcross Stratton,00100055,2.0,9.8,1.7,86.5,0.0,51.5,48.5
Arlington - Menotomy Preschool,00100038,4.6,3.4,1.1,90.8,0.0,55.2,44.8
Arlington - Ottoson Middle,00100410,4.8,5.8,2.6,86.8,0.0,51.2,48.8
Arlington - Peirce,00100045,4.8,9.2,7.9,77.2,0.9,52.6,47.4
Arlington - Thompson,00100050,11.7,12.7,2.2,73.3,0.0,50.8,49.2
Ashburnham-Westminster - Briggs Elem,06100025,1.0,1.0,1.6,96.5,0.0,54.1,45.9
Ashburnham-Westminster - Meetinghouse School,06100010,1.4,0.0,0.0,98.6,0.0,54.8,45.2
Ashburnham-Westminster - Oakmont Regional H S,06100505,0.7,1.5,1.2,96.5,0.1,51.8,48.2
Ashburnham-Westminster - Overlook Middle School,06100305,1.4,1.2,1.6,95.8,0.0,56.2,43.8
Ashburnham-Westminster - Westminster Elem,06100005,1.0,1.8,1.3,95.6,0.3,46.6,53.4
Ashland - Ashland High,00140505,2.6,3.2,2.6,91.7,0.0,49.8,50.2
Ashland - Ashland Middle,00140405,2.6,3.7,3.4,90.3,0.0,49.3,50.7
Ashland - David Mindess,00140015,1.8,3.3,1.3,93.6,0.0,49.8,50.2
Ashland - Henry E Warren Elem,00140010,4.9,4.5,4.9,85.1,0.6,50.5,49.5
Ashland - William Pittaway Elem,00140005,2.2,6.1,5.0,86.1,0.6,53.6,46.4
Assabet Valley - Assabet Valley Voc H S,08010605,1.6,1.2,10.0,87.0,0.2,65.9,34.1
Athol-Royalston - Athol High,06150505,0.8,0.7,2.1,96.4,0.0,52.9,47.1
Athol-Royalston - Athol-Royalston Middle School,06150305,0.6,1.5,4.6,92.8,0.4,54.2,45.8
Athol-Royalston - Ellen Bigelow,06150005,0.0,0.0,4.3,94.3,1.4,84.3,15.7
Athol-Royalston - Pleasant St,06150016,2.5,1.4,4.6,90.8,0.7,53.2,46.8
Athol-Royalston - Riverbend,06150020,2.7,0.3,6.6,88.7,1.7,51.5,48.5
Athol-Royalston - Royalston Community Sch,06150050,0.8,0.0,0.0,99.2,0.0,49.2,50.8
Athol-Royalston - Sanders Street,06150025,4.6,0.0,3.4,92.0,0.0,46.0,54.0
Athol-Royalston - Silver Lake,06150030,3.0,1.5,3.0,91.7,0.8,53.0,47.0
Atlantis Charter - Atlantis Charter School,04910550,5.9,1.6,4.8,86.9,0.9,50.1,49.9
Attleboro - A. Irvin Studley Elementary School,00160001,4.1,2.9,13.3,79.7,0.0,54.3,45.7
Attleboro - Attleboro High,00160505,3.8,6.4,4.5,85.1,0.2,51.1,48.9
Attleboro - Cyril K. Brennan Middle School,00160315,5.5,5.9,7.9,80.2,0.4,50.3,49.7
Attleboro - Early Learning Center,00160008,2.7,4.0,4.7,88.7,0.0,52.0,48.0
Attleboro - Hill-Roberts Elementary School,00160045,1.9,3.5,4.2,90.4,0.0,48.4,51.6
Attleboro - Hyman Fine Elementary School,00160040,4.7,5.7,8.3,81.3,0.0,54.7,45.3
Attleboro - Peter Thacher Elementary School,00160050,4.0,8.6,7.5,78.4,1.5,50.5,49.5
Attleboro - Robert J. Coelho Middle School,00160305,2.0,2.0,2.9,92.7,0.3,49.2,50.8
Attleboro - Thomas E. Willett School,00160035,4.4,3.9,6.7,84.8,0.2,53.1,46.9
Attleboro - Wamsutta Middle School,00160320,4.1,7.2,5.9,82.8,0.0,50.5,49.5
Auburn - Auburn Middle,00170305,1.7,2.6,2.8,92.0,0.9,53.1,46.9
Auburn - Auburn Senior High,00170505,1.4,2.4,2.1,94.2,0.0,48.7,51.3
Auburn - Bryn Mawr,00170010,0.8,1.9,1.9,95.0,0.4,53.8,46.2
Auburn - Julia Bancroft,00170005,1.0,3.1,4.5,90.1,1.4,54.5,45.5
Auburn - Mary D Stone,00170025,0.3,3.2,1.6,91.6,3.2,48.2,51.8
Auburn - Pakachoag,00170015,3.0,1.3,1.0,94.3,0.3,50.5,49.5
Avon - Avon Middle High School,00180510,22.3,4.4,1.5,71.2,0.4,47.6,52.4
Avon - Ralph D Butler,00180010,6.4,4.0,4.8,84.4,0.4,56.8,43.2
Ayer - Ayer High,00190510,9.1,4.0,5.1,81.3,0.5,47.1,52.9
Ayer - Ayer Middle,00190305,12.9,4.9,6.3,75.3,0.5,54.0,46.0
Ayer - Page-Hilltop,00190025,9.8,4.3,6.8,78.8,0.3,53.9,46.1
Barnstable - Barnstable High,00200505,5.0,2.7,7.7,84.0,0.5,51.2,48.8
Barnstable - Centerville Elementary,00200010,3.2,1.3,4.5,90.5,0.5,49.9,50.1
Barnstable - Cotuit Elem,00200015,1.3,0.6,0.6,96.8,0.6,55.8,44.2
Barnstable - Hyannis Elementary,00200020,15.0,2.7,8.4,67.0,6.8,52.6,47.4
Barnstable - Hyannis West Elementary,00200025,12.2,3.1,9.2,70.9,4.6,49.8,50.2
Barnstable - Marstons Mills East,00200032,0.2,4.1,0.2,94.2,1.2,53.8,46.2
Barnstable - Marstons Mills Elem,00200030,2.1,0.0,0.7,94.3,2.8,50.4,49.6
Barnstable - Middle School/Hyannis,00200305,7.0,1.4,6.0,84.7,0.9,50.4,49.6
Barnstable - Osterville Bay Elementary,00200040,0.0,1.1,1.1,96.8,1.1,51.4,48.6
Barnstable - Osterville Elementary,00200035,0.7,0.7,1.8,95.7,1.1,51.8,48.2
Barnstable - West Barnstable Elem,00200005,0.7,1.4,1.0,96.9,0.0,46.5,53.5
Barnstable HMCS - Barnstable HMCS School,04230010,5.1,0.8,3.0,90.0,1.0,52.3,47.7
Bedford - Bedford High,00230505,6.4,5.8,2.9,84.6,0.3,51.7,48.3
Bedford - John Glenn Middle,00230305,6.5,9.3,0.6,82.9,0.8,51.2,48.8
Bedford - Lt Elezer Davis,00230010,5.8,13.5,1.8,78.1,0.8,49.1,50.9
Bedford - Lt Job Lane School,00230012,3.7,10.1,2.5,83.3,0.4,45.0,55.0
Belchertown - Belchertown High,00240505,1.5,0.9,1.6,96.1,0.0,48.7,51.3
Belchertown - Berkshire Avenue School,00240002,2.2,3.3,0.0,92.2,2.2,52.2,47.8
Belchertown - Chestnut Hill Community,00240004,0.7,1.0,2.5,95.9,0.0,48.7,51.3
Belchertown - Cold Spring,00240005,0.0,0.9,0.9,98.1,0.0,52.4,47.6
Belchertown - Swift River Elem,00240018,1.1,2.0,1.9,95.0,0.0,50.8,49.2
Belchertown - Tadgell Hall,00240020,0.6,0.0,2.3,97.2,0.0,51.1,48.9
Bellingham - Bellingham ECC,00250003,0.0,0.0,11.1,88.9,0.0,61.1,38.9
Bellingham - Bellingham High School,00250505,0.6,1.9,1.2,95.8,0.5,48.2,51.8
Bellingham - Bellingham Memorial Middle School,00250315,0.0,1.3,3.3,95.3,0.1,50.2,49.8
Bellingham - Clara Macy Elementary,00250009,0.0,1.9,1.5,96.2,0.4,50.8,49.2
Bellingham - Primavera Jr/Sr H S,00250510,8.3,0.0,0.0,91.7,0.0,87.5,12.5
Bellingham - South Elem,00250020,1.7,1.0,1.7,95.7,0.0,47.5,52.5
Bellingham - Stall Brook,00250025,0.0,1.8,2.1,95.9,0.3,48.7,51.3
Belmont - Belmont High,00260505,6.6,11.0,3.4,78.9,0.2,49.6,50.4
Belmont - Daniel Butler,00260015,5.0,19.7,4.6,70.7,0.0,56.1,43.9
Belmont - Mary Lee Burbank,00260010,4.6,11.9,2.3,81.1,0.0,48.7,51.3
Belmont - Roger E Wellington,00260035,3.5,13.6,1.9,80.6,0.5,49.4,50.6
Belmont - Winn Brook,00260005,3.0,9.5,1.6,85.6,0.2,54.3,45.7
Belmont - Winthrop L Chenery Middle,00260305,3.7,13.0,2.9,80.1,0.3,52.0,48.0
