SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Boston - Joseph J Hurley,00350182,3.9,0,73.5,19.6,0,0,3,51.2,48.8
Boston - Joseph Lee,00350183,55.6,7.3,29.4,3,0,0.3,4.4,59,41
Boston - Joseph P Manning,00350184,19.5,3.8,22.6,44.7,0,0.6,8.8,58.5,41.5
Boston - Joseph P Tynan,00350181,42.1,8.1,23.9,21.6,0.3,0.5,3.6,56.9,43.1
Boston - Josiah Quincy,00350286,16.2,56.7,15.5,7.9,0,0,3.7,52.5,47.5
Boston - Joyce Kilmer,00350190,9.8,6.8,17,60.4,0.6,0.2,5.1,53.8,46.2
Boston - King K-8,00350376,62.9,0.8,30.4,1.2,0,0,4.8,54.6,45.4
Boston - Lee Academy,00350001,62.8,4.3,26.2,3.7,0,1.2,1.8,52.4,47.6
Boston - Lilla G. Frederick Middle School,00350383,47.9,2.1,43.7,3.2,0,0.4,2.8,51.8,48.2
Boston - Lyndon,00350262,7,1.6,47.4,42.6,0.4,0,1.1,51.9,48.1
Boston - Lyon K-8,00350004,15.5,12.7,23.9,41.5,0,0,6.3,58.5,41.5
Boston - Lyon Upper 9-12,00350655,27.5,2.9,29.7,34.8,0.7,0,4.3,58,42
Boston - Madison Park High,00350537,42.1,1.4,49,4.8,0.5,0.3,1.9,58.1,41.9
Boston - Manassah E Bradley,00350215,4.7,5.4,55,30.5,1,0.3,3,46.6,53.4
Boston - Margarita Muniz Academy,00350549,7.7,0.6,87.8,2.6,0,0,1.3,40.4,59.6
Boston - Mario Umana Academy,00350656,7.3,2.2,77.3,11.8,0.4,0,1.1,53.4,46.6
Boston - Mather,00350227,37.7,31.4,21,4.8,0.3,0.2,4.5,50.8,49.2
Boston - Mattahunt,00350226,71.4,0.2,23.7,1.9,0.3,0,2.5,56.1,43.9
Boston - Maurice J Tobin,00350229,24.2,1.4,70.8,1.4,0,0,2.2,48.3,51.7
Boston - Michael J Perkins,00350231,44,4.4,35.1,11.7,0.4,0,4.4,50.8,49.2
Boston - Mildred Avenue K-8,00350378,73.6,0.9,21.6,2,0.5,0.2,1.1,53.4,46.6
Boston - Mission Hill School,00350382,25.2,1.3,40.2,26.9,0.4,0,6,55.6,44.4
Boston - Mozart,00350237,30.6,3.5,28.9,30.6,0,0,6.4,51.4,48.6
Boston - Nathan Hale,00350243,56,1.1,33.5,1.1,1.1,0,7.1,47.3,52.7
Boston - New Mission High School,00350542,63.3,1.4,30.6,3.4,1,0,0.3,49,51
Boston - O W Holmes,00350138,63.7,2.1,25.4,2.1,0.6,0.9,5.1,50.5,49.5
Boston - O'Bryant School Math/Science,00350575,37.2,21.1,28.6,11.1,0.1,0.2,1.6,43.9,56.1
Boston - Oliver Hazard Perry,00350255,20.3,4,21.1,54.6,0,0,0,54.6,45.4
