SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,Males,Females
ABINGTON - ABINGTON ECC,00010003,2.1,0.2,0.6,97.0,0.2,53.5,46.5
ABINGTON - ABINGTON HIGH,00010505,0.7,0.7,0.2,98.5,0.0,47.5,52.5
ABINGTON - CENTER,00010005,2.0,0.5,1.0,96.5,0.0,50.5,49.5
ABINGTON - FROLIO JR HS,00010405,1.1,1.7,0.6,96.7,0.0,48.1,51.9
ABINGTON - NORTH,00010010,0.0,0.0,0.0,100.0,0.0,46.1,53.9
ABINGTON - WOODSDALE,00010015,0.0,1.5,0.3,98.2,0.0,51.5,48.5
ACTON - DOUGLAS,00020020,1.3,6.8,2.0,89.9,0.0,53.4,46.6
ACTON - GATES,00020025,0.2,6.7,0.2,92.9,0.0,51.6,48.4
ACTON - LUTHER CONANT,00020030,1.2,11.2,3.3,84.3,0.0,52.3,47.7
ACTON - MCCARTHY-TOWNE,00020015,0.4,5.4,3.5,90.7,0.0,53.6,46.4
ACTON - MERRIAM,00020010,2.3,2.7,1.0,94.0,0.0,50.7,49.3
ACTON-BOXBOROUGH - ACTON-BOXBOROUGH REG HIGH,06000505,1.0,6.7,2.3,89.0,0.9,50.7,49.3
ACTON-BOXBOROUGH - RAYMOND J GREY REG JH,06000405,1.1,5.7,1.0,92.2,0.0,49.8,50.2
ACUSHNET - ACUSHNET ELEMENTARY SCH,00030025,0.3,0.6,0.0,99.1,0.0,53.7,46.3
ACUSHNET - ALBERT F FORD MIDDLE SCH,00030305,0.8,0.3,0.0,98.9,0.0,55.1,44.9
ADAMS-CHESHIRE - ADAMS MIDDLE,06030305,0.6,0.6,0.4,98.3,0.0,51.7,48.3
ADAMS-CHESHIRE - CHESHIRE ELEMENTARY,06030004,1.5,0.9,0.0,97.1,0.6,54.4,45.6
ADAMS-CHESHIRE - HOOSAC VALLEY HIGH,06030505,0.7,0.4,0.4,98.5,0.0,50.0,50.0
ADAMS-CHESHIRE - PLUNKET ELEMENTARY,06030020,0.8,0.2,0.5,98.3,0.3,50.2,49.8
AGAWAM - AGAWAM HIGH,00050505,0.7,1.1,1.5,96.1,0.6,50.9,49.1
AGAWAM - AGAWAM JUNIOR HIGH,00050405,0.7,0.3,2.2,96.8,0.0,52.9,47.1
AGAWAM - AGAWAM MIDDLE SCHOOL,00050303,0.5,1.1,0.3,98.0,0.2,50.5,49.5
AGAWAM - BENJAMIN J PHELPS,00050020,1.5,2.7,1.0,94.9,0.0,54.1,45.9
AGAWAM - CLIFFORD M GRANGER,00050010,0.8,1.5,1.9,95.8,0.0,51.9,48.1
AGAWAM - JAMES CLARK SCHOOL,00050030,2.3,0.0,2.3,95.5,0.0,54.5,45.5
AGAWAM - ROBINSON PARK,00050025,1.2,0.0,1.4,97.4,0.0,50.3,49.7
AMESBURY - AMESBURY ELEMENTARY,00070005,1.6,0.9,0.9,96.3,0.3,51.6,48.4
AMESBURY - AMESBURY HIGH,00070505,0.3,0.3,0.6,98.6,0.2,48.7,51.3
AMESBURY - AMESBURY MIDDLE,00070013,0.3,0.2,0.2,99.4,0.0,49.1,50.9
AMESBURY - CHARLES C CASHMAN EL,00070010,0.8,0.6,1.4,97.3,0.0,51.6,48.4
AMESBURY - HORACE MANN,00070003,0.9,0.9,1.8,96.3,0.0,51.4,48.6
AMHERST - CROCKER FARM ELEMENTARY,00080009,9.2,8.6,8.6,72.6,0.9,51.9,48.1
AMHERST - FORT RIVER ELEMENTARY,00080020,9.4,11.9,9.1,68.9,0.7,54.2,45.8
AMHERST - MARKS MEADOW LABORATORY,00080030,19.9,13.3,13.3,53.1,0.5,49.0,51.0
AMHERST - WILDWOOD ELEMENTARY,00080050,10.8,12.2,8.0,68.9,0.2,50.6,49.4
AMHERST-PELHAM - AMHERST REGIONAL HIGH,06050505,9.9,9.5,8.4,71.8,0.5,51.8,48.2
AMHERST-PELHAM - AMHERST REGIONAL JR HIGH,06050405,7.1,6.8,7.9,78.3,0.0,50.3,49.7
ANDOVER - ANDOVER HIGH,00090505,1.3,6.6,1.6,90.4,0.2,50.3,49.7
ANDOVER - ANDOVER WEST MIDDLE,00090310,1.1,4.0,2.0,92.9,0.0,50.6,49.4
