SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,Males,Females
Abby Kelley Foster Regional Charter Public (District) - Abby Kelley Foster Regional Charter Public School,04450105,21.3,4.9,17.3,56.1,0.5,49.6,50.4
Abington - Abington ECC,00010003,1.7,1.3,2.0,95.0,0.0,51.3,48.7
Abington - Abington High,00010505,3.5,0.5,1.9,94.1,0.0,45.9,54.1
Abington - Center,00010005,1.5,1.0,0.5,97.1,0.0,52.5,47.5
Abington - Frolio Jr Hs,00010405,1.7,0.0,1.0,97.3,0.0,55.3,44.7
Abington - North,00010010,0.0,0.5,1.0,98.5,0.0,53.2,46.8
Abington - Woodsdale,00010015,1.6,0.8,0.5,97.1,0.0,53.2,46.8
Academy of Strategic Learning HMCS - Academy of Strategic Learning HMCS School,04150505,0.0,0.0,0.0,100.0,0.0,66.0,34.0
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,63.4,5.1,7.5,24.0,0.0,49.8,50.2
Acton - Douglas,00020020,0.8,19.9,3.8,75.5,0.0,49.5,50.5
Acton - Gates,00020025,0.0,15.0,0.4,84.6,0.0,55.5,44.5
Acton - Luther Conant,00020030,0.6,31.0,0.6,67.6,0.2,50.4,49.6
Acton - McCarthy-Towne,00020015,0.8,11.2,3.7,84.2,0.0,49.3,50.7
Acton - Merriam,00020010,0.9,18.6,1.5,79.0,0.0,51.5,48.5
Acton-Boxborough - Acton-Boxborough Reg High,06000505,1.6,15.3,1.9,81.0,0.2,51.0,49.0
Acton-Boxborough - Raymond J Grey JH,06000405,1.5,17.5,1.7,79.2,0.0,52.0,48.0
Acushnet - Acushnet Elementary Sch,00030025,0.7,0.4,0.2,98.8,0.0,53.1,46.9
Acushnet - Albert F Ford Middle Sch,00030305,1.8,0.4,0.0,97.4,0.4,50.7,49.3
Adams-Cheshire - Adams Middle,06030305,1.9,0.2,1.4,94.6,1.9,50.9,49.1
Adams-Cheshire - Cheshire Elementary,06030004,0.8,1.5,1.5,96.2,0.0,51.1,48.9
Adams-Cheshire - Hoosac Valley High,06030505,0.8,1.0,0.6,97.1,0.4,49.1,50.9
Adams-Cheshire - Plunkett Elementary,06030020,6.1,1.0,1.3,91.6,0.0,54.4,45.6
Agawam - Agawam ECC,00050003,0.0,0.0,0.0,100.0,0.0,55.8,44.2
Agawam - Agawam High,00050505,1.3,1.6,2.1,94.8,0.1,51.1,48.9
Agawam - Agawam Junior High,00050405,1.8,1.7,2.8,93.5,0.1,51.3,48.7
Agawam - Agawam Middle School,00050303,1.6,0.6,2.1,95.7,0.0,51.6,48.4
Agawam - Benjamin J Phelps,00050020,0.2,1.7,1.5,96.6,0.0,48.3,51.7
Agawam - Clifford M Granger,00050010,1.2,1.7,4.8,91.6,0.7,54.1,45.9
Agawam - James Clark School,00050030,0.0,0.8,1.8,96.6,0.8,53.6,46.4
Agawam - Robinson Park,00050025,1.9,0.2,0.2,97.6,0.0,51.4,48.6
Amesbury - Amesbury Elementary,00070005,1.4,0.4,0.8,97.3,0.0,52.9,47.1
Amesbury - Amesbury High,00070505,1.2,1.1,1.2,96.0,0.4,48.2,51.8
Amesbury - Amesbury Middle,00070013,2.0,0.9,2.7,93.8,0.6,50.2,49.8
Amesbury - Charles C Cashman El,00070010,1.3,0.6,2.8,95.0,0.4,54.0,46.0
Amherst - Crocker Farm Elementary,00080009,12.0,5.7,27.6,53.8,0.8,52.7,47.3
Amherst - Fort River Elementary,00080020,12.7,16.4,7.4,63.1,0.4,49.6,50.4
Amherst - Marks Meadow Laboratory,00080030,21.7,14.8,10.6,52.4,0.5,48.1,51.9
Amherst - Wildwood Elementary,00080050,13.4,16.6,6.6,62.7,0.7,49.8,50.2
Amherst-Pelham - Amherst Regional High,06050505,10.2,10.7,6.9,71.2,0.9,51.0,49.0
Amherst-Pelham - Amherst Regional MS,06050405,8.3,8.1,6.9,76.4,0.3,49.9,50.1
Andover - Andover High,00090505,0.9,8.1,2.9,88.0,0.1,51.3,48.7
Andover - Andover West Middle,00090310,1.0,9.7,1.4,87.9,0.0,48.3,51.7
Andover - Bancroft Elementary,00090003,2.4,7.5,4.0,85.6,0.4,53.7,46.3
Andover - Doherty Middle,00090305,0.9,5.2,2.3,91.1,0.5,56.4,43.6
Andover - Henry C Sanborn Elem,00090010,0.6,8.8,1.1,89.5,0.0,51.5,48.5
Andover - High Plain Elementary,00090004,0.7,13.1,5.2,80.9,0.0,48.0,52.0
Andover - Shawsheen School,00090005,1.4,4.3,2.2,92.1,0.0,51.6,48.4
Andover - South Elementary,00090020,0.4,6.6,0.2,92.8,0.0,50.6,49.4
Andover - West Elementary,00090025,1.3,9.1,2.4,86.7,0.5,53.4,46.6
Andover - Wood Hill Middle School,00090350,1.5,13.0,5.6,79.6,0.3,53.9,46.1
Arlington - Arlington High,00100505,5.6,4.6,2.8,87.0,0.0,50.0,50.0
Arlington - Brackett,00100010,0.2,9.2,1.5,88.8,0.2,49.3,50.7
Arlington - Cyrus E Dallin,00100025,2.6,8.9,2.0,85.7,0.9,49.7,50.3
Arlington - Hardy,00100030,6.5,15.5,2.9,75.1,0.0,47.6,52.4
Arlington - John A Bishop,00100005,2.3,6.9,1.5,89.2,0.0,51.2,48.8
Arlington - M Norcross Stratton,00100055,2.3,9.1,2.9,85.8,0.0,52.1,47.9
Arlington - Menotomy Preschool,00100038,2.6,5.1,1.3,91.0,0.0,47.4,52.6
Arlington - Ottoson Middle,00100410,4.7,5.6,4.0,85.4,0.3,52.1,47.9
Arlington - Peirce,00100045,4.2,11.4,8.0,75.5,0.8,52.3,47.7
Arlington - Thompson,00100050,12.1,15.6,2.5,69.8,0.0,51.1,48.9
Ashburnham-Westminster - Briggs Elem,06100025,1.0,1.4,1.6,96.0,0.0,51.9,48.1
Ashburnham-Westminster - Meetinghouse School,06100010,0.9,0.9,0.9,97.2,0.0,51.2,48.8
Ashburnham-Westminster - Oakmont Regional H S,06100505,1.1,1.3,1.6,95.5,0.4,54.9,45.1
Ashburnham-Westminster - Overlook Middle School,06100305,1.6,1.3,1.6,95.3,0.2,55.5,44.5
Ashburnham-Westminster - Westminster Elem,06100005,1.6,1.3,1.0,96.1,0.0,49.5,50.5
Ashland - Ashland High,00140505,2.6,3.7,3.5,90.0,0.2,51.3,48.7
Ashland - Ashland Middle,00140405,1.8,2.4,3.4,92.4,0.0,47.9,52.1
Ashland - David Mindess,00140015,2.7,4.5,2.3,90.5,0.0,49.8,50.2
Ashland - Henry E Warren Elem,00140010,4.3,5.4,6.8,82.0,1.4,53.3,46.7
Ashland - William Pittaway Elem,00140005,0.9,6.6,3.9,88.1,0.6,48.7,51.3
Assabet Valley - Assabet Valley Voc H S,08010605,1.3,1.0,8.9,88.4,0.3,64.7,35.3
Athol-Royalston - Athol High,06150505,0.8,0.8,2.3,96.0,0.2,54.6,45.4
Athol-Royalston - Athol-Royalston Middle School,06150305,1.0,1.4,3.9,92.8,0.8,53.9,46.1
Athol-Royalston - Ellen Bigelow,06150005,3.0,0.0,3.0,92.4,1.5,80.3,19.7
Athol-Royalston - Pleasant St,06150016,2.6,1.2,6.7,89.2,0.3,51.3,48.7
Athol-Royalston - Riverbend,06150020,5.1,0.5,7.9,84.1,2.3,50.5,49.5
Athol-Royalston - Royalston Community Sch,06150050,0.8,0.0,1.6,96.8,0.8,46.8,53.2
Athol-Royalston - Sanders Street,06150025,8.7,0.0,4.0,87.2,0.0,49.7,50.3
Athol-Royalston - Silver Lake,06150030,1.5,1.5,2.9,94.2,0.0,51.1,48.9
Atlantis Charter - Atlantis Charter School,04910550,6.9,2.4,4.0,86.0,0.7,49.3,50.7
Attleboro - A. Irvin Studley Elementary School,00160001,4.7,2.9,16.7,75.8,0.0,54.7,45.3
Attleboro - Attleboro High,00160505,4.2,6.4,5.7,83.5,0.3,50.3,49.7
Attleboro - Cyril K. Brennan Middle School,00160315,5.2,5.7,6.3,82.7,0.2,49.6,50.4
Attleboro - Early Learning Center,00160008,4.2,6.3,2.8,86.7,0.0,49.7,50.3
Attleboro - Hill-Roberts Elementary School,00160045,1.6,3.1,3.5,91.6,0.2,48.6,51.4
Attleboro - Hyman Fine Elementary School,00160040,4.6,6.1,6.9,81.3,1.1,52.3,47.7
Attleboro - Peter Thacher Elementary School,00160050,5.1,8.6,5.7,79.5,1.0,52.9,47.1
Attleboro - Robert J. Coelho Middle School,00160305,3.4,2.3,4.5,89.4,0.5,50.7,49.3
Attleboro - Thomas E. Willett School,00160035,3.1,4.3,8.8,83.2,0.7,55.5,44.5
Attleboro - Wamsutta Middle School,00160320,3.9,7.8,8.0,80.2,0.0,50.4,49.6
Auburn - Auburn Middle,00170305,1.7,2.6,2.4,92.6,0.7,55.2,44.8
Auburn - Auburn Senior High,00170505,1.7,1.7,2.8,93.5,0.2,48.5,51.5
Auburn - Bryn Mawr,00170010,1.3,1.7,2.1,92.8,2.1,46.6,53.4
Auburn - Julia Bancroft,00170005,0.3,2.7,4.1,92.2,0.7,53.4,46.6
Auburn - Mary D Stone,00170025,0.7,2.7,1.0,92.2,3.4,48.0,52.0
Auburn - Pakachoag,00170015,3.1,1.7,1.0,93.9,0.3,48.1,51.9
Avon - Avon Middle High School,00180510,26.1,6.3,1.1,66.5,0.0,47.2,52.8
Avon - Ralph D Butler,00180010,10.8,2.4,4.3,82.2,0.3,52.6,47.4
Ayer - Ayer High,00190510,9.9,4.4,5.2,80.2,0.3,46.9,53.1
Ayer - Ayer Middle,00190305,12.3,3.9,6.0,76.8,1.0,51.2,48.8
Ayer - Page-Hilltop,00190025,8.3,4.0,7.3,80.0,0.3,55.6,44.4
Barnstable - Barnstable Early Learning Center,00200004,13.2,2.3,3.1,81.4,0.0,57.4,42.6
Barnstable - Barnstable High,00200505,5.2,2.1,7.0,84.7,0.9,50.8,49.2
Barnstable - Barnstable Middle School,00200305,5.7,1.5,6.2,85.8,0.8,51.3,48.7
Barnstable - Centerville Elementary,00200010,2.7,1.1,4.1,90.7,1.4,51.0,49.0
Barnstable - Cotuit Elem,00200015,0.9,0.0,1.8,97.3,0.0,60.7,39.3
Barnstable - Hyannis Elementary,00200020,13.7,3.3,10.4,67.2,5.4,54.0,46.0
Barnstable - Hyannis West Elementary,00200025,12.9,2.6,9.7,71.0,3.9,52.6,47.4
Barnstable - Marstons Mills Elem,00200030,1.9,0.0,1.2,95.1,1.9,51.2,48.8
Barnstable - Osterville Bay Elementary,00200040,0.0,0.6,1.7,95.4,2.3,49.1,50.9
Barnstable - Osterville Elementary,00200035,2.0,1.2,1.6,94.4,0.8,50.0,50.0
Barnstable - West Barnstable Elem,00200005,1.1,1.4,0.4,96.8,0.4,48.4,51.6
Barnstable HMCS - Barnstable HMCS School,04230010,4.8,1.2,3.2,89.1,1.6,50.7,49.3
Bedford - Bedford High,00230505,7.9,7.4,2.3,82.2,0.1,50.6,49.4
Bedford - John Glenn Middle,00230305,4.9,8.6,1.0,84.9,0.6,52.3,47.7
Bedford - Lt Elezer Davis,00230010,5.0,7.3,1.7,85.5,0.6,51.6,48.4
Bedford - Lt Job Lane School,00230012,3.4,12.6,1.6,81.9,0.6,45.8,54.2
Belchertown - Belchertown High,00240505,0.7,1.0,1.4,97.0,0.0,47.7,52.3
Belchertown - Chestnut Hill Community,00240004,1.0,1.3,2.7,95.1,0.0,52.1,47.9
Belchertown - Cold Spring,00240005,0.6,1.4,0.9,96.8,0.3,52.6,47.4
Belchertown - Swift River Elem,00240018,1.3,3.1,2.8,92.5,0.3,48.8,51.3
Belchertown - Tadgell Hall,00240020,1.6,0.0,1.0,97.4,0.0,49.7,50.3
Bellingham - Bellingham ECC,00250003,0.0,4.5,4.5,90.9,0.0,90.9,9.1
Bellingham - Bellingham High School,00250505,0.5,1.8,1.4,95.8,0.4,50.1,49.9
Bellingham - Bellingham Memorial Middle School,00250315,0.8,2.0,2.9,94.1,0.2,49.8,50.2
Bellingham - Clara Macy Elementary,00250009,0.7,1.4,2.5,94.3,1.1,51.8,48.2
Bellingham - Primavera Jr/Sr H S,00250510,2.3,2.3,4.5,88.6,2.3,81.8,18.2
Bellingham - South Elem,00250020,2.4,1.4,0.5,95.7,0.0,50.5,49.5
Bellingham - Stall Brook,00250025,1.0,2.3,3.0,93.3,0.3,47.0,53.0
Belmont - Belmont High,00260505,6.3,11.1,3.7,78.5,0.3,49.6,50.4
Belmont - Daniel Butler,00260015,6.9,22.5,3.0,67.5,0.0,52.4,47.6
Belmont - Mary Lee Burbank,00260010,5.3,12.6,2.8,79.3,0.0,51.9,48.1
Belmont - Roger E Wellington,00260035,3.5,13.1,1.9,81.2,0.2,47.7,52.3
Belmont - Winn Brook,00260005,3.0,10.8,1.4,84.3,0.5,55.3,44.7
Belmont - Winthrop L Chenery Middle,00260305,4.2,11.8,2.9,81.2,0.0,50.4,49.6
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,88.7,0.3,9.3,0.3,1.3,43.7,56.3
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,0.8,4.3,1.8,93.0,0.3,46.8,53.3
Berkley - Berkley Community School,00270010,0.5,0.0,0.0,99.3,0.2,51.9,48.1
Berkley - Berkley Middle School,00270305,0.9,0.2,0.0,98.3,0.7,51.3,48.7
Berkshire Arts and Technology Charter - Berkshire Arts and Technology Charter School,04140305,12.5,0.0,9.4,78.1,0.0,39.1,60.9
Berkshire Hills - Monument Mt Reg High,06180505,1.6,1.8,2.1,94.3,0.2,53.3,46.7
Berkshire Hills - Searles Middle,06180305,2.2,0.7,3.1,93.9,0.0,48.9,51.1
Berkshire Hills - Stockbridge Plain,06180030,1.9,1.6,3.6,92.6,0.3,56.6,43.4
Berlin - Berlin Memorial,00280005,0.0,1.2,0.8,98.1,0.0,49.0,51.0
Berlin-Boylston - Tahanto Reg High,06200505,0.4,1.1,1.5,95.9,1.1,48.0,52.0
Beverly - Ayers/Ryal Side Sch,00300055,2.3,2.5,5.7,89.5,0.0,50.6,49.4
Beverly - Beverly High,00300505,2.7,1.3,4.6,91.4,0.0,47.1,52.9
Beverly - Briscoe Middle,00300305,2.6,0.9,4.3,92.2,0.0,53.1,46.9
Beverly - Centerville Elementary,00300010,3.4,0.6,3.7,92.3,0.0,56.0,44.0
Beverly - Cove Elementary,00300015,3.7,1.9,5.4,88.4,0.6,47.9,52.1
Beverly - Hannah Elementary,00300033,1.0,2.9,5.5,90.6,0.0,49.4,50.6
Beverly - McKeown Elementary,00300037,1.2,3.7,3.7,91.5,0.0,53.3,46.7
Beverly - Memorial Middle,00300310,4.2,2.0,4.0,89.7,0.2,52.6,47.4
Beverly - North Beverly Elementary,00300040,3.9,0.9,7.4,87.8,0.0,53.7,46.3
Billerica - Billerica Memorial High School,00310505,1.8,2.8,2.2,92.9,0.4,49.5,50.5
Billerica - Eugene C Vining,00310030,0.9,2.3,2.1,94.7,0.0,52.8,47.2
Billerica - Frederick J Dutile,00310007,2.1,1.9,0.6,95.2,0.2,48.5,51.5
Billerica - Hajjar Elementary,00310026,1.3,3.9,2.1,92.5,0.2,54.4,45.6
Billerica - John F Kennedy,00310012,0.2,1.1,0.7,97.2,0.7,53.6,46.4
Billerica - Locke Middle,00310310,0.9,1.4,2.3,94.9,0.5,54.7,45.3
Billerica - Marshall Middle School,00310305,0.9,0.8,1.1,97.1,0.0,51.9,48.1
Billerica - Parker,00310015,2.6,4.8,2.6,90.0,0.0,53.0,47.0
Billerica - Thomas Ditson,00310005,0.9,2.4,1.5,94.9,0.3,53.7,46.3
Blackstone Valley Reg - Blackstone Valley,08050605,0.7,0.7,2.9,94.9,0.7,62.6,37.4
Blackstone-Millville - A F Maloney,06220015,1.8,2.2,1.5,94.5,0.0,49.3,50.7
Blackstone-Millville - Blackstone Millville RHS,06220505,0.2,1.5,1.5,96.8,0.0,45.3,54.7
Blackstone-Millville - Frederick W. Hartnett Middle School,06220405,1.7,0.8,1.0,96.5,0.0,47.7,52.3
Blackstone-Millville - John F Kennedy Elem,06220008,1.4,1.4,1.9,95.3,0.0,50.9,49.1
Blackstone-Millville - Millville Elem,06220010,0.8,0.6,1.4,97.2,0.0,57.1,42.9
Blue Hills Voc - Blue Hills Reg Voc Tech,08060605,12.4,0.5,3.5,83.1,0.5,61.0,39.0
Boston - Academy of Public Service,00350502,70.7,1.7,22.6,4.9,0.0,54.4,45.6
Boston - Agassiz,00350007,18.9,0.6,76.2,4.2,0.1,49.8,50.2
Boston - Alexander Hamilton,00350011,41.0,21.3,22.3,15.4,0.0,55.9,44.1
Boston - Another Course To College,00350541,48.7,9.8,15.8,24.8,0.9,42.3,57.7
Boston - Beethoven,00350021,50.3,6.9,18.3,24.1,0.3,53.4,46.6
Boston - Blackstone,00350390,25.9,1.4,68.8,3.5,0.3,52.7,47.3
Boston - Blue Hill Ave ECC,00350010,52.5,2.0,41.9,3.0,0.5,49.5,50.5
Boston - Boston Adult Academy,00350548,77.6,3.4,16.7,2.3,0.0,50.0,50.0
Boston - Boston Arts Academy,00350546,51.1,2.3,25.4,20.9,0.3,42.2,57.8
Boston - Boston Community Leadership Academy,00350558,60.6,3.2,24.4,11.8,0.0,40.8,59.2
Boston - Boston International  High School,00350507,27.7,0.7,68.8,2.8,0.0,44.0,56.0
Boston - Boston Latin,00350560,10.3,30.0,5.5,53.9,0.2,44.4,55.6
Boston - Boston Latin Academy,00350545,26.5,21.8,12.0,39.3,0.3,41.9,58.1
Boston - Boston Middle School Academy,00350413,69.6,0.0,30.4,0.0,0.0,65.2,34.8
Boston - Brighton High,00350505,46.0,5.9,41.1,6.6,0.5,45.1,54.9
Boston - Carter Develop Day Care,00350036,56.0,4.0,36.0,4.0,0.0,52.0,48.0
Boston - Charles H Taylor,00350054,89.0,2.7,5.6,2.1,0.6,51.2,48.8
Boston - Charles Sumner,00350052,31.0,1.0,60.4,7.4,0.2,49.9,50.1
Boston - Charlestown High,00350515,50.4,17.1,24.0,8.5,0.1,52.7,47.3
Boston - Clarence R Edwards Middle,00350430,33.5,12.5,36.4,16.6,1.0,53.7,46.3
Boston - Community Academy,00350518,82.9,2.9,8.6,2.9,2.9,51.4,48.6
Boston - Curtis Guild,00350062,4.6,4.2,72.6,18.1,0.4,51.9,48.1
Boston - Dante Alighieri,00350066,10.2,4.2,53.4,30.5,1.7,51.7,48.3
Boston - David A Ellis,00350072,46.1,0.6,52.1,1.2,0.0,51.5,48.5
Boston - Dearborn,00350074,51.5,4.0,40.8,3.1,0.6,51.0,49.0
Boston - Dennis C Haley,00350077,67.2,1.4,23.3,7.8,0.3,54.7,45.3
Boston - Donald Mckay,00350080,3.9,0.4,90.7,5.1,0.0,50.3,49.7
Boston - East Boston ECC,00350009,8.3,1.0,74.1,16.1,0.5,56.5,43.5
Boston - East Boston High,00350530,23.6,2.3,50.1,23.6,0.4,53.7,46.3
Boston - Economics and Business Academy,00350524,75.9,2.7,18.6,1.4,1.4,54.9,45.1
Boston - Edward Everett,00350088,44.9,22.8,14.3,17.6,0.4,48.9,51.1
Boston - Egleston Comm High School,00350543,77.1,1.2,21.7,0.0,0.0,42.2,57.8
Boston - ELC - East Zone,00350005,76.5,4.5,14.4,3.0,1.5,51.5,48.5
Boston - ELC - North Zone,00350003,25.5,25.5,31.0,17.9,0.0,48.3,51.7
Boston - ELC - West Zone,00350006,39.8,1.9,36.9,21.4,0.0,52.4,47.6
Boston - Elihu Greenwood,00350094,72.4,1.2,21.3,4.4,0.7,52.8,47.2
Boston - Eliot Elementary,00350096,35.0,1.2,27.0,35.6,1.2,50.3,49.7
Boston - Ellis Mendell,00350100,51.5,0.6,43.6,4.3,0.0,50.9,49.1
Boston - Emily A Fifield,00350102,86.8,1.3,9.6,1.9,0.3,48.6,51.4
Boston - Excel High School,00350522,39.0,28.4,15.9,16.4,0.3,56.0,44.0
Boston - Farragut,00350108,42.7,16.2,35.0,5.1,0.9,53.8,46.2
Boston - Fenway High School,00350540,51.7,2.6,27.3,17.6,0.7,43.8,56.2
Boston - Franklin D Roosevelt,00350116,55.6,3.1,16.5,24.9,0.0,49.4,50.6
Boston - George H Conley,00350122,50.5,2.3,28.2,19.1,0.0,60.5,39.5
Boston - Grover Cleveland,00350415,66.6,4.2,23.3,5.7,0.2,56.1,43.9
Boston - Harbor School,00350426,72.7,4.3,11.9,11.1,0.0,53.4,46.6
Boston - Harvard-Kent,00350200,20.9,38.3,27.6,13.3,0.0,56.1,43.9
Boston - Henry Grew,00350135,57.9,2.0,21.0,19.0,0.0,52.8,47.2
Boston - Henry L Higginson,00350137,70.5,0.6,26.9,1.9,0.0,52.6,47.4
Boston - Horace Mann,00350750,36.1,11.6,34.0,18.4,0.0,50.3,49.7
Boston - Hugh Roe O'Donnell,00350141,5.5,6.5,61.8,26.3,0.0,47.5,52.5
Boston - Hyde Park High School,00350550,67.1,1.0,25.3,5.9,0.6,53.8,46.2
Boston - Jackson Mann,00350013,46.0,12.7,24.8,16.4,0.2,54.6,45.4
Boston - James A Garfield Elem,00350152,42.7,11.8,28.6,16.8,0.0,47.7,52.3
