SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,Males,Females
ABINGTON - ABINGTON ECC,00010003,1.7,0.5,0.5,97.3,0.0,51.5,48.5
ABINGTON - ABINGTON HIGH,00010505,0.5,0.5,0.5,98.5,0.0,47.9,52.1
ABINGTON - CENTER,00010005,1.9,1.0,1.0,96.1,0.0,48.1,51.9
ABINGTON - FROLIO JR HS,00010405,0.3,1.1,0.5,98.1,0.0,54.2,45.8
ABINGTON - NORTH,00010010,0.0,0.0,0.0,100.0,0.0,45.6,54.4
ABINGTON - WOODSDALE,00010015,0.9,1.2,0.3,97.7,0.0,48.0,52.0
ACTON - DOUGLAS,00020020,0.5,5.3,1.2,93.0,0.0,50.1,49.9
ACTON - GATES,00020025,0.2,7.4,0.6,91.8,0.0,49.6,50.4
ACTON - LUTHER CONANT,00020030,1.0,10.0,1.6,87.4,0.0,52.5,47.5
ACTON - MCCARTHY-TOWNE,00020015,0.4,4.1,3.7,91.7,0.0,50.4,49.6
ACTON - MERRIAM,00020010,1.4,2.1,1.1,95.4,0.0,52.7,47.3
ACTON-BOXBOROUGH - ACTON-BOXBOROUGH REG HIGH,06000505,1.0,5.7,2.1,90.4,0.9,50.9,49.1
ACTON-BOXBOROUGH - RAYMOND J GREY REG JH,06000405,1.6,7.4,2.4,88.3,0.3,51.0,49.0
ACUSHNET - ACUSHNET ELEMENTARY SCH,00030025,0.7,0.3,0.0,99.0,0.0,54.5,45.5
ACUSHNET - ALBERT F FORD MIDDLE SCH,00030305,1.1,0.3,0.0,98.6,0.0,51.4,48.6
ADAMS-CHESHIRE - ADAMS MIDDLE,06030305,1.0,0.8,0.4,97.1,0.6,51.8,48.2
ADAMS-CHESHIRE - CHESHIRE ELEMENTARY,06030004,1.0,1.3,0.0,97.1,0.6,54.6,45.4
ADAMS-CHESHIRE - HOOSAC VALLEY HIGH,06030505,0.4,0.2,0.0,99.4,0.0,47.5,52.5
ADAMS-CHESHIRE - PLUNKET ELEMENTARY,06030020,1.2,0.5,0.6,97.4,0.3,51.3,48.7
AGAWAM - AGAWAM HIGH,00050505,0.7,0.9,2.2,96.0,0.2,51.2,48.8
AGAWAM - AGAWAM JUNIOR HIGH,00050405,0.6,0.4,1.4,97.6,0.0,52.3,47.7
AGAWAM - AGAWAM MIDDLE SCHOOL,00050303,1.1,0.6,0.5,97.7,0.2,51.9,48.1
AGAWAM - BENJAMIN J PHELPS,00050020,1.0,2.0,1.2,95.8,0.0,49.8,50.2
AGAWAM - CLIFFORD M GRANGER,00050010,0.4,2.4,2.0,95.2,0.0,52.3,47.7
AGAWAM - JAMES CLARK SCHOOL,00050030,1.1,1.1,2.2,95.5,0.0,52.2,47.8
AGAWAM - ROBINSON PARK,00050025,1.1,1.4,1.4,96.1,0.0,48.6,51.4
AMESBURY - AMESBURY ELEMENTARY,00070005,1.6,0.0,0.9,97.5,0.0,52.4,47.6
AMESBURY - AMESBURY HIGH,00070505,0.8,0.6,0.2,98.4,0.0,49.4,50.6
AMESBURY - AMESBURY MIDDLE,00070013,0.7,0.5,0.7,98.2,0.0,46.8,53.2
AMESBURY - CHARLES C CASHMAN EL,00070010,0.9,0.4,1.4,97.3,0.0,51.4,48.6
AMESBURY - HORACE MANN,00070003,0.9,0.4,1.8,96.1,0.9,50.0,50.0
AMHERST - CROCKER FARM ELEMENTARY,00080009,6.7,1.9,5.4,86.0,0.0,55.6,44.4
AMHERST - FORT RIVER ELEMENTARY,00080020,8.9,12.1,9.1,69.3,0.7,52.9,47.1
AMHERST - MARKS MEADOW LABORATORY,00080030,17.6,17.1,14.9,50.0,0.5,48.2,51.8
AMHERST - WILDWOOD ELEMENTARY,00080050,11.1,11.7,8.1,68.7,0.4,49.1,50.9
AMHERST-PELHAM - AMHERST REGIONAL HIGH,06050505,9.4,8.3,8.5,73.5,0.3,53.2,46.8
AMHERST-PELHAM - AMHERST REGIONAL JR HIGH,06050405,8.8,8.4,7.8,75.1,0.0,50.5,49.5
ANDOVER - ANDOVER HIGH,00090505,1.3,5.9,2.4,90.4,0.0,50.1,49.9
ANDOVER - ANDOVER WEST MIDDLE,00090310,1.0,5.9,1.6,91.6,0.0,50.2,49.8
ANDOVER - BANCROFT ELEMENTARY,00090003,0.7,5.1,2.0,92.3,0.0,53.7,46.3
ANDOVER - DOHERTY MIDDLE,00090305,1.3,6.8,1.6,90.1,0.3,51.9,48.1
ANDOVER - HENRY C SANBORN ELEM,00090010,0.7,6.3,0.2,92.8,0.0,53.1,46.9
ANDOVER - SHAWSHEEN EARLY CHILDHOOD,00090005,0.3,3.6,1.2,94.8,0.0,51.2,48.8
ANDOVER - SOUTH ELEMENTARY,00090020,0.3,6.5,0.3,92.5,0.3,54.0,46.0
ANDOVER - WEST ELEMENTARY,00090025,1.4,6.5,5.7,86.1,0.2,50.1,49.9
ARLINGTON - ARLINGTON HIGH,00100505,4.7,6.2,2.8,86.3,0.0,47.9,52.1
ARLINGTON - BRACKETT,00100010,2.6,3.4,1.3,92.7,0.0,47.2,52.8
ARLINGTON - CYRUS E DALLIN,00100025,3.9,4.3,1.7,90.1,0.0,51.8,48.2
ARLINGTON - HARDY,00100030,6.7,8.1,4.6,80.3,0.3,53.1,46.9
ARLINGTON - JOHN A BISHOP,00100005,1.0,5.1,3.0,90.9,0.0,50.1,49.9
ARLINGTON - M NORCROSS STRATTON,00100055,5.2,5.5,4.0,85.3,0.0,56.1,43.9
ARLINGTON - OTTOSON JR HIGH,00100410,6.0,4.4,4.0,85.6,0.0,53.3,46.7
ARLINGTON - PEIRCE,00100045,15.0,5.5,3.9,75.6,0.0,51.6,48.4
ARLINGTON - THOMPSON,00100050,6.9,8.0,1.3,83.8,0.0,53.6,46.4
ASHBURNHAM-WESTMINSTER - BRIGGS ELEM,06100025,0.5,0.9,0.5,97.8,0.2,55.0,45.0
ASHBURNHAM-WESTMINSTER - MEETINGHOUSE SCHOOL,06100010,0.0,0.3,0.3,99.3,0.0,54.5,45.5
ASHBURNHAM-WESTMINSTER - OAKMONT REGIONAL H S,06100505,0.4,0.3,1.8,97.1,0.4,48.1,51.9
ASHBURNHAM-WESTMINSTER - OVERLOOK MIDDLE SCHOOL,06100305,0.6,1.1,1.4,95.0,1.8,53.5,46.5
ASHBURNHAM-WESTMINSTER - WESTMINSTER ELEM,06100005,0.6,0.3,1.2,97.9,0.0,49.5,50.5
ASHLAND - ASHLAND HIGH,00140505,2.2,1.4,4.1,92.3,0.0,47.1,52.9
ASHLAND - DAVID MINDESS MIDDLE,00140015,2.5,2.3,5.1,90.2,0.0,48.6,51.4
ASHLAND - HENRY E WARREN ELEM,00140010,3.1,1.1,5.0,90.8,0.0,52.1,47.9
ASHLAND - WILLIAM PITTAWAY ELEM,00140005,1.9,1.9,4.6,91.6,0.0,55.4,44.6
ASSABET VALLEY - ASSABET VALLEY VOC H S,08010605,2.3,1.4,4.3,91.6,0.5,55.9,44.1
ATHOL-ROYALSTON - ATHOL HIGH,06150505,1.4,1.7,2.1,94.8,0.0,54.3,45.7
ATHOL-ROYALSTON - ATHOL MIDDLE,06150305,1.1,0.5,0.8,97.6,0.0,51.7,48.3
ATHOL-ROYALSTON - ELLEN BIGELOW,06150005,2.7,0.4,4.9,91.0,0.9,53.4,46.6
ATHOL-ROYALSTON - PLEASANT ST,06150016,1.0,0.0,1.0,98.0,0.0,54.0,46.0
ATHOL-ROYALSTON - RAYMOND,06150045,0.0,1.7,3.4,94.8,0.0,67.2,32.8
ATHOL-ROYALSTON - RIVERBEND,06150020,1.6,0.0,3.2,95.3,0.0,52.5,47.5
ATHOL-ROYALSTON - SANDERS STREET,06150025,2.7,0.0,2.7,94.5,0.0,52.7,47.3
ATHOL-ROYALSTON - SILVER LAKE,06150030,0.8,0.0,0.8,98.3,0.0,53.5,46.5
ATHOL-ROYALSTON - SOUTH ROYALSTON,06150040,0.0,0.0,3.0,97.0,0.0,39.4,60.6
ATLANTIS CHARTER - ATLANTIS CS,04910550,7.5,0.0,1.6,90.9,0.0,56.3,43.7
ATTLEBORO - ATTLEBORO HIGH,00160505,1.5,7.3,4.9,86.2,0.0,49.6,50.4
ATTLEBORO - ATTLEBORO VOC TECH HIGH,00160605,2.0,3.3,6.1,88.5,0.0,74.2,25.8
ATTLEBORO - ATTLEBOROUGH ECC,00160005,2.0,1.7,2.5,93.3,0.5,56.3,43.7
ATTLEBORO - CYRIL K BRENNAN MIDDLE,00160315,1.5,7.0,3.9,87.0,0.6,54.1,45.9
ATTLEBORO - HILL ROBERTS ELEM,00160045,0.2,2.0,0.0,97.8,0.0,50.1,49.9
ATTLEBORO - HYMAN FINE ELEM,00160040,1.8,3.4,4.8,89.6,0.4,51.4,48.6
ATTLEBORO - JOSEPH FINBERG,00160010,4.8,2.2,2.9,90.1,0.0,52.9,47.1
ATTLEBORO - PETER THACHER MIDDLE,00160310,1.8,10.1,6.6,81.2,0.3,54.2,45.8
ATTLEBORO - ROBERT J COELHO MIDDLE,00160305,1.8,2.3,2.3,93.6,0.0,54.7,45.3
ATTLEBORO - STUDLEY SCHOOL,00160001,2.1,12.2,10.9,74.8,0.0,52.9,47.1
ATTLEBORO - WILLETT,00160035,3.2,3.2,3.4,90.2,0.0,52.1,47.9
AUBURN - AUBURN MIDDLE,00170305,1.5,0.9,0.8,96.6,0.2,52.7,47.3
AUBURN - AUBURN SENIOR HIGH,00170505,0.7,0.3,0.5,98.5,0.0,47.3,52.7
AUBURN - BRYN MAWR,00170010,1.1,0.4,0.7,97.5,0.4,51.8,48.2
AUBURN - JULIA BANCROFT,00170005,1.5,0.4,1.5,96.7,0.0,57.1,42.9
AUBURN - MARY D STONE,00170025,0.8,0.8,0.6,97.8,0.0,54.8,45.2
AUBURN - PAKACHOAG,00170015,0.4,1.8,0.4,97.5,0.0,50.4,49.6
AVON - AVON HIGH SCHOOL,00180505,20.6,0.9,1.3,77.2,0.0,45.6,54.4
AVON - AVON MIDDLE SCHOOL,00180305,4.6,0.4,1.9,93.1,0.0,46.0,54.0
AVON - RALPH D BUTLER,00180010,5.1,1.0,1.6,92.3,0.0,51.8,48.2
AYER - AYER HIGH,00190510,16.3,4.6,8.3,70.4,0.4,47.1,52.9
AYER - AYER MIDDLE,00190305,19.2,6.3,7.8,66.4,0.3,52.6,47.4
AYER - HILLTOP-PAGE,00190025,13.1,4.2,4.4,77.9,0.4,51.3,48.7
BARNSTABLE - BARNSTABLE HIGH,00200505,5.4,1.0,2.7,90.9,0.0,50.8,49.2
BARNSTABLE - CENTERVILLE ELEMENTARY,00200010,5.5,0.6,1.2,92.7,0.0,53.0,47.0
BARNSTABLE - COTUIT ELEM,00200015,5.1,0.5,0.0,94.4,0.0,52.8,47.2
BARNSTABLE - GRADE 5 SCHOOL,00200045,5.4,0.0,2.6,92.0,0.0,51.9,48.1
BARNSTABLE - HYANNIS ELEMENTARY,00200020,19.2,2.2,8.4,69.5,0.7,49.8,50.2
BARNSTABLE - HYANNIS WEST ELEMENTARY,00200025,17.6,1.4,5.5,74.8,0.6,52.7,47.3
BARNSTABLE - MARSTON MILLS EAST,00200032,1.1,0.5,0.5,97.7,0.2,52.1,47.9
BARNSTABLE - MARSTONS MILLS ELEM,00200030,4.1,0.6,0.0,95.3,0.0,50.6,49.4
BARNSTABLE - MIDDLE SCH/MARSTON'S MILL,00200310,7.3,1.1,3.0,87.2,1.5,52.9,47.1
BARNSTABLE - MIDDLE SCHOOL/HYANNIS,00200305,5.7,1.3,5.5,87.4,0.1,51.4,48.6
BARNSTABLE - OSTERVILLE BAY ELEMENTARY,00200040,1.0,0.5,2.5,96.0,0.0,54.5,45.5
BARNSTABLE - OSTERVILLE ELEMENTARY,00200035,1.2,0.9,3.3,94.3,0.3,53.6,46.4
BARNSTABLE - WEST BARNSTABLE ELEM,00200005,1.8,0.0,0.0,98.2,0.0,55.3,44.7
BEDFORD - BEDFORD HIGH,00230505,6.4,3.5,2.0,87.8,0.3,49.9,50.1
BEDFORD - JOHN GLENN MIDDLE,00230305,3.3,4.1,0.8,91.8,0.0,53.6,46.4
BEDFORD - LT ELEZER DAVIS,00230010,1.6,5.4,1.3,91.7,0.0,52.7,47.3
BEDFORD - LT JOB LANE SCHOOL,00230012,5.1,4.6,0.5,89.6,0.2,53.0,47.0
BELCHERTOWN - BELCHERTOWN HIGH,00240505,0.7,1.3,1.5,96.3,0.2,41.8,58.2
BELCHERTOWN - BERKSHIRE AVENUE SCHOOL,00240002,0.9,2.8,0.0,96.2,0.0,49.1,50.9
BELCHERTOWN - CENTER,00240003,1.0,1.0,0.0,98.0,0.0,53.9,46.1
BELCHERTOWN - CHESTNUT HILL COMMUNITY,00240004,1.1,0.3,0.9,97.5,0.3,50.3,49.7
BELCHERTOWN - COLD SPRING,00240005,0.5,1.0,1.0,97.4,0.0,50.0,50.0
BELCHERTOWN - FRANKLIN SCHOOL,00240010,0.0,1.5,0.0,98.5,0.0,58.2,41.8
BELCHERTOWN - MEADOW SCHOOL,00240015,0.0,0.0,1.3,98.7,0.0,55.3,44.7
BELCHERTOWN - TADGELL HALL,00240020,1.4,0.5,3.3,94.9,0.0,46.7,53.3
BELLINGHAM - BELLINGHAM E C C,00250003,2.4,1.6,0.0,96.0,0.0,59.2,40.8
BELLINGHAM - BELLINGHAM MEMORIAL JR-SR,00250505,2.2,0.6,2.5,94.6,0.2,51.0,49.0
BELLINGHAM - CLARA MACY ELEMENTARY,00250009,2.1,2.1,0.4,95.3,0.0,48.7,51.3
BELLINGHAM - PRIMAVERA JR/SR H S,00250510,11.4,0.0,0.0,88.6,0.0,77.1,22.9
BELLINGHAM - SOUTH ELEM,00250020,1.0,1.3,0.8,96.9,0.0,49.8,50.2
BELLINGHAM - STALL BROOK,00250025,0.4,0.4,2.1,97.0,0.0,51.0,49.0
BELMONT - BELMONT HIGH,00260505,4.7,5.3,0.7,89.2,0.1,47.6,52.4
BELMONT - DANIEL BUTLER,00260015,5.1,9.1,1.7,84.1,0.0,47.4,52.6
BELMONT - MARY LEE BURBANK,00260010,4.1,5.0,2.6,88.2,0.0,57.1,42.9
BELMONT - ROGER E WELLINGTON,00260035,3.1,6.7,0.3,89.8,0.0,52.0,48.0
BELMONT - WINN BROOK,00260005,2.3,4.7,2.0,91.0,0.0,51.2,48.8
BELMONT - WINTHROP L CHENERY MIDDLE,00260305,4.6,4.7,0.6,90.0,0.0,47.5,52.5
BENJAMIN FRANKLIN CHARTER - BEN FRANKLIN CLASSICAL CS,04470205,3.3,2.0,0.7,94.0,0.0,55.3,44.7
BERKLEY - BERKLEY COMMUNITY SCHOOL,00270010,0.6,0.0,0.0,99.4,0.0,51.7,48.3
BERKSHIRE HILLS - HOUSATONIC GRAMMAR,06180015,2.5,1.3,1.9,94.3,0.0,61.0,39.0
BERKSHIRE HILLS - MONUMENT MT REG HIGH,06180505,1.8,0.8,0.7,96.6,0.0,50.4,49.6
BERKSHIRE HILLS - SEARLES MIDDLE,06180305,2.9,0.8,1.8,94.5,0.0,51.0,49.0
BERKSHIRE HILLS - STOCKBRIDGE PLAIN,06180030,2.5,2.5,1.1,93.8,0.0,53.8,46.2
