SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,Males,Females
ABINGTON - ABINGTON ECC,00010003,0.8,0.8,1.0,97.4,0.0,51.4,48.6
ABINGTON - ABINGTON HIGH,00010505,0.4,0.5,0.0,99.1,0.0,52.5,47.5
ABINGTON - CENTER,00010005,1.9,0.8,0.8,96.6,0.0,50.9,49.1
ABINGTON - FROLIO JR HS,00010405,1.3,1.1,1.1,96.6,0.0,51.7,48.3
ABINGTON - NORTH,00010010,0.0,0.0,0.0,100.0,0.0,47.4,52.6
ABINGTON - WOODSDALE,00010015,0.7,1.4,0.5,97.5,0.0,52.8,47.2
ACTON - DOUGLAS,00020020,0.0,3.5,2.6,93.9,0.0,47.5,52.5
ACTON - GATES,00020025,0.0,5.9,1.5,92.5,0.0,51.1,48.9
ACTON - LUTHER CONANT,00020030,2.4,9.8,2.0,85.7,0.0,51.3,48.7
ACTON - MCCARTHY-TOWNE,00020015,1.1,5.3,3.5,89.9,0.2,51.5,48.5
ACTON - MERRIAM,00020010,0.4,2.4,1.2,96.0,0.0,54.8,45.2
ACTON-BOXBOROUGH - ACTON-BOXBOROUGH REG HIGH,06000505,1.2,4.8,1.8,91.4,0.7,53.3,46.7
ACTON-BOXBOROUGH - RAYMOND J GREY REG JH,06000405,0.0,5.8,1.3,92.9,0.0,48.6,51.4
ACUSHNET - ACUSHNET ELEMENTARY SCH,00030025,0.4,0.4,0.4,98.7,0.0,52.3,47.7
ACUSHNET - ALBERT F FORD MIDDLE SCH,00030305,0.6,0.6,0.0,98.9,0.0,54.1,45.9
ADAMS-CHESHIRE - ADAMS MIDDLE,06030305,0.4,1.1,0.0,98.5,0.0,51.8,48.2
ADAMS-CHESHIRE - CHESHIRE ELEMENTARY,06030004,0.3,0.6,0.0,98.5,0.6,52.5,47.5
ADAMS-CHESHIRE - HOOSAC VALLEY HIGH,06030505,0.2,0.2,0.2,99.4,0.0,47.1,52.9
ADAMS-CHESHIRE - PLUNKET ELEMENTARY,06030020,0.8,0.0,0.6,98.2,0.5,51.4,48.6
AGAWAM - AGAWAM HIGH,00050505,0.8,1.1,2.2,95.7,0.3,52.9,47.1
AGAWAM - AGAWAM JUNIOR HIGH,00050405,1.0,1.0,1.3,96.6,0.0,51.8,48.2
AGAWAM - AGAWAM MIDDLE SCHOOL,00050303,0.1,0.3,0.1,99.4,0.0,53.6,46.4
AGAWAM - BENJAMIN J PHELPS,00050020,0.7,2.4,0.5,96.4,0.0,51.2,48.8
AGAWAM - CLIFFORD M GRANGER,00050010,0.4,2.7,2.5,94.4,0.0,49.7,50.3
AGAWAM - JAMES CLARK SCHOOL,00050030,1.2,0.0,1.9,96.9,0.0,51.2,48.8
AGAWAM - ROBINSON PARK,00050025,0.7,1.2,1.7,96.4,0.0,50.9,49.1
AMESBURY - AMESBURY ELEMENTARY,00070005,0.7,0.0,0.0,99.3,0.0,53.4,46.6
AMESBURY - AMESBURY HIGH,00070505,0.5,0.5,0.3,98.7,0.0,46.1,53.9
AMESBURY - AMESBURY MIDDLE,00070013,0.0,0.2,0.4,99.3,0.2,50.0,50.0
AMESBURY - CHARLES C CASHMAN EL,00070010,0.6,0.6,1.2,97.4,0.3,51.5,48.5
AMESBURY - HORACE MANN,00070003,1.5,0.0,2.7,95.0,0.8,52.3,47.7
AMHERST - CROCKER FARM ELEMENTARY,00080009,8.8,6.7,10.7,73.2,0.5,52.0,48.0
AMHERST - FORT RIVER ELEMENTARY,00080020,9.8,11.0,8.3,70.5,0.3,54.2,45.8
AMHERST - MARKS MEADOW LABORATORY,00080030,16.0,16.0,15.6,52.1,0.4,48.2,51.8
AMHERST - WILDWOOD ELEMENTARY,00080050,10.3,11.0,9.7,68.9,0.2,50.6,49.4
AMHERST-PELHAM - AMHERST REGIONAL HIGH,06050505,9.1,9.4,8.9,72.4,0.1,53.0,47.0
AMHERST-PELHAM - AMHERST REGIONAL JR HIGH,06050405,8.8,8.3,9.6,73.1,0.2,51.3,48.8
ANDOVER - ANDOVER HIGH,00090505,1.4,6.1,2.4,90.1,0.0,50.6,49.4
ANDOVER - ANDOVER WEST MIDDLE,00090310,1.0,5.9,1.8,91.3,0.0,50.0,50.0
ANDOVER - BANCROFT ELEMENTARY,00090003,0.6,3.1,2.8,93.4,0.0,54.7,45.3
ANDOVER - DOHERTY MIDDLE,00090305,1.5,6.2,0.9,91.2,0.2,52.6,47.4
ANDOVER - HENRY C SANBORN ELEM,00090010,0.6,6.5,0.0,92.8,0.0,50.2,49.8
ANDOVER - SHAWSHEEN EARLY CHILDHOOD,00090005,0.4,6.1,1.5,92.0,0.0,54.4,45.6
ANDOVER - SOUTH ELEMENTARY,00090020,0.7,7.0,0.4,91.9,0.0,51.5,48.5
ANDOVER - WEST ELEMENTARY,00090025,1.2,6.7,4.6,87.5,0.0,55.0,45.0
ARLINGTON - ARLINGTON HIGH,00100505,4.8,5.9,2.6,86.7,0.0,48.8,51.2
ARLINGTON - BRACKETT,00100010,2.2,2.8,0.8,94.2,0.0,49.0,51.0
