SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,Males,Females
Abby Kelley Foster Regional Charter - Abby Kelley Foster Regional Charter School,04450105,11.4,4.2,12.6,71.3,0.5,51.0,49.0
Abington - Abington ECC,00010003,1.2,1.2,0.8,93.9,2.9,50.5,49.5
Abington - Abington High,00010505,1.7,0.7,1.4,96.2,0.0,47.0,53.0
Abington - Center,00010005,2.4,0.0,0.5,97.1,0.0,56.6,43.4
Abington - Frolio Jr Hs,00010405,3.2,0.5,2.7,93.5,0.0,49.1,50.9
Abington - North,00010010,0.0,0.5,0.0,99.5,0.0,47.9,52.1
Abington - Woodsdale,00010015,1.0,0.5,0.8,97.4,0.3,56.5,43.5
Academy of Strategic Learning HMCS - Academy of Strategic Learning HMCS School,04150505,2.9,0.0,0.0,97.1,0.0,68.6,31.4
Academy Of the Pacific Rim Charter - Academy Of the Pacific Rim Charter School,04120530,63.3,6.5,6.5,23.8,0.0,52.4,47.6
Acton - Douglas,00020020,0.2,17.2,2.8,79.8,0.0,51.7,48.3
Acton - Gates,00020025,0.0,12.8,0.6,86.6,0.0,56.3,43.7
Acton - Luther Conant,00020030,0.8,26.8,1.4,70.8,0.2,49.9,50.1
Acton - McCarthy-Towne,00020015,1.5,10.8,3.7,84.0,0.0,49.5,50.5
Acton - Merriam,00020010,1.2,20.0,1.0,77.9,0.0,51.9,48.1
Acton-Boxborough - Acton-Boxborough Reg High,06000505,0.8,11.1,1.4,86.4,0.3,49.4,50.6
Acton-Boxborough - Raymond J Grey JH,06000405,1.2,13.0,1.7,84.1,0.0,52.5,47.5
Acushnet - Acushnet Elementary Sch,00030025,1.7,0.0,0.2,98.1,0.0,49.8,50.2
Acushnet - Albert F Ford Middle Sch,00030305,1.1,0.2,0.6,97.4,0.7,51.4,48.6
Adams-Cheshire - Adams Middle,06030305,2.1,0.9,1.1,93.8,2.1,50.8,49.2
Adams-Cheshire - Cheshire Elementary,06030004,3.2,1.3,1.3,93.3,1.0,53.7,46.3
Adams-Cheshire - Hoosac Valley High,06030505,0.9,0.9,0.2,97.7,0.2,46.0,54.0
Adams-Cheshire - Plunkett Elementary,06030020,3.2,0.2,1.2,95.4,0.0,52.4,47.6
Agawam - Agawam ECC,00050003,0.7,0.0,0.0,99.3,0.0,54.1,45.9
Agawam - Agawam High,00050505,1.1,1.7,1.9,94.9,0.3,50.4,49.6
Agawam - Agawam Junior High,00050405,1.4,1.8,2.8,93.7,0.3,51.2,48.8
Agawam - Agawam Middle School,00050303,1.4,1.4,1.2,95.8,0.1,51.9,48.1
Agawam - Benjamin J Phelps,00050020,1.2,1.2,1.4,96.2,0.0,47.6,52.4
Agawam - Clifford M Granger,00050010,1.4,0.5,3.4,94.2,0.5,50.2,49.8
Agawam - James Clark School,00050030,0.5,1.7,2.5,94.8,0.5,55.1,44.9
Agawam - Robinson Park,00050025,1.3,0.8,1.3,96.7,0.0,52.3,47.7
Amesbury - Amesbury Elementary,00070005,2.7,1.5,2.3,93.4,0.0,52.6,47.4
Amesbury - Amesbury High,00070505,0.7,0.7,1.5,96.9,0.1,49.1,50.9
Amesbury - Amesbury Middle,00070013,0.9,0.7,1.5,96.1,0.7,49.4,50.6
Amesbury - Charles C Cashman El,00070010,0.5,0.5,1.1,97.5,0.4,56.5,43.5
Amherst - Crocker Farm Elementary,00080009,9.6,4.5,25.4,59.8,0.7,51.5,48.5
Amherst - Fort River Elementary,00080020,12.3,14.9,7.7,64.4,0.7,49.1,50.9
Amherst - Marks Meadow Laboratory,00080030,17.3,12.6,12.0,57.6,0.5,49.2,50.8
Amherst - Wildwood Elementary,00080050,13.1,13.8,8.3,64.2,0.6,45.6,54.4
Amherst-Pelham - Amherst Regional High,06050505,10.4,9.0,7.2,72.5,1.0,53.7,46.3
Amherst-Pelham - Amherst Regional MS,06050405,9.7,9.9,8.1,71.7,0.6,48.6,51.4
Andover - Andover High,00090505,1.0,8.1,2.3,88.5,0.1,50.5,49.5
Andover - Andover West Middle,00090310,0.6,6.5,1.4,91.5,0.0,50.9,49.1
Andover - Bancroft Elementary,00090003,0.7,7.3,2.7,88.6,0.7,54.0,46.0
Andover - Doherty Middle,00090305,0.9,2.9,1.9,94.1,0.2,54.3,45.7
Andover - Henry C Sanborn Elem,00090010,0.3,7.6,0.5,91.6,0.0,50.7,49.3
Andover - High Plain Elementary,00090004,1.1,13.4,6.3,79.2,0.0,50.8,49.2
Andover - Shawsheen School,00090005,0.4,4.2,0.0,95.5,0.0,48.1,51.9
Andover - South Elementary,00090020,0.7,5.7,0.5,93.1,0.0,52.9,47.1
Andover - West Elementary,00090025,1.3,9.2,1.8,87.5,0.2,54.4,45.6
Andover - Wood Hill Middle School,00090350,1.6,11.5,4.0,82.9,0.0,51.2,48.8
Arlington - Arlington High,00100505,5.6,5.0,2.9,86.4,0.0,48.4,51.6
Arlington - Brackett,00100010,0.3,4.6,1.1,94.0,0.0,49.1,50.9
Arlington - Cyrus E Dallin,00100025,3.7,7.1,1.6,87.1,0.5,46.3,53.7
Arlington - Hardy,00100030,6.3,15.0,3.5,75.2,0.0,49.3,50.7
Arlington - John A Bishop,00100005,2.3,5.7,1.3,90.7,0.0,52.6,47.4
Arlington - M Norcross Stratton,00100055,2.4,8.9,2.4,86.3,0.0,52.9,47.1
Arlington - Menotomy Preschool,00100038,1.0,3.1,0.0,95.9,0.0,58.8,41.2
Arlington - Ottoson Middle,00100410,4.9,4.3,2.2,88.5,0.0,50.9,49.1
Arlington - Peirce,00100045,5.7,4.8,3.9,84.8,0.9,51.3,48.7
Arlington - Thompson,00100050,7.9,13.3,5.2,73.6,0.0,53.0,47.0
Ashburnham-Westminster - Briggs Elem,06100025,0.6,0.6,1.4,97.5,0.0,53.0,47.0
Ashburnham-Westminster - Meetinghouse School,06100010,1.9,0.0,1.0,97.1,0.0,53.4,46.6
Ashburnham-Westminster - Oakmont Regional H S,06100505,0.6,1.3,1.1,97.0,0.0,50.7,49.3
Ashburnham-Westminster - Overlook Middle School,06100305,1.1,1.3,1.7,95.9,0.0,55.7,44.3
Ashburnham-Westminster - Westminster Elem,06100005,0.8,2.5,1.3,95.2,0.3,52.4,47.6
Ashland - Ashland High,00140505,2.3,3.4,3.1,91.2,0.0,50.2,49.8
Ashland - Ashland Middle,00140405,2.6,2.6,3.1,91.7,0.0,53.1,46.9
Ashland - David Mindess,00140015,1.8,2.7,1.7,93.8,0.0,48.7,51.3
Ashland - Henry E Warren Elem,00140010,3.5,4.9,4.3,87.2,0.2,50.4,49.6
Ashland - William Pittaway Elem,00140005,2.8,3.7,4.0,88.9,0.6,48.6,51.4
Assabet Valley - Assabet Valley Voc H S,08010605,1.3,0.6,10.1,87.7,0.2,62.0,38.0
Athol-Royalston - Athol High,06150505,1.2,1.0,2.6,95.2,0.0,50.4,49.6
Athol-Royalston - Athol-Royalston Middle School,06150305,0.5,0.9,5.3,92.9,0.4,52.7,47.3
