SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,Males,Females
Boston - O W Holmes,00350138,73.4,2.1,5.7,18.8,,60.4,39.6
Boston - O'Bryant Sch Math/Science,00350575,48.3,29.6,12.1,9.9,0.2,46.9,53.1
Boston - Oliver Hazard Perry,00350255,42.7,7.5,7.9,41.4,0.4,49.8,50.2
Boston - Patrick F Gavin Middle,00350435,46.3,11.5,9.3,31.1,1.9,49.8,50.2
Boston - Patrick J Kennedy,00350264,19.3,5.8,22.7,51.5,0.6,54,46
Boston - Patrick O'Hearn,00350266,59.3,4.6,5.1,31,,55.1,44.9
Boston - Paul A Dever,00350268,44.1,3.9,31.1,20,0.8,55.7,44.3
Boston - Pauline Agassiz Shaw,00350270,94.7,0.3,0.6,3.8,0.6,57.5,42.5
Boston - Phineas Bates,00350278,56.6,3.6,16.8,23,,48.4,51.6
Boston - PHYLLIS WHEATLEY MIDDLE,00350139,,,,,,0,0
Boston - Quincy E Dickerman,00350284,83.7,0.3,12.8,1.4,1.7,50,50
Boston - Rafael Hernandez,00350691,28.2,,56.6,14.6,0.5,47.9,52.1
Boston - Ralph Waldo Emerson,00350288,88.8,0.6,8.4,1.6,0.6,47.5,52.5
Boston - Richard J Murphy,00350240,61.7,5.4,3.7,28.5,0.7,53.4,46.6
Boston - ROBERT GOULD SHAW MIDDLE,00350475,,,,,,0,0
Boston - Roger Clap,00350298,45.7,9.3,9.7,33.7,1.6,52.7,47.3
Boston - Samuel Adams,00350302,30.6,4.5,12.3,52.6,,56.5,43.5
Boston - Samuel W Mason,00350304,66.9,2.5,16.2,12.6,1.8,55.8,44.2
Boston - Sarah Greenwood,00350308,53.8,,45.3,0.9,,54.7,45.3
Boston - Snowden Int'l High,00350690,57.5,8.4,17.6,16.1,0.4,40.6,59.4
Boston - Solomon Lewenberg Middle,00350450,77,2.2,7.1,13.1,0.5,53.4,46.6
Boston - SOUTH BOSTON HIGH,00350570,,,,,,0,0
Boston - The English High,00350535,48.1,2.4,38,11.4,0.1,48.7,51.3
Boston - Thomas A Edison Jr High,00350425,24.1,24.5,40,11.4,,56.5,43.5
Boston - Thomas Gardner,00350326,27.7,12.7,39.4,20.2,,48.4,51.6
Boston - Thomas J Kenny,00350328,63.6,4.5,2.8,28.4,0.7,47.8,52.2
Boston - Umana/Barnes Middle,00350405,20.7,12.5,36.3,30.3,0.1,53.1,46.9
Boston - Warren-Prescott,00350346,39.1,7.9,13.3,39.6,0.2,53.1,46.9
Boston - Washington Irving Middle,00350445,33.3,5.2,35.6,25.4,0.4,50.3,49.7
Boston - West Roxbury Sch,00350573,65.5,1.3,16.2,16.9,0.1,52.8,47.2
Boston - William E Russell,00350366,39.4,4.2,35.9,20,0.4,49.2,50.8
Boston - William Ellery Channing,00350360,69.5,1.2,5.9,22.9,0.5,47.8,52.2
Boston - William H Ohrenberger,00350258,34,6,41.4,18.2,0.5,51.1,48.9
Boston - William H Taft Middle,00350480,38.6,24.8,19.1,16.9,0.6,53.8,46.2
Boston - William McKinley,00350363,66.2,1.2,15.1,17.3,0.2,79.1,20.9
Boston - William Monroe Trotter,00350370,79.7,1.7,7.9,9.9,0.8,49.1,50.9
Boston - Winship Elementary,00350374,16.8,8.3,58.4,16.5,,51.7,48.3
Boston - Wm B Rogers Middle,00350470,67,1.5,9.3,22.2,,56.2,43.8
Boston - WM E ENDICOTT,00350362,,,,,,0,0
Boston - Woodrow Wilson Middle,00350490,80.5,3.6,5.4,10,0.5,54.4,45.6
