SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,Males,Females
Abby Kelley Foster Regional Charter - Abby Kelley Foster Regional Charter School,04450105,9.4,1.3,10.1,78.4,0.8,53.7,46.3
Abington - Abington ECC,00010003,1.2,0.3,0.2,98.3,,54.7,45.3
Abington - Abington High,00010505,1.4,0.5,0.5,97.5,,47.2,52.8
Abington - Center,00010005,2.6,1.0,0.5,95.8,,49.2,50.8
Abington - Frolio Jr Hs,00010405,,1.3,1.3,97.3,,53.4,46.6
Abington - North,00010010,,,,100.0,,46.7,53.3
Abington - Woodsdale,00010015,0.3,0.5,0.5,98.7,,53.5,46.5
Academy Of the Pacific Rim Charter - Academy Of the Pacific Rim Charter School,04120530,62.7,9.3,10.7,16.7,0.7,54.0,46.0
Acton - Douglas,00020020,0.4,9.2,2.4,88.0,,51.7,48.3
Acton - Gates,00020025,,5.0,0.2,94.8,,50.8,49.2
Acton - Luther Conant,00020030,1.3,14.0,1.0,83.7,,53.0,47.0
Acton - McCarthy-Towne,00020015,1.6,5.8,2.6,90.1,,53.0,47.0
Acton - Merriam,00020010,2.5,4.9,1.9,90.7,,50.9,49.1
Acton-Boxborough - Acton-Boxborough Reg High,06000505,0.9,7.4,2.2,89.1,0.4,49.5,50.5
Acton-Boxborough - Raymond J Grey JH,06000405,0.5,6.7,1.4,91.2,0.2,50.1,49.9
Acushnet - Acushnet Elementary Sch,00030025,2.4,,0.4,97.1,,52.1,47.9
Acushnet - Albert F Ford Middle Sch,00030305,0.5,0.2,2.0,97.3,,56.0,44.0
Adams-Cheshire - Adams Middle,06030305,1.3,0.9,,97.8,,49.7,50.3
Adams-Cheshire - Cheshire Elementary,06030004,1.6,0.9,0.6,96.5,0.3,54.4,45.6
Adams-Cheshire - Hoosac Valley High,06030505,0.6,0.4,0.2,98.9,,47.9,52.1
Adams-Cheshire - Plunkett Elementary,06030020,1.1,0.6,1.2,97.0,0.2,52.3,47.7
Agawam - Agawam High,00050505,0.3,0.8,1.9,95.9,1.1,51.5,48.5
Agawam - Agawam Junior High,00050405,1.3,0.9,0.6,97.0,0.2,50.4,49.6
Agawam - Agawam Middle School,00050303,0.5,0.2,0.5,98.8,0.2,52.4,47.6
Agawam - Benjamin J Phelps,00050020,1.6,1.9,1.2,95.3,,53.4,46.6
Agawam - Clifford M Granger,00050010,1.5,0.4,2.1,96.0,,50.4,49.6
Agawam - James Clark School,00050030,2.6,1.0,2.1,94.3,,49.6,50.4
Agawam - Robinson Park,00050025,1.0,0.8,1.0,97.2,,53.2,46.8
Amesbury - Amesbury Elementary,00070005,1.3,0.6,0.7,97.4,,49.1,50.9
Amesbury - Amesbury High,00070505,0.7,,0.4,98.9,,47.9,52.1
Amesbury - Amesbury Middle,00070013,0.3,0.1,0.3,99.3,,51.9,48.1
Amesbury - Charles C Cashman El,00070010,1.0,0.6,1.7,96.7,,49.0,51.0
Amesbury - Horace Mann,00070003,,,,,,0.0,0.0
Amherst - Crocker Farm Elementary,00080009,9.3,4.9,12.6,73.2,,52.5,47.5
Amherst - Fort River Elementary,00080020,8.2,12.3,7.3,71.2,0.9,54.2,45.8
Amherst - Marks Meadow Laboratory,00080030,16.5,12.5,15.0,54.5,1.5,51.5,48.5
Amherst - Wildwood Elementary,00080050,12.5,9.9,7.9,69.1,0.5,49.3,50.7
Amherst-Pelham - Amherst Regional High,06050505,10.2,8.9,7.5,73.3,0.2,49.3,50.7
Amherst-Pelham - Amherst Regional MS,06050405,8.4,8.7,7.4,74.8,0.7,53.8,46.2
Andover - Andover High,00090505,2.0,8.0,1.9,87.9,0.2,50.3,49.7
Andover - Andover West Middle,00090310,0.5,7.6,4.0,87.9,,49.8,50.2
Andover - Bancroft Elementary,00090003,0.5,6.7,3.0,89.4,0.3,59.1,40.9
Andover - Doherty Middle,00090305,0.8,6.6,1.3,91.2,,54.1,45.9
Andover - Henry C Sanborn Elem,00090010,0.8,4.1,0.2,94.9,,51.4,48.6
Andover - Shawsheen School,00090005,,3.3,1.0,95.7,,53.8,46.2
Andover - South Elementary,00090020,0.5,4.4,,95.1,,53.4,46.6
Andover - West Elementary,00090025,1.3,6.7,3.8,88.1,0.1,52.0,48.0
Arlington - Arlington High,00100505,6.7,4.3,2.7,86.3,,49.5,50.5
Arlington - Brackett,00100010,1.4,5.6,1.4,91.6,,48.1,51.9
Arlington - Cyrus E Dallin,00100025,7.0,5.7,0.8,86.6,,53.0,47.0
Arlington - Hardy,00100030,6.1,7.3,3.3,83.0,0.3,48.9,51.1
Arlington - John A Bishop,00100005,3.1,4.2,2.4,90.3,,52.9,47.1
Arlington - M Norcross Stratton,00100055,4.0,5.4,1.4,89.1,,52.2,47.8
Arlington - Ottoson Middle,00100410,5.5,4.9,2.6,86.9,0.2,48.1,51.9
Arlington - Peirce,00100045,8.4,6.2,4.4,81.0,,49.1,50.9
Arlington - Thompson,00100050,9.3,7.5,4.8,78.4,,57.8,42.2
Ashburnham-Westminster - Briggs Elem,06100025,,1.4,0.4,98.1,,52.8,47.2
Ashburnham-Westminster - Meetinghouse School,06100010,0.7,2.5,1.8,95.0,,55.5,44.5
Ashburnham-Westminster - Oakmont Regional H S,06100505,0.6,0.7,0.9,97.6,0.1,51.6,48.4
Ashburnham-Westminster - Overlook Middle School,06100305,0.3,0.9,0.6,98.2,,52.2,47.8
Ashburnham-Westminster - Westminster Elem,06100005,0.3,0.9,1.5,97.3,,55.7,44.3
Ashland - Ashland High,00140505,2.0,0.7,2.9,94.4,,47.6,52.4
Ashland - Ashland Middle,00140405,2.2,3.8,4.4,89.7,,49.2,50.8
Ashland - David Mindess,00140015,3.1,3.9,4.0,89.0,,55.7,44.3
Ashland - Henry E Warren Elem,00140010,2.9,1.9,6.8,88.2,0.2,52.4,47.6
Ashland - William Pittaway Elem,00140005,1.0,3.6,1.0,94.3,,52.8,47.2
Assabet Valley - Assabet Valley Voc H S,08010605,2.0,1.3,4.3,92.1,0.3,54.9,45.1
Athol-Royalston - Athol High,06150505,0.9,0.7,1.5,96.9,,49.3,50.7
Athol-Royalston - Athol-Royalston Middle School,06150305,2.1,2.4,5.9,88.5,1.2,52.9,47.1
Athol-Royalston - Ellen Bigelow,06150005,4.5,1.3,3.2,90.4,0.6,51.6,48.4
Athol-Royalston - Lyman Ward ELC,06150002,,,,,,0.0,0.0
Athol-Royalston - Pleasant St,06150016,0.4,0.4,1.8,97.5,,54.5,45.5
Athol-Royalston - Riverbend,06150020,1.5,1.1,2.2,94.8,0.4,52.6,47.4
Athol-Royalston - Royalston Community Sch,06150050,0.7,0.7,1.4,97.3,,54.1,45.9
Athol-Royalston - Sanders Street,06150025,,0.7,2.1,97.2,,54.5,45.5
Athol-Royalston - Silver Lake,06150030,1.1,1.6,0.5,96.8,,56.2,43.8
Atlantis Charter - Atlantis Charter School,04910550,6.4,2.4,2.6,87.6,1.0,55.2,44.8
Attleboro - A. Irvin Studley Elementary School,00160001,5.3,11.5,10.5,72.7,,53.4,46.6
Attleboro - Attleboro High,00160505,1.7,9.1,3.1,86.1,,51.1,48.9
Attleboro - Attleboro Voc Tech High,00160605,,,,,,0.0,0.0
Attleboro - ATTLEBOROUGH ECC,00160005,,,,,,0.0,0.0
Attleboro - Cyril K. Brennan Middle School,00160315,2.9,6.8,5.4,83.7,1.2,54.1,45.9
Attleboro - Hill-Roberts Elementary School,00160045,0.8,2.3,2.1,94.7,0.2,50.0,50.0
Attleboro - Hyman Fine Elementary School,00160040,2.8,3.0,4.2,89.9,0.2,53.7,46.3
Attleboro - JOSEPH FINBERG,00160010,,,,,,0.0,0.0
Attleboro - Robert J. Coelho Middle School,00160305,1.4,1.7,2.0,94.6,0.3,45.2,54.8
Attleboro - Thomas E. Willett School,00160035,4.5,2.9,4.3,88.3,,50.1,49.9
