id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
20781,Jackson Mann,45.4,46,Boston,54.6,0,24.8,12.7,00350013,2005,0,16.4,100.1,0.2
20782,James A Garfield Elem,52.3,42.7,Boston,47.7,0,28.6,11.8,00350152,2005,0,16.8,99.9,0
20783,James Condon Elem,46.8,43.7,Boston,53.2,0,21.6,11.1,00350146,2005,0,23.3,100.0,0.3
20784,James J Chittick,43.8,90.1,Boston,56.3,0,7,0.4,00350154,2005,0,1.8,100.0,0.7
20785,James M Curley,54.4,38,Boston,45.6,0,35.7,1.5,00350384,2005,0,24.7,99.9,0
20786,James Otis,52.8,4.1,Boston,47.2,0,62.2,3.4,00350156,2005,0,30,100.1,0.4
20787,James P Timilty Middle,52.4,53.9,Boston,47.6,0,39.9,2.9,00350485,2005,0,2.6,99.9,0.6
20788,James W Hennigan,49.3,27.2,Boston,50.7,0,57.7,3.1,00350153,2005,0,11.1,100.1,1
20789,Jeremiah E Burke High,47.4,81.4,Boston,52.6,0,13.2,3.1,00350525,2005,0,1.8,100.0,0.5
20790,John D Philbrick,43.5,55.7,Boston,56.5,0,27.5,2.3,00350172,2005,0,13.7,100.0,0.8
20791,John F Kennedy,47.1,25.8,Boston,52.9,0,71.9,1.3,00350166,2005,0,1,100.0,0
20792,John Marshall,47.4,62.2,Boston,52.6,0,33.3,1.3,00350178,2005,0,1.4,100.0,1.8
20793,John P Holland,45.6,50.8,Boston,54.4,0,28.8,18.2,00350167,2005,0,1.7,99.9,0.4
20794,John W Mccormack,50.2,38.3,Boston,49.8,0,39.9,12.8,00350179,2005,0,8.9,100.0,0.1
20795,John Winthrop,51,62.3,Boston,49,0,33.9,1,00350180,2005,0,1,100.1,1.9
20796,Joseph J Hurley,51.4,30.3,Boston,48.6,0,64.4,1.1,00350182,2005,0,4.2,100.0,0
20797,Joseph Lee,44.2,80.3,Boston,55.8,0,11.9,3.6,00350183,2005,0,3.8,100.0,0.4
20798,Joseph P Manning,42,27.8,Boston,58,0,13,6.8,00350184,2005,0,52.5,100.1,0
20799,Joseph P Tynan,47.5,52.2,Boston,52.5,0,15.9,4.4,00350181,2005,0,26.6,100.0,0.9
20800,Josiah Quincy,50.1,12.4,Boston,49.9,0,7.3,71.8,00350286,2005,0,8.5,100.0,0
20801,Joyce Kilmer,53.1,19.6,Boston,46.9,0,9.2,10.4,00350190,2005,0,60.8,100.0,0
20802,Lee Academy,51.3,78.8,Boston,48.8,0,13.8,1.3,00350001,2005,0,6.3,100.2,0
20803,Lewis Middle School,40.2,71.8,Boston,59.8,0,24.7,1.4,00350455,2005,0,2.1,100.0,0
20804,Lucy Stone,47,85.9,Boston,53,0,12.8,0,00350211,2005,0,1.3,100.0,0
20805,Lyndon,44.4,13.1,Boston,55.6,0,27.8,3.5,00350262,2005,0,55.1,99.9,0.4
20806,Madison Park High,46.5,54.3,Boston,53.5,0,39.7,1.4,00350537,2005,0,4.3,100.0,0.3
20807,Manassah E Bradley,51.2,12.7,Boston,48.8,0,36.9,11.1,00350215,2005,0,38.1,100.0,1.2
20808,Martin Luther King Jr Mid,44.5,66.6,Boston,55.5,0,30.9,1.3,00350410,2005,0,0.6,100.0,0.6
20809,Mary E Curley Middle,49.3,32.7,Boston,50.7,0,60.5,1,00350420,2005,0,5.7,99.9,0
20810,Mary Lyon,32.8,33.6,Boston,67.2,0,18.5,7.6,00350004,2005,0,39.5,100.0,0.8
20811,Mather,49,52.9,Boston,51,0,11.6,31.6,00350227,2005,0,3.7,100.0,0.2
20812,Mattahunt,45.3,74.3,Boston,54.7,0,22.1,0.5,00350226,2005,0,3,99.9,0
20813,Mattapan Ecc,42.9,68.8,Boston,57.1,0,20.6,8.2,00350008,2005,0,2.4,100.0,0
20814,Maurice J Tobin,50.5,29.6,Boston,49.5,0,68.2,1.5,00350229,2005,0,0.5,100.0,0.2
20815,Michael J Perkins,50.9,49.1,Boston,49.1,0,23.4,6.4,00350231,2005,0,21.1,100.0,0
20816,Mildred Avenue Middle School,47.7,76.8,Boston,52.3,0,20.7,0.6,00350381,2005,0,1.7,100.0,0.2
20817,Mission Hill School,51,58.8,Boston,49,0,12.4,4.6,00350382,2005,0,23.5,100.0,0.7
20818,Monument High School,41.2,48.8,Boston,58.8,0,22.1,3.8,00350538,2005,0,25.1,100.1,0.3
20819,Mozart,44.9,39.9,Boston,55.1,0,19.6,3.8,00350237,2005,0,36.1,100.0,0.6
20820,Nathan Hale,50.3,81.4,Boston,49.7,0,18.6,0,00350243,2005,0,0,100.0,0
20821,New Boston Pilot Middle School,49.8,59.6,Boston,50.2,0,36.6,1.4,00350383,2005,0,1.7,100.1,0.8
20822,New Mission High School,48.5,64.6,Boston,51.5,0,27.5,3.1,00350542,2005,0,3.9,100.0,0.9
20823,O W Holmes,40.4,80.8,Boston,59.6,0,13.1,1.5,00350138,2005,0,4.5,99.9,0
20824,O'Bryant Sch Math/Science,60.1,47.1,Boston,39.9,0,17.5,22.6,00350575,2005,0,12.3,99.9,0.4
20825,Odyssey High School,46.9,43.2,Boston,53.1,0,28.7,8,00350577,2005,0,20.2,100.1,0
20826,Oliver Hazard Perry,42.9,29.2,Boston,57.1,0,14.3,8.4,00350255,2005,0,48.1,100.0,0
20827,Orchard Gardens,51.7,43.9,Boston,48.3,0,53.8,0.5,00350257,2005,0,1.8,100.0,0
20828,Patrick F Gavin Middle,46.5,49.2,Boston,53.5,0,22.3,8.3,00350435,2005,0,19.6,99.9,0.5
20829,Patrick J Kennedy,55,11.6,Boston,45,0,53.4,3.7,00350264,2005,0,31.2,99.9,0
20830,Patrick O'Hearn,48.5,55.5,Boston,51.5,0,4,9.7,00350266,2005,0,28.2,100.0,2.6
20831,Paul A Dever,47,35.6,Boston,53,0,51.6,5.2,00350268,2005,0,7.4,100.0,0.2
20832,Pauline Agassiz Shaw,46.5,89.4,Boston,53.5,0,8.9,0,00350270,2005,0,1.1,100.1,0.7
20833,Phineas Bates,46.4,58.3,Boston,53.6,0,23.5,4,00350278,2005,0,13.6,100.1,0.7
20834,Quincy E Dickerman,47.1,74.2,Boston,52.9,0,23.5,0.9,00350284,2005,0,0.9,100.0,0.5
20835,Quincy Upper School,48,25.7,Boston,52,0,6.7,62.5,00350565,2005,0,4.6,100.0,0.5
20836,Rafael Hernandez,53.4,9.6,Boston,46.6,0,80.6,0.8,00350691,2005,0,8.8,100.1,0.3
20837,Ralph Waldo Emerson,51,81.3,Boston,49,0,14.6,2.1,00350288,2005,0,2.1,100.1,0
20838,Richard J Murphy,44.9,36.9,Boston,55.1,0,6.3,23.9,00350240,2005,0,32,99.9,0.8
20839,Roger Clap,48.5,45.6,Boston,51.5,0,16.9,10.3,00350298,2005,0,25.7,100.0,1.5
20840,Samuel Adams,41,13.8,Boston,59,0,52.5,5.1,00350302,2005,0,28.1,100.0,0.5
20841,Samuel W Mason,44.3,68,Boston,55.7,0,21.5,0,00350304,2005,0,9.6,100.0,0.9
20842,Sarah Greenwood,52,33.9,Boston,48,0,65.1,0.3,00350308,2005,0,0.8,100.1,0
20843,Snowden Int'L High,60.5,45.2,Boston,39.5,0,35.2,14.3,00350690,2005,0,5,99.9,0.2
20845,Solomon Lewenberg Middle,43.2,83.4,Boston,56.8,0,14,0.7,00350450,2005,0,1.7,100.0,0.2
20846,Tech Boston Academy,33.9,52.3,Boston,66.1,0,30.3,6,00350539,2005,0,11,100.1,0.5
20847,The English High,49.6,46.6,Boston,50.4,0,46.7,1.6,00350535,2005,0,5,100.0,0.1
20848,Thomas A Edison Jr High,46.4,29.4,Boston,53.6,0,42.5,15.5,00350425,2005,0,12.5,100.1,0.2
20849,Thomas Gardner,49.5,20.7,Boston,50.5,0,52.5,15.7,00350326,2005,0,11,99.9,0
20850,Thomas J Kenny,46.4,70.3,Boston,53.6,0,13.8,6.7,00350328,2005,0,8.4,100.0,0.8
20851,Umana/Barnes Middle,47.4,10.7,Boston,52.6,0,57.7,5.4,00350405,2005,0,26.3,100.1,0
20852,Warren-Prescott,46.2,27.8,Boston,53.8,0,23.3,2.1,00350346,2005,0,46.2,100.0,0.6
20853,Washington Irving Middle,46.1,34.6,Boston,53.9,0,42.7,3.3,00350445,2005,0,18.7,100.0,0.7
20854,West Roxbury Sch,45,56.3,Boston,55,0,28.3,2,00350573,2005,0,13.2,100.0,0.2
20855,William E Russell,54.8,37.1,Boston,45.2,0,51.6,4.1,00350366,2005,0,7.2,100.0,0
20856,William Ellery Channing,48.9,75.9,Boston,51.1,0,18,0.4,00350360,2005,0,5.8,100.1,0
20857,William H Ohrenberger,45.9,34.7,Boston,54.1,0,50.2,3.1,00350258,2005,0,11.2,100.0,0.8
20858,William Mckinley,19.7,62.5,Boston,80.3,0,21.8,0.5,00350363,2005,0,14.1,100.1,1.2
20859,William Monroe Trotter,47.5,84,Boston,52.5,0,12.8,0,00350370,2005,0,1.4,100.0,1.8
20860,Winship Elementary,45.6,24.6,Boston,54.4,0,43.1,18.5,00350374,2005,0,12.3,100.0,1.5
20861,Wm B Rogers Middle,42.4,65,Boston,57.6,0,14.8,10.4,00350470,2005,0,9.6,100.0,0.2
20862,Woodrow Wilson Middle,44.7,83.3,Boston,55.3,0,10.8,2.8,00350490,2005,0,3,100.1,0.2
20863,Young Achievers,48.1,68.4,Boston,51.9,0,18.6,2.1,00350380,2005,0,8.4,100.0,2.5
20864,Young Adult Center,0,0,Boston,100,0,100,0,00350588,2005,0,0,100.0,0
