id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
20729,Academy Of Public Service,45.6,70.7,Boston,54.4,0,22.6,1.7,00350502,2005,0,4.9,99.9,0
20730,Agassiz,50.2,18.9,Boston,49.8,0,76.2,0.6,00350007,2005,0,4.2,100.0,0.1
20731,Alexander Hamilton,44.1,41,Boston,55.9,0,22.3,21.3,00350011,2005,0,15.4,100.0,0
20732,Another Course To College,57.7,48.7,Boston,42.3,0,15.8,9.8,00350541,2005,0,24.8,100.0,0.9
20733,Beethoven,46.6,50.3,Boston,53.4,0,18.3,6.9,00350021,2005,0,24.1,99.9,0.3
20734,Blackstone,47.3,25.9,Boston,52.7,0,68.8,1.4,00350390,2005,0,3.5,99.9,0.3
20735,Blue Hill Ave Ecc,50.5,52.5,Boston,49.5,0,41.9,2,00350010,2005,0,3,99.9,0.5
20736,Boston Adult Academy,50,77.6,Boston,50,0,16.7,3.4,00350548,2005,0,2.3,100.0,0
20737,Boston Arts Academy,57.8,51.1,Boston,42.2,0,25.4,2.3,00350546,2005,0,20.9,100.0,0.3
20738,Boston Community Leadership Academy,59.2,60.6,Boston,40.8,0,24.4,3.2,00350558,2005,0,11.8,100.0,0
20739,Boston International  High School,56,27.7,Boston,44,0,68.8,0.7,00350507,2005,0,2.8,100.0,0
20740,Boston Latin,55.6,10.3,Boston,44.4,0,5.5,30,00350560,2005,0,53.9,99.9,0.2
20741,Boston Latin Academy,58.1,26.5,Boston,41.9,0,12,21.8,00350545,2005,0,39.3,99.9,0.3
20742,Boston Middle School Academy,34.8,69.6,Boston,65.2,0,30.4,0,00350413,2005,0,0,100.0,0
20743,Brighton High,54.9,46,Boston,45.1,0,41.1,5.9,00350505,2005,0,6.6,100.1,0.5
20744,Carter Develop Day Care,48,56,Boston,52,0,36,4,00350036,2005,0,4,100.0,0
20745,Charles H Taylor,48.8,89,Boston,51.2,0,5.6,2.7,00350054,2005,0,2.1,100.0,0.6
20746,Charles Sumner,50.1,31,Boston,49.9,0,60.4,1,00350052,2005,0,7.4,100.0,0.2
20747,Charlestown High,47.3,50.4,Boston,52.7,0,24,17.1,00350515,2005,0,8.5,100.1,0.1
20748,Clarence R Edwards Middle,46.3,33.5,Boston,53.7,0,36.4,12.5,00350430,2005,0,16.6,100.0,1
20749,Community Academy,48.6,82.9,Boston,51.4,0,8.6,2.9,00350518,2005,0,2.9,100.2,2.9
20750,Curtis Guild,48.1,4.6,Boston,51.9,0,72.6,4.2,00350062,2005,0,18.1,99.9,0.4
20751,Dante Alighieri,48.3,10.2,Boston,51.7,0,53.4,4.2,00350066,2005,0,30.5,100.0,1.7
20752,David A Ellis,48.5,46.1,Boston,51.5,0,52.1,0.6,00350072,2005,0,1.2,100.0,0
20753,Dearborn,49,51.5,Boston,51,0,40.8,4,00350074,2005,0,3.1,100.0,0.6
20754,Dennis C Haley,45.3,67.2,Boston,54.7,0,23.3,1.4,00350077,2005,0,7.8,100.0,0.3
20755,Donald Mckay,49.7,3.9,Boston,50.3,0,90.7,0.4,00350080,2005,0,5.1,100.1,0
20756,East Boston Ecc,43.5,8.3,Boston,56.5,0,74.1,1,00350009,2005,0,16.1,100.0,0.5
20757,East Boston High,46.3,23.6,Boston,53.7,0,50.1,2.3,00350530,2005,0,23.6,100.0,0.4
20758,Economics And Business Academy,45.1,75.9,Boston,54.9,0,18.6,2.7,00350524,2005,0,1.4,100.0,1.4
20759,Edward Everett,51.1,44.9,Boston,48.9,0,14.3,22.8,00350088,2005,0,17.6,100.0,0.4
20760,Egleston Comm High School,57.8,77.1,Boston,42.2,0,21.7,1.2,00350543,2005,0,0,100.0,0
20761,Elc - East Zone,48.5,76.5,Boston,51.5,0,14.4,4.5,00350005,2005,0,3,99.9,1.5
20762,Elc - North Zone,51.7,25.5,Boston,48.3,0,31,25.5,00350003,2005,0,17.9,99.9,0
20763,Elc - West Zone,47.6,39.8,Boston,52.4,0,36.9,1.9,00350006,2005,0,21.4,100.0,0
20764,Elihu Greenwood,47.2,72.4,Boston,52.8,0,21.3,1.2,00350094,2005,0,4.4,100.0,0.7
20765,Eliot Elementary,49.7,35,Boston,50.3,0,27,1.2,00350096,2005,0,35.6,100.0,1.2
20766,Ellis Mendell,49.1,51.5,Boston,50.9,0,43.6,0.6,00350100,2005,0,4.3,100.0,0
20767,Emily A Fifield,51.4,86.8,Boston,48.6,0,9.6,1.3,00350102,2005,0,1.9,99.9,0.3
20768,Excel High School,44,39,Boston,56,0,15.9,28.4,00350522,2005,0,16.4,100.0,0.3
20769,Farragut,46.2,42.7,Boston,53.8,0,35,16.2,00350108,2005,0,5.1,99.9,0.9
20770,Fenway High School,56.2,51.7,Boston,43.8,0,27.3,2.6,00350540,2005,0,17.6,99.9,0.7
20771,Franklin D Roosevelt,50.6,55.6,Boston,49.4,0,16.5,3.1,00350116,2005,0,24.9,100.1,0
20772,George H Conley,39.5,50.5,Boston,60.5,0,28.2,2.3,00350122,2005,0,19.1,100.1,0
20773,Grover Cleveland,43.9,66.6,Boston,56.1,0,23.3,4.2,00350415,2005,0,5.7,100.0,0.2
20774,Harbor School,46.6,72.7,Boston,53.4,0,11.9,4.3,00350426,2005,0,11.1,100.0,0
20775,Harvard-Kent,43.9,20.9,Boston,56.1,0,27.6,38.3,00350200,2005,0,13.3,100.1,0
20776,Henry Grew,47.2,57.9,Boston,52.8,0,21,2,00350135,2005,0,19,99.9,0
20777,Henry L Higginson,47.4,70.5,Boston,52.6,0,26.9,0.6,00350137,2005,0,1.9,99.9,0
20778,Horace Mann,49.7,36.1,Boston,50.3,0,34,11.6,00350750,2005,0,18.4,100.1,0
20779,Hugh Roe O'Donnell,52.5,5.5,Boston,47.5,0,61.8,6.5,00350141,2005,0,26.3,100.1,0
20780,Hyde Park High School,46.2,67.1,Boston,53.8,0,25.3,1,00350550,2005,0,5.9,99.9,0.6
