id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
5588,Agassiz,50.4,21.6,Boston,49.6,0,67.9,1.6,00350007,1997,0,8.6,99.9,0.2
5589,Alexander Hamilton,41.8,39.8,Boston,58.2,0,11.9,33.3,00350011,1997,0,14.6,100.0,0.4
5590,Another Course To College,68.5,52.8,Boston,31.5,0,8.3,3.7,00350541,1997,0,34.3,100.0,0.9
5591,Beethoven,43.9,45.9,Boston,56.1,0,15.4,4.4,00350021,1997,0,34.3,100.0,0
5592,Blackstone,46.3,27.5,Boston,53.7,0,67.8,0.9,00350390,1997,0,3.2,99.9,0.5
5593,Boston High School,56.1,55.6,Boston,43.9,0,26.5,2.4,00350650,1997,0,14.8,100.1,0.8
5594,Boston Latin,55.4,21.8,Boston,44.6,0,10.9,18.5,00350560,1997,0,48.7,100.0,0.1
5595,Boston Latin Academy,56.3,32.6,Boston,43.7,0,7,18.2,00350545,1997,0,41.8,100.0,0.4
5596,Brighton High,48,46,Boston,52,0,33.9,13.1,00350505,1997,0,6.9,100.0,0.1
5597,Carter Develop Day Care,38.9,61.1,Boston,61.1,0,27.8,5.6,00350036,1997,0,5.6,100.1,0
5598,Charles H Taylor,52,88.7,Boston,48,0,3.6,1.5,00350054,1997,0,5.9,100.0,0.3
5599,Charles Sumner,44.3,31.9,Boston,55.7,0,45.7,3.3,00350052,1997,0,18.9,100.0,0.2
5600,Charlestown High,43.8,36.6,Boston,56.2,0,27.2,22.7,00350515,1997,0,13.1,100.0,0.4
5601,Clarence R Edwards Middle,46.1,38.3,Boston,53.9,0,20.9,21.4,00350430,1997,0,19,100.0,0.4
5602,Curtis Guild,48.6,20,Boston,51.4,0,12.2,30.2,00350062,1997,0,37.6,100.0,0
5603,Dante Alighieri,47,26.3,Boston,53,0,34.3,10.6,00350066,1997,0,28.8,100.0,0
5604,David A Ellis,50,44,Boston,50,0,53.9,1.1,00350072,1997,0,0.9,100.1,0.2
5605,Dearborn,45.6,75.1,Boston,54.4,0,19.3,2.7,00350074,1997,0,2.7,100.0,0.2
5606,Dennis C Haley,47.5,75.9,Boston,52.5,0,17.7,1.1,00350077,1997,0,5,100.1,0.4
5607,Donald Mckay,48.2,13.9,Boston,51.8,0,67.9,0.5,00350080,1997,0,17.7,100.2,0.2
