id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
11177,Agassiz,46.9,21.8,Boston,53.1,0,72.4,0.6,00350007,2000,0,5.1,99.9,0
11178,Alexander Hamilton,38.2,40.7,Boston,61.8,0,19.1,24.1,00350011,2000,0,16.1,100.0,0
11179,Another Course To College,58.8,48.2,Boston,41.2,0,9.4,3.5,00350541,2000,0,36.5,100.0,2.4
11180,Beethoven,46.2,48.2,Boston,53.8,0,18.9,4.3,00350021,2000,0,28.6,100.0,0
11181,Blackstone,45.7,26.2,Boston,54.3,0,71.2,0.4,00350390,2000,0,2,100.0,0.2
11182,Blue Hill Ave Ecc,45,49.2,Boston,55,0,45.5,1.1,00350010,2000,0,3.7,100.0,0.5
11183,Boston Arts Academy,57.1,43.7,Boston,42.9,0,18.6,0.9,00350546,2000,0,35.9,100.0,0.9
11184,Boston High School,52.1,55.3,Boston,47.9,0,26.2,3.1,00350650,2000,0,15.2,100.2,0.4
11185,Boston Latin,55,16.4,Boston,45,0,7.5,25.4,00350560,2000,0,50.6,100.0,0.1
11186,Boston Latin Academy,55.8,26,Boston,44.2,0,7.6,21.8,00350545,2000,0,44.4,100.1,0.3
11187,Brighton High,53.6,49.8,Boston,46.4,0,35,8.6,00350505,2000,0,6.3,100.1,0.4
11188,Carter Develop Day Care,27.8,50,Boston,72.2,0,38.9,11.1,00350036,2000,0,0,100.0,0
11189,Charles H Taylor,50.7,89.3,Boston,49.3,0,4.5,2.1,00350054,2000,0,3.8,100.0,0.3
11190,Charles Sumner,44.4,36,Boston,55.6,0,47.4,1.7,00350052,2000,0,14.7,100.0,0.2
11191,Charlestown High,46.1,38.9,Boston,53.9,0,26.8,22.2,00350515,2000,0,11.9,100.0,0.2
11192,Clarence R Edwards Middle,45.6,36.3,Boston,54.4,0,24.2,17.8,00350430,2000,0,20.8,100.0,0.9
11193,Curtis Guild,42.2,16.5,Boston,57.8,0,16.5,27.8,00350062,2000,0,38.7,99.9,0.4
11194,Dante Alighieri,44.9,17,Boston,55.1,0,39.5,9.5,00350066,2000,0,34,100.0,0
11195,David A Ellis,48,46.1,Boston,52,0,52.4,0.7,00350072,2000,0,0.7,100.1,0.2
11196,Dearborn,49.1,73.9,Boston,50.9,0,21.7,2.2,00350074,2000,0,2,100.0,0.2
11197,Dennis C Haley,49.4,76.8,Boston,50.6,0,15.9,0.9,00350077,2000,0,6.2,100.1,0.3
11198,Donald Mckay,51.2,10,Boston,48.8,0,79.9,0.3,00350080,2000,0,9.7,100.0,0.1
11199,Dorchester High,47,67.7,Boston,53,0,25.7,2.6,00350520,2000,0,3.6,100.0,0.4
11200,East Boston Ecc,51.8,20.5,Boston,48.2,0,57.4,3.6,00350009,2000,0,18.5,100.0,0
11201,East Boston High,46.1,25,Boston,53.9,0,43,5,00350530,2000,0,26.9,100.1,0.2
11202,Edward Everett,47.8,47.8,Boston,52.2,0,8.9,15.9,00350088,2000,0,25.9,99.9,1.4
11203,Egleston Comm High School,66.7,66.7,Boston,33.3,0,29.4,0,00350543,2000,0,3.9,100.0,0
11204,Elc - East Zone,42.8,75.1,Boston,57.2,0,10.4,4,00350005,2000,0,7.5,99.9,2.9
11205,Elc - North Zone,52.3,27.9,Boston,47.7,0,10.5,32.6,00350003,2000,0,27.9,100.1,1.2
11206,Elc - West Zone,44.6,56.2,Boston,55.4,0,28.1,0,00350006,2000,0,15.7,100.0,0
11207,Elihu Greenwood,49.5,69.9,Boston,50.5,0,15.9,1.6,00350094,2000,0,12.2,100.0,0.4
11208,Eliot Elementary,46.8,48.3,Boston,53.2,0,30,3.4,00350096,2000,0,17.7,99.9,0.5
11209,Ellis Mendell,50.9,54.4,Boston,49.1,0,41.7,0,00350100,2000,0,3.5,100.0,0.4
11210,Emily A Fifield,50.5,88.2,Boston,49.5,0,8.5,0.8,00350102,2000,0,1.8,100.1,0.8
11211,Expulsion Alt School,7.1,71.4,Boston,92.9,0,14.3,0,00350580,2000,0,14.3,100.0,0
11212,Farragut,51.9,49.3,Boston,48.1,0,23.7,18.1,00350108,2000,0,7,100.0,1.9
11213,Fenway High School,56.4,47,Boston,43.6,0,27.3,4.2,00350540,2000,0,21.2,100.1,0.4
11214,Frank V Thompson Middle,46.1,80.3,Boston,53.9,0,11,3.9,00350114,2000,0,4.6,100.0,0.2
11215,Franklin D Roosevelt,46,65.9,Boston,54,0,9.6,2.6,00350116,2000,0,21.2,100.0,0.7
11216,George H Conley,42.1,49.8,Boston,57.9,0,19.6,1.7,00350122,2000,0,28.9,100.0,0
11217,Grover Cleveland,42.5,70.6,Boston,57.5,0,17.7,3.3,00350415,2000,0,7.7,100.0,0.7
11218,Harbor School,54.2,68.4,Boston,45.8,0,14.2,4.7,00350426,2000,0,12.1,99.9,0.5
11219,Harriet A Baldwin,50,21.6,Boston,50,0,5.5,67.4,00350129,2000,0,5.5,100.0,0
11220,Harvard-Kent,46.3,19.8,Boston,53.7,0,24.2,32.4,00350200,2000,0,23.2,100.0,0.4
11221,Henry Grew,42.5,64.2,Boston,57.5,0,14.7,2,00350135,2000,0,19.1,100.0,0
11222,Henry L Higginson,47.3,76.1,Boston,52.7,0,19,1.1,00350137,2000,0,3.8,100.0,0
11223,Horace Mann,53,41.7,Boston,47,0,31.3,8.7,00350750,2000,0,18.3,100.0,0
11224,Hugh Roe O'Donnell,54.7,11.3,Boston,45.3,0,43.3,13,00350141,2000,0,32.3,99.9,0
11225,Hyde Park High School,45.1,73.6,Boston,54.9,0,16.3,1.7,00350550,2000,0,7.9,99.9,0.4
11226,Jackson Mann,46.3,47.8,Boston,53.7,0,19.6,16.5,00350013,2000,0,15.9,100.1,0.3
11227,James A Garfield Elem,54.9,45.4,Boston,45.1,0,17.3,12.3,00350152,2000,0,25,100.0,0
11228,James Condon Elem,47.5,46.2,Boston,52.5,0,10.4,15,00350146,2000,0,27.5,100.0,0.9
11229,James J Chittick,48,89.6,Boston,52,0,2.5,1.2,00350154,2000,0,5,100.0,1.7
11230,James M Curley,49.8,49.2,Boston,50.2,0,29.8,3.4,00350384,2000,0,17.6,100.0,0
11231,James Otis,45.7,5.5,Boston,54.3,0,65.8,2.8,00350156,2000,0,25.9,100.0,0
11232,James P Timilty Middle,54.4,52.4,Boston,45.6,0,32.6,4.8,00350485,2000,0,9.6,100.1,0.7
11233,James W Hennigan,53.8,29.6,Boston,46.2,0,49.1,4.2,00350153,2000,0,16.8,100.0,0.3
11234,Jeremiah E Burke High,46.7,83.7,Boston,53.3,0,9.5,3.7,00350525,2000,0,2.3,100.0,0.8
11235,John D Philbrick,44.7,55.3,Boston,55.3,0,25.3,2,00350172,2000,0,16.7,100.0,0.7
11236,John F Kennedy,51.6,24.8,Boston,48.4,0,71.4,1.2,00350166,2000,0,2.6,100.0,0
