id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
31930,Agassiz,46.3,17,Boston,53.7,0.8,79.1,1,00350007,2011,0.2,2,100.1,0
31931,Another Course To College,51.7,44.8,Boston,48.3,0,41.9,4.4,00350541,2011,0,8.9,100.0,0
31932,Baldwin ELC,46,17.8,Boston,54,3.4,33.3,16.1,00350003,2011,0,29.3,99.9,0
31933,Beethoven,40.6,21.8,Boston,59.4,3.1,34.1,5,00350021,2011,0,36,100.0,0
31934,Blackstone,48.3,16.5,Boston,51.7,1,80.1,1,00350390,2011,0,1.4,100.0,0
31935,Boston Adult Academy,44.1,55.9,Boston,55.9,0.4,35.5,6.1,00350548,2011,0,1.8,100.1,0.4
31936,Boston Arts Academy,58.3,38.5,Boston,41.7,3.1,38.8,3.4,00350546,2011,0.5,14.8,99.9,0.8
31937,Boston Community Leadership Academy,53.9,43.5,Boston,46.1,0.4,43.2,3.8,00350558,2011,0.4,8.6,99.9,0
31938,Boston International  High School,48.2,32.8,Boston,51.8,1.6,60.7,0.4,00350507,2011,0,4.5,100.0,0
31939,Boston Latin,55.6,12.1,Boston,44.4,2.2,8.8,28.1,00350560,2011,0,48.8,100.0,0
31940,Boston Latin Academy,57.2,28.8,Boston,42.8,1.6,17.8,21.9,00350545,2011,0.1,29,100.0,0.8
31941,Boston Middle School Academy,20,20,Boston,80,0,80,0,00350413,2011,0,0,100.0,0
31942,Boston Teachers Union School,43.8,38.4,Boston,56.2,2.3,37.4,1.8,00350012,2011,0,19.6,100.0,0.5
31943,Brighton High,45.7,39.4,Boston,54.3,0.8,50.9,3.2,00350505,2011,0.1,5.1,100.0,0.5
31944,Brook Farm Business and Service Career Academy,43.2,34.2,Boston,56.8,1.5,53.2,1.8,00350576,2011,0,9.3,100.0,0
31945,Carter Developmental Center,32,56,Boston,68,0,24,8,00350036,2011,0,12,100.0,0
31946,Charles H Taylor,44.7,79.7,Boston,55.3,1.5,15,1.5,00350054,2011,0,1.3,100.1,1.1
31947,Charles Sumner,46,19.9,Boston,54,1.1,72.5,1.1,00350052,2011,0.2,5.3,100.1,0
31948,Charlestown High,47.9,37.7,Boston,52.1,0.7,36.6,18.8,00350515,2011,0,5.8,99.9,0.3
31949,Clarence R Edwards Middle,47.4,19.3,Boston,52.6,1.3,52.2,15.4,00350430,2011,0,11.6,100.0,0.2
31950,Community Academy,33.3,68.9,Boston,66.7,0,28.9,2.2,00350518,2011,0,0,100.0,0
31951,Community Academy of Science and Health,50.5,74.6,Boston,49.5,1.2,21.4,1,00350581,2011,0.2,1.5,99.9,0
31952,Curley K-8 School,48.6,18.5,Boston,51.4,2.7,58.3,3,00350020,2011,0,17.6,100.1,0
