id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
13083,Agassiz,49.4,20.9,Boston,50.6,0,74.6,0.4,00350007,2001,0,4,100.0,0.1
13084,Alexander Hamilton,40,38.6,Boston,60,0,19.5,25.1,00350011,2001,0,16.7,99.9,0
13085,Another Course To College,54.4,43,Boston,45.6,0,8.9,7.6,00350541,2001,0,38,100.0,2.5
13086,Beethoven,48.3,47.2,Boston,51.7,0,18.1,4.2,00350021,2001,0,29.2,100.1,1.4
13087,Blackstone,44.8,25.8,Boston,55.2,0,71,0.3,00350390,2001,0,2.5,100.0,0.4
13088,Blue Hill Ave Ecc,49.7,51.8,Boston,50.3,0,42.6,0.5,00350010,2001,0,4.1,100.0,1
13089,Boston Adult Academy,47.1,72.1,Boston,52.9,0,10.5,15.1,00350548,2001,0,2.3,100.0,0
13090,Boston Arts Academy,58.9,48,Boston,41.1,0,17.8,2.2,00350546,2001,0,31.8,100.1,0.3
13091,Boston High School,51.4,53.3,Boston,48.6,0,26.4,2.9,00350650,2001,0,17.3,100.1,0.2
13092,Boston Latin,56.1,14.6,Boston,43.9,0,7,26.8,00350560,2001,0,51.5,100.0,0.1
13093,Boston Latin Academy,57,25.3,Boston,43,0,9.2,22.1,00350545,2001,0,43.1,99.9,0.2
13094,Brighton High,51,52.9,Boston,49,0,33.8,7.8,00350505,2001,0,5.2,100.0,0.3
13095,Carter Develop Day Care,33.3,50,Boston,66.7,0,38.9,11.1,00350036,2001,0,0,100.0,0
13096,Charles H Taylor,49.2,91.9,Boston,50.8,0,3.5,1.5,00350054,2001,0,3,100.1,0.2
13097,Charles Sumner,48.7,34.7,Boston,51.3,0,51.1,1.3,00350052,2001,0,12.8,100.1,0.2
13098,Charlestown High,44.2,36.3,Boston,55.8,0,29.2,22.9,00350515,2001,0,11.4,100.0,0.2
13099,Clarence R Edwards Middle,43.8,33,Boston,56.2,0,24.4,20.5,00350430,2001,0,21.3,100.0,0.8
13100,Curtis Guild,41.6,14.4,Boston,58.4,0,21.8,20.8,00350062,2001,0,42.6,100.1,0.5
13101,Dante Alighieri,49.7,22.4,Boston,50.3,0,45.5,7.7,00350066,2001,0,24.5,100.1,0
13102,David A Ellis,53.6,49.5,Boston,46.4,0,48.4,0.7,00350072,2001,0,1.1,99.9,0.2
13103,Dearborn,50.8,71.9,Boston,49.2,0,24.1,1.8,00350074,2001,0,1.8,100.0,0.4
13104,Dennis C Haley,48.8,79.5,Boston,51.2,0,14.9,0.9,00350077,2001,0,4.7,100.0,0
13105,Donald Mckay,48,7.2,Boston,52,0,84,0.6,00350080,2001,0,7.9,100.0,0.3
13106,Dorchester High,47.7,67.8,Boston,52.3,0,26.6,2,00350520,2001,0,3.1,99.9,0.4
13107,East Boston Ecc,48.5,13.1,Boston,51.5,0,63.6,3,00350009,2001,0,20.2,99.9,0
13108,East Boston High,45,26,Boston,55,0,44.3,4.6,00350530,2001,0,24.8,100.0,0.3
13109,Edward Everett,52.8,45.2,Boston,47.2,0,9.4,18.8,00350088,2001,0,26.1,100.1,0.6
13110,Egleston Comm High School,66.7,66.7,Boston,33.3,0,24.1,0,00350543,2001,0,9.3,100.1,0
13111,Elc - East Zone,44.8,76.7,Boston,55.2,0,14.1,4.3,00350005,2001,0,4.9,100.0,0
13112,Elc - North Zone,48.8,28,Boston,51.2,0,14.6,32.9,00350003,2001,0,23.2,99.9,1.2
13113,Elc - West Zone,46.7,49.2,Boston,53.3,0,35.8,2.5,00350006,2001,0,12.5,100.0,0
13114,Elihu Greenwood,48.5,70.4,Boston,51.5,0,17.7,1.7,00350094,2001,0,9.4,100.0,0.8
13115,Eliot Elementary,44.1,41,Boston,55.9,0,34.4,4.1,00350096,2001,0,20,100.0,0.5
13116,Ellis Mendell,46.8,58.9,Boston,53.2,0,37.7,0.4,00350100,2001,0,3,100.0,0
13117,Emily A Fifield,50.1,91.1,Boston,49.9,0,6.8,0.5,00350102,2001,0,1.1,100.0,0.5
13118,Expulsion Alt School,12.9,74.2,Boston,87.1,0,9.7,3.2,00350580,2001,0,12.9,100.0,0
13119,Farragut,50.2,47,Boston,49.8,0,26.1,18.8,00350108,2001,0,5.6,99.9,2.4
13120,Fenway High School,57.3,50.6,Boston,42.7,0,24.3,4.3,00350540,2001,0,20.4,100.0,0.4
13121,Frank V Thompson Middle,46.2,80.9,Boston,53.8,0,9.1,5.1,00350114,2001,0,4.3,100.0,0.6
13122,Franklin D Roosevelt,47.4,64.2,Boston,52.6,0,9.6,2.4,00350116,2001,0,23.2,100.1,0.7
13123,George H Conley,40,46.7,Boston,60,0,27.1,2.7,00350122,2001,0,23.6,100.1,0
13124,Grover Cleveland,42.4,72.6,Boston,57.6,0,18.6,2.7,00350415,2001,0,5.6,100.0,0.5
13125,Harbor School,52.5,74.2,Boston,47.5,0,10.7,2,00350426,2001,0,12.7,100.0,0.4
13126,Harriet A Baldwin,49.5,15.9,Boston,50.5,0,7.2,71.2,00350129,2001,0,5.8,100.1,0
13127,Harvard-Kent,48.3,19.4,Boston,51.7,0,25.3,31.6,00350200,2001,0,23.2,99.9,0.4
13128,Henry Grew,42.9,68,Boston,57.1,0,10.9,2.7,00350135,2001,0,18,99.9,0.3
13129,Henry L Higginson,44.4,73.9,Boston,55.6,0,22.2,1.7,00350137,2001,0,2.2,100.0,0
13130,Horace Mann,49.6,40.2,Boston,50.4,0,30.7,7.9,00350750,2001,0,21.3,100.1,0
13131,Hugh Roe O'Donnell,54.9,7.7,Boston,45.1,0,46.2,13.6,00350141,2001,0,32.5,100.0,0
13132,Hyde Park High School,42.4,73.7,Boston,57.6,0,17.3,1.6,00350550,2001,0,7,100.0,0.4
13133,Jackson Mann,47.7,48.5,Boston,52.3,0,20.5,12.2,00350013,2001,0,18.9,100.1,0
13134,James A Garfield Elem,52.7,43.1,Boston,47.3,0,22.8,11.4,00350152,2001,0,22.8,100.1,0
13135,James Condon Elem,46.2,45.2,Boston,53.8,0,10.4,14.7,00350146,2001,0,28.4,100.0,1.3
13136,James J Chittick,42.4,90.3,Boston,57.6,0,4.1,1.2,00350154,2001,0,3.2,100.0,1.2
13137,James M Curley,49.8,53.7,Boston,50.2,0,28.9,2.4,00350384,2001,0,15,100.0,0
13138,James Otis,49.2,6,Boston,50.8,0,64.1,3.9,00350156,2001,0,25.7,100.0,0.3
13139,James P Timilty Middle,54.6,53,Boston,45.4,0,35.5,4.9,00350485,2001,0,6.2,99.9,0.3
13140,James W Hennigan,52.3,28.9,Boston,47.7,0,48.7,3.9,00350153,2001,0,18.1,99.9,0.3
13141,Jeremiah E Burke High,45.3,84.5,Boston,54.7,0,9.8,3.4,00350525,2001,0,1.3,99.9,0.9
