id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
33760,Another Course To College,46.2,41.9,Boston,53.8,0,45.2,4.8,00350541,2012,0,8.1,100.0,0
33761,Baldwin Early Learning Center,43.2,13,Boston,56.8,5.2,31.3,19.3,00350003,2012,0,31.3,100.1,0
33762,Beethoven,44.4,19.4,Boston,55.6,3.3,38.8,3.9,00350021,2012,0,34.5,99.9,0
33763,Blackstone,46.1,16.8,Boston,53.9,1,79.1,0.9,00350390,2012,0,2.1,100.1,0.2
33764,Boston Adult Academy,47.3,53.7,Boston,52.7,0.7,38.6,4.7,00350548,2012,0,2,100.0,0.3
33765,Boston Arts Academy,58.9,35.6,Boston,41.1,2.6,45.2,2.6,00350546,2012,0.2,12.9,99.8,0.7
33766,Boston Community Leadership Academy,54.3,37.6,Boston,45.7,0.4,48,5.9,00350558,2012,0.4,7.4,99.9,0.2
33767,Boston International High School,47.1,41.5,Boston,52.9,1.2,51.5,1.5,00350507,2012,0.6,3.8,100.1,0
33768,Boston Latin,55.3,11.6,Boston,44.7,2.3,9.4,28.6,00350560,2012,0.1,48,100.1,0.1
33769,Boston Latin Academy,56.8,27.2,Boston,43.2,1.4,20,22,00350545,2012,0,28.5,100.0,0.9
33770,Boston Middle School Academy,42.9,42.9,Boston,57.1,0,28.6,0,00350413,2012,0,28.6,100.1,0
33771,Boston Teachers Union School,49.2,36.3,Boston,50.8,2.3,44.7,1.6,00350012,2012,0,15.1,100.0,0
33772,Brighton High,44.1,39.6,Boston,55.9,1.3,50.3,3.2,00350505,2012,0.1,4.9,99.9,0.5
33773,Brook Farm/Media High,43.8,45.9,Boston,56.2,0.9,44.8,1.4,00350658,2012,0,6.6,100.0,0.4
33774,Carter Developmental Center,32,56,Boston,68,0,24,8,00350036,2012,0,12,100.0,0
33775,Charles H Taylor,47.3,75.8,Boston,52.7,1.7,18.8,1.7,00350054,2012,0,1,100.0,1
33776,Charles Sumner,50,19.1,Boston,50,0.6,70.8,1.8,00350052,2012,0.2,7.6,100.1,0
33777,Charlestown High,47.1,36.6,Boston,52.9,0.4,37.1,20.7,00350515,2012,0,5.1,100.0,0.1
33778,Clarence R Edwards Middle,50,16.9,Boston,50,1.1,59.9,13.5,00350430,2012,0,8.2,100.0,0.4
33779,Community Academy,37.8,48.6,Boston,62.2,0,48.6,0,00350518,2012,0,0,99.9,2.7
33780,Community Academy of Science and Health,48.8,66.8,Boston,51.2,2.1,27.1,1.6,00350581,2012,0,2.4,100.0,0
33781,Curley K-8 School,48.3,19.4,Boston,51.7,2.8,58.7,2.1,00350020,2012,0,17,100.0,0
33782,Curtis Guild,42.9,1.5,Boston,57.1,0.4,89.4,0.4,00350062,2012,0,8.4,100.1,0
33783,David A Ellis,50.3,35,Boston,49.7,1,63.2,0.3,00350072,2012,0.3,0.3,100.1,0
33784,Dearborn,42.3,66.3,Boston,57.7,2.4,24.8,2.4,00350074,2012,0.4,2.8,99.9,0.8
33785,Dennis C Haley,49.7,26.3,Boston,50.3,5.1,38.8,2.6,00350077,2012,0.3,26.3,100.0,0.6
33786,Donald Mckay,50.1,1.6,Boston,49.9,0.6,90.8,0.7,00350080,2012,0,6.1,99.9,0.1
33787,Dorchester Academy,48.9,60.3,Boston,51.1,0.8,30,3.6,00350651,2012,0.3,4.1,100.1,1
