id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
26382,Academy Of Public Service,50,61,Boston,50,0.4,33.3,0.7,00350502,2008,0,3.9,100.0,0.7
26383,Agassiz,48.2,18,Boston,51.8,1.4,74.9,0.2,00350007,2008,0,5.5,100.0,0
26384,Alexander Hamilton,49.4,33.3,Boston,50.6,2.3,32.8,16.1,00350011,2008,0,14.4,100.0,1.1
26385,Another Course To College,54.4,46.1,Boston,45.6,0.4,31.1,7,00350541,2008,0,14.9,99.9,0.4
26386,Baldwin Elc,49.2,17.5,Boston,50.8,3.4,28.8,19.2,00350003,2008,0,30.5,100.0,0.6
26387,Beethoven,48.5,33.6,Boston,51.5,3.3,31,6.6,00350021,2008,0,24.5,100.1,1.1
26388,Blackstone,49.7,17.1,Boston,50.3,0.7,77.2,1.3,00350390,2008,0,3.7,100.0,0
26389,Boston Adult Academy,45.4,57.9,Boston,54.6,0.7,32.9,6.1,00350548,2008,0,2.1,100.1,0.4
26390,Boston Arts Academy,60.5,41.3,Boston,39.5,4.3,32.2,3.9,00350546,2008,0,18,99.9,0.2
26391,Boston Community Leadership Academy,60.6,52.4,Boston,39.4,1.5,36.4,2.5,00350558,2008,0.7,6.5,100.0,0
26392,Boston International  High School,47.6,17.7,Boston,52.4,1.8,75.6,3.7,00350507,2008,0,1.2,100.0,0
26393,Boston Latin,56.2,10.9,Boston,43.8,1.8,7.9,27.4,00350560,2008,0.1,51.8,100.0,0.1
26394,Boston Latin Academy,56.7,28,Boston,43.3,1.6,15.5,20.2,00350545,2008,0,34,100.0,0.7
26395,Boston Middle School Academy,46.2,61.5,Boston,53.8,0,30.8,7.7,00350413,2008,0,0,100.0,0
26396,Brighton High,49.7,40.2,Boston,50.3,0.7,49.4,4,00350505,2008,0.1,5,100.1,0.7
26397,Brook Farm Business And Service Career Academy,43.8,38.8,Boston,56.2,1.7,46.6,1.1,00350576,2008,0,11.3,100.1,0.6
26398,Carter Develop Day Care,37.5,45.8,Boston,62.5,0,33.3,8.3,00350036,2008,0,12.5,99.9,0
26399,Charles H Taylor,48.6,82.9,Boston,51.4,1.4,11.6,1.8,00350054,2008,0.2,1,100.1,1.2
26400,Charles Sumner,46.8,23.6,Boston,53.2,1.9,64.1,2.1,00350052,2008,0,8.3,100.0,0
26401,Charlestown High,47.8,43.4,Boston,52.2,0.8,31.8,18.3,00350515,2008,0,5.5,100.0,0.2
26402,Clarence R Edwards Middle,46.1,32.7,Boston,53.9,1,37.7,20.2,00350430,2008,0,8.1,100.0,0.3
26403,Community Academy,41.3,81.3,Boston,58.7,1.3,13.3,1.3,00350518,2008,0,2.7,99.9,0
26404,Community Academy Of Science And Health,59,74.5,Boston,41,0.5,21.9,0.8,00350581,2008,0,1.5,100.0,0.8
26405,Curley K-8 School,48.8,23.4,Boston,51.2,1.6,58.4,2.9,00350020,2008,0,13.2,99.9,0.4
26406,Curtis Guild,48.4,3.6,Boston,51.6,0.4,74.9,2.2,00350062,2008,0.4,17.8,100.0,0.7
26407,Dante Alighieri,46.1,7,Boston,53.9,3.9,64.1,4.7,00350066,2008,0,20.3,100.0,0
26408,David A Ellis,49.3,38.1,Boston,50.7,2,56.3,0.7,00350072,2008,0,2.6,100.0,0.3
26409,Dearborn,45,61.1,Boston,55,0.8,33.9,1.7,00350074,2008,0.6,1.7,100.1,0.3
26410,Dennis C Haley,50,48.3,Boston,50,2.4,30.8,1.7,00350077,2008,0,16.4,99.9,0.3
26411,Donald Mckay,48.7,2.7,Boston,51.3,0.1,89.6,0.7,00350080,2008,0,6.8,99.9,0
26412,Dr. Catherine Ellison-Rosa Parks Early Ed School,47.4,51,Boston,52.6,2.1,39.6,5.2,00350008,2008,0,1,99.9,1
26413,East Boston Ecc,43.4,3.5,Boston,56.6,0,80.3,2.9,00350009,2008,0,13.3,100.0,0
26414,East Boston High,46.9,17.3,Boston,53.1,0.7,60.6,1.9,00350530,2008,0,19.1,99.9,0.3
26415,Edward Everett,44.8,52,Boston,55.2,1.1,18.3,17.6,00350088,2008,0.4,10.4,100.2,0.4
26416,Egleston Comm High School,69.5,37.3,Boston,30.5,1.7,55.9,0.8,00350543,2008,0,2.5,99.9,1.7
26417,Elc - East Zone,53.5,66.9,Boston,46.5,3.1,25.2,2.4,00350005,2008,0,2.4,100.0,0
26418,Elc - West Zone,47,32,Boston,53,2,43,8,00350006,2008,0,15,100.0,0
26419,Elihu Greenwood,50.1,60.9,Boston,49.9,1.2,35.4,0,00350094,2008,0,2,100.1,0.6
26420,Eliot Elementary,46.8,19.4,Boston,53.2,3.5,45.3,1.5,00350096,2008,0,30.3,100.0,0
26421,Ellis Mendell,44.8,39.2,Boston,55.2,2.2,55.8,0.6,00350100,2008,0,1.7,100.1,0.6
26422,Emily A Fifield,52,78.2,Boston,48,4.7,13.4,1.9,00350102,2008,0,1.9,100.1,0
26423,Excel High School,41.7,36.4,Boston,58.3,0.5,21.1,23.2,00350522,2008,0,18.6,100.1,0.3
26424,Farragut,43.7,42.9,Boston,56.3,1.3,40.3,10,00350108,2008,0,3,100.1,2.6
26425,Fenway High School,53.1,41.4,Boston,46.9,0.3,41.7,1.7,00350540,2008,0.3,13.4,99.8,1
26426,Franklin D Roosevelt,45.5,37.6,Boston,54.5,2.4,27.1,0.8,00350116,2008,0,31.8,100.1,0.4
26427,George H Conley,41.8,38.3,Boston,58.2,2,37.3,2,00350122,2008,0,20.4,100.0,0
26428,Grover Cleveland,39.6,61.3,Boston,60.4,0,24.3,5.4,00350415,2008,0,9,100.0,0
26429,Harbor School,49,69,Boston,51,3.1,12.6,4.6,00350426,2008,0.8,9.2,100.1,0.8
26430,Harvard-Kent,46,20.6,Boston,54,1.6,31.2,34.1,00350200,2008,0,11.9,100.1,0.7
26431,Haynes Early Education Center,43.8,35.6,Boston,56.2,4.6,53.1,4.1,00350010,2008,0.5,2.1,100.0,0
26432,Henry Grew,48.3,50.8,Boston,51.7,1.7,35.6,1.7,00350135,2008,0,9.7,99.9,0.4
26433,Henry L Higginson,47.5,62.5,Boston,52.5,1.9,33.1,0,00350137,2008,0,1.9,100.0,0.6
26434,Horace Mann School For The Deaf,52.1,28.9,Boston,47.9,1.4,40.8,7.7,00350750,2008,0,20.4,99.9,0.7
26435,Hugh Roe O'Donnell,45.4,4,Boston,54.6,0.8,71.3,5.6,00350141,2008,0,18.3,100.0,0
26436,Jackson Mann,46.2,35.6,Boston,53.8,1.7,34.9,11.2,00350013,2008,0,16.1,100.1,0.6
26437,James A Garfield Elem,46.8,36.9,Boston,53.2,5,36.9,6.8,00350152,2008,0,14,100.1,0.5
26438,James Condon Elem,49.3,40.9,Boston,50.7,1.7,26.7,10.6,00350146,2008,0.2,19.4,100.0,0.5
