id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
16941,Agassiz,48.3,19.4,Boston,51.7,0,76.1,0.7,00350007,2003,0,3.5,100.0,0.3
16942,Alexander Hamilton,42.6,40.3,Boston,57.4,0,21.3,20.8,00350011,2003,0,17.6,100.0,0
16943,Another Course To College,60.3,57.1,Boston,39.7,0,7.9,5.6,00350541,2003,0,28.6,100.0,0.8
16944,Beethoven,45.6,51.2,Boston,54.4,0,18.4,4.2,00350021,2003,0,25.1,100.0,1.1
16945,Blackstone,45.9,25.5,Boston,54.1,0,70.2,0.7,00350390,2003,0,3.3,100.0,0.3
16946,Blue Hill Ave ECC,49.5,54.2,Boston,50.5,0,42.6,1.6,00350010,2003,0,1.6,100.0,0
16947,Boston Adult Academy,40.3,69.6,Boston,59.7,0,13.4,13.4,00350548,2003,0,3.5,99.9,0
16948,Boston Arts Academy,60.5,47.7,Boston,39.5,0,24.7,1.8,00350546,2003,0,25.5,100.0,0.3
16949,Boston Community Leadership Academy,56.2,57.5,Boston,43.8,0,20.6,5,00350558,2003,0,16.3,99.9,0.5
16951,Boston Latin,56,11.8,Boston,44,0,5.6,29.3,00350560,2003,0,53.3,100.1,0.1
16952,Boston Latin Academy,59.6,26.8,Boston,40.4,0,11.5,21.3,00350545,2003,0,40.1,100.0,0.3
16953,Boston Middle School Academy,12.5,75,Boston,87.5,0,12.5,0,00350413,2003,0,12.5,100.0,0
16954,Brighton High,51.3,52.2,Boston,48.7,0,33.7,5.5,00350505,2003,0,8.4,100.1,0.3
16955,Carter Develop Day Care,50,45.8,Boston,50,0,45.8,4.2,00350036,2003,0,4.2,100.0,0
16956,Charles H Taylor,48.5,91.7,Boston,51.5,0,4.6,1.5,00350054,2003,0,1.9,100.0,0.3
16957,Charles Sumner,43.6,33.2,Boston,56.4,0,55.5,0.9,00350052,2003,0,10.2,100.0,0.2
16958,Charlestown High,44.8,40.8,Boston,55.2,0,29.6,20.4,00350515,2003,0,8.9,100.0,0.3
16959,Clarence R Edwards Middle,47,32,Boston,53,0,33.9,15.5,00350430,2003,0,18.2,100.0,0.4
16960,Community Academy,12.5,93.8,Boston,87.5,0,6.3,0,00350518,2003,0,0,100.1,0
16961,Curtis Guild,45.2,5.8,Boston,54.8,0,53.1,15.4,00350062,2003,0,25.3,100.0,0.4
16962,Dante Alighieri,43.2,18.4,Boston,56.8,0,48.8,9.6,00350066,2003,0,23.2,100.0,0
