id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
1951,Agassiz,49,23.6,Boston,51,0,64.7,0.9,00350007,1995,0,10.3,100.0,0.5
1952,Alexander Hamilton,41.8,31.7,Boston,58.2,0,10.8,38.6,00350011,1995,0,18.9,100.0,0
1953,Beethoven,40.3,45.4,Boston,59.7,0,13.2,6.4,00350021,1995,0,34.6,99.9,0.3
1954,Blackstone,51,30,Boston,49,0,64.1,1.2,00350390,1995,0,4.4,100.0,0.3
1955,Boston High School,53.1,54,Boston,46.9,0,29.9,1.5,00350650,1995,0,14.3,99.9,0.2
1956,Boston Latin,54.9,22.8,Boston,45.1,0,10.4,16.6,00350560,1995,0,50,100.0,0.2
1957,Boston Latin Academy,56.8,33.2,Boston,43.2,0,6.7,19.3,00350545,1995,0,40.5,100.0,0.3
1958,Brighton High,49.7,44.9,Boston,50.3,0,27.8,20,00350505,1995,0,7,99.9,0.2
1959,Carter Develop Day Care,50,50,Boston,50,0,28.6,0,00350036,1995,0,21.4,100.0,0
1960,Charles H Taylor,50.4,90.3,Boston,49.6,0,1.8,1,00350054,1995,0,6.8,100.0,0.1
1961,Charles Sumner,45.5,32.5,Boston,54.5,0,42.2,2.1,00350052,1995,0,22.9,100.0,0.3
1962,Charlestown High,45.3,35.3,Boston,54.7,0,26.6,23.2,00350515,1995,0,14.6,100.1,0.4
1963,Clarence R Edwards Middle,44,33.2,Boston,56,0,21,24.2,00350430,1995,0,21.6,100.0,0
1964,Curtis Guild,47.6,23.1,Boston,52.4,0,10.2,33.8,00350062,1995,0,32,100.0,0.9
1965,Dante Alighieri,50,26.9,Boston,50,0,25.6,8.1,00350066,1995,0,39.4,100.0,0
1966,David A Ellis,53.5,40.8,Boston,46.5,0,57.1,0,00350072,1995,0,2.1,100.0,0
1967,Dearborn,49,75.5,Boston,51,0,20.1,0.8,00350074,1995,0,3.1,100.0,0.5
1968,Dennis C Haley,52.1,68.6,Boston,47.9,0,11.6,1.2,00350077,1995,0,18,100.0,0.6
1969,Donald Mckay,45.5,17.5,Boston,54.5,0,59.3,0.5,00350080,1995,0,22.4,100.0,0.3
1970,Dorchester High,48.9,58.8,Boston,51.1,0,31.5,2.8,00350520,1995,0,6.7,100.0,0.2
1971,East Boston High,47.4,24.8,Boston,52.6,0,31.7,8,00350530,1995,0,35.1,100.0,0.4
1972,Edward Everett,47.4,43.7,Boston,52.6,0,8.6,11.8,00350088,1995,0,35.1,100.1,0.9
1973,Elc - East Zone,46.4,68.7,Boston,53.6,0,13.4,2.2,00350005,1995,0,15.6,99.9,0
1974,Elc - North Zone,49,37,Boston,51,0,6,19,00350003,1995,0,37,100.0,1
1975,Elc - West Zone,48,52,Boston,52,0,15.7,1.6,00350006,1995,0,30.7,100.0,0
1976,Elihu Greenwood,49.9,71.4,Boston,50.1,0,7.4,0.8,00350094,1995,0,19,99.9,1.3
1977,Eliot Elementary,43.3,52.9,Boston,56.7,0,24.6,3.8,00350096,1995,0,18.3,100.0,0.4
1978,Ellis Mendell,45.7,61.2,Boston,54.3,0,28.5,1.7,00350100,1995,0,8.6,100.0,0
1979,Emily A Fifield,47.8,88.4,Boston,52.2,0,5.9,1.3,00350102,1995,0,4.1,100.0,0.3
1980,Farragut,51.2,50.8,Boston,48.8,0,19.5,17.6,00350108,1995,0,12.1,100.0,0
1981,Frank V Thompson Middle,43.6,82.7,Boston,56.4,0,5.9,4.5,00350114,1995,0,6.4,100.1,0.6
1982,Franklin D Roosevelt,48,61.4,Boston,52,0,8.8,2.5,00350116,1995,0,26.5,100.0,0.8
1983,George H Conley,45.5,35,Boston,54.5,0,14.8,0.7,00350122,1995,0,48.7,99.9,0.7
1984,Grover Cleveland,45.8,62.6,Boston,54.2,0,21.2,6.7,00350415,1995,0,9.2,100.0,0.3
1985,Harriet A Baldwin,46.5,23.9,Boston,53.5,0,6.4,60.8,00350129,1995,0,8.9,100.0,0
1986,Harvard-Kent,43.2,24.5,Boston,56.8,0,9.5,38.9,00350200,1995,0,26.5,99.9,0.5
1987,Henry Grew,55.7,61.1,Boston,44.3,0,10.1,0.5,00350135,1995,0,26.7,100.0,1.6
1988,Henry L Higginson,46.1,73,Boston,53.9,0,12.6,4.8,00350137,1995,0,7.8,99.9,1.7
1989,Horace Mann,47.7,32,Boston,52.3,0,36.7,7,00350750,1995,0,24.2,99.9,0
1990,Hugh Roe O'Donnell,46.6,15.2,Boston,53.4,0,25.8,18,00350141,1995,0,40.7,100.0,0.3
1991,Hyde Park High School,47.7,71.3,Boston,52.3,0,16.5,1.4,00350550,1995,0,10.8,100.1,0.1
1992,Jackson Mann,48.8,39.6,Boston,51.2,0,13.8,32.1,00350013,1995,0,14.1,99.9,0.3
1993,James A Garfield Elem,52,39.7,Boston,48,0,18.4,14.5,00350152,1995,0,27.1,100.0,0.3
1994,James Condon Elem,47.1,50.1,Boston,52.9,0,10.4,6.4,00350146,1995,0,32.7,100.1,0.5
1995,James J Chittick,46.4,85.5,Boston,53.6,0,3.4,1.1,00350154,1995,0,8.4,100.1,1.7
1996,James M Curley,51.8,54.5,Boston,48.2,0,19.8,1.6,00350384,1995,0,22.8,100.1,1.4
1997,James Otis,48.7,5.9,Boston,51.3,0,56.5,4,00350156,1995,0,33,99.9,0.5
1998,James P Timilty Middle,49.1,46.4,Boston,50.9,0,39.1,3.7,00350485,1995,0,10.3,99.9,0.4
1999,James W Hennigan,50.9,37.3,Boston,49.1,0,43.5,6,00350153,1995,0,11.9,99.9,1.2
2000,Jeremiah E Burke High,45.5,77.3,Boston,54.5,0,10.5,5.1,00350525,1995,0,6.9,100.0,0.2
2001,John D Philbrick,42.9,41.2,Boston,57.1,0,15.3,1.7,00350172,1995,0,40.7,100.0,1.1
2002,John F Kennedy,50.3,20.6,Boston,49.7,0,72.6,0.7,00350166,1995,0,5.5,99.9,0.5
2003,John Marshall,50.1,61.2,Boston,49.9,0,31.6,2.6,00350178,1995,0,3.8,100.0,0.8
2004,John P Holland,51.9,48.5,Boston,48.1,0,27.1,19.7,00350167,1995,0,4.2,100.0,0.5
2005,John W Mccormack,51.8,46.6,Boston,48.2,0,26.1,4.7,00350179,1995,0,22.7,100.1,0
2006,John Winthrop,52.2,67.5,Boston,47.8,0,20.1,4.8,00350180,1995,0,7,100.0,0.6
2007,Joseph H Barnes Middle,48,22.5,Boston,52,0,36.8,10.3,00350405,1995,0,30,100.0,0.4
2008,Joseph J Hurley,45.7,30.4,Boston,54.3,0,64.7,0.3,00350182,1995,0,3.6,100.0,1
