id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
22608,Academy of Public Service,47.6,73.8,Boston,52.4,0.4,21,0.4,00350502,2006,0.4,3.7,100.1,0.4
22609,Agassiz,48.4,17.9,Boston,51.6,0.5,77.6,0.3,00350007,2006,0,3.8,100.1,0
22610,Alexander Hamilton,47.6,32.4,Boston,52.4,1.6,24.3,18.4,00350011,2006,0,22.7,99.9,0.5
22611,Another Course To College,53.8,48.9,Boston,46.2,0,21.1,9,00350541,2006,0,20.2,100.1,0.9
22612,Beethoven,47.2,41.3,Boston,52.8,5.6,22.6,7.3,00350021,2006,0,22.6,100.1,0.7
22613,Blackstone,49,22.5,Boston,51,0.7,70.7,1.5,00350390,2006,0,4.6,100.2,0.2
22614,Blue Hill Ave ECC,52.8,46.2,Boston,47.2,2.5,42.1,5.6,00350010,2006,1,2,99.9,0.5
22615,Boston Adult Academy,49.6,71.9,Boston,50.4,0.4,20.4,4.4,00350548,2006,0,3,100.1,0
22616,Boston Arts Academy,61.7,43.1,Boston,38.3,3.5,29.1,3.5,00350546,2006,0,20.6,100.1,0.3
22617,Boston Community Leadership Academy,57.9,62.8,Boston,42.1,0.3,26,1.5,00350558,2006,0,9.4,100.0,0
22618,Boston International  High School,56.4,23,Boston,43.6,0.6,66.7,3,00350507,2006,0,6.7,100.0,0
22619,Boston Latin,55.4,9.4,Boston,44.6,1.6,6.7,28.4,00350560,2006,0,53.7,100.0,0.2
22620,Boston Latin Academy,58.2,26.5,Boston,41.8,1.6,14.6,21,00350545,2006,0,36,100.1,0.4
22621,Boston Middle School Academy,19.2,80.8,Boston,80.8,0,11.5,7.7,00350413,2006,0,0,100.0,0
22622,Brighton High,53.8,45.5,Boston,46.2,0.6,42.5,5.5,00350505,2006,0,5.7,100.0,0.2
22623,Brook Farm Business and Service Career Academy,42.7,47.5,Boston,57.3,0.6,37.9,1.2,00350576,2006,0,12.8,100.0,0
22624,Carter Develop Day Care,36,36,Boston,64,0,52,0,00350036,2006,0,12,100.0,0
22625,Charles H Taylor,47.2,88.7,Boston,52.8,0.6,5.8,2.6,00350054,2006,0,1,99.9,1.2
22626,Charles Sumner,46.7,29.2,Boston,53.3,1.4,59.4,0.8,00350052,2006,0,9.2,100.0,0
22627,Charlestown High,47.5,50.2,Boston,52.5,0.2,26.2,16.6,00350515,2006,0.2,6.5,100.0,0.1
22628,Clarence R Edwards Middle,49.3,30.3,Boston,50.7,1.6,43.4,11.3,00350430,2006,0,12.9,100.0,0.5
22629,Community Academy,32.7,69.1,Boston,67.3,0,23.6,3.6,00350518,2006,0,1.8,99.9,1.8
22630,Community Academy of Science and Health,64.1,77,Boston,35.9,0.5,18.3,0.2,00350581,2006,0,3.5,100.0,0.5
22631,Curtis Guild,48.9,3,Boston,51.1,0.8,74.7,4.2,00350062,2006,0,16.5,100.0,0.8
22632,Dante Alighieri,47.4,7,Boston,52.6,1.8,64.9,1.8,00350066,2006,0.9,22.8,100.1,0.9
