id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
24557,Henry L Higginson,50,68.4,Boston,50,0.7,28.3,0,00350137,2007,0,2,100.1,0.7
24558,Horace Mann School For The Deaf,48.1,29.3,Boston,51.9,2.3,43.6,6.8,00350750,2007,0,17.3,100.1,0.8
24559,Hugh Roe O'Donnell,48.9,3.4,Boston,51.1,1.3,69.6,5.1,00350141,2007,0,20.7,100.1,0
24560,Jackson Mann,46.8,34.9,Boston,53.2,1.6,34.4,11.6,00350013,2007,0,17.1,100.1,0.5
24561,James A Garfield Elem,47,40.1,Boston,53,4,36.1,8.4,00350152,2007,0,11.4,100.0,0
24562,James Condon Elem,50.3,39.2,Boston,49.7,1.8,27.1,11.4,00350146,2007,0.8,19.3,100.1,0.5
24563,James J Chittick,46.2,75.8,Boston,53.8,1.5,18.8,0.4,00350154,2007,0,3.1,100.0,0.4
24564,James M Curley,48.4,31.5,Boston,51.6,1.1,40.1,3.9,00350384,2007,0,22.9,99.9,0.4
24565,James Otis,54.5,3.8,Boston,45.5,0.8,68.8,1.1,00350156,2007,0,25.2,100.1,0.4
24566,James P Timilty Middle,50.7,49.5,Boston,49.3,1.9,42.7,2.7,00350485,2007,0.2,2.2,100.1,0.9
24567,James W Hennigan,51.6,27.2,Boston,48.4,0.6,58.7,3.4,00350153,2007,0.2,9.7,100.0,0.2
24568,Jeremiah E Burke High,46.8,74.6,Boston,53.2,0.7,19.9,1.9,00350525,2007,0.4,2.3,100.1,0.3
24569,John D Philbrick,41,40.3,Boston,59,0.7,38.2,2.1,00350172,2007,0,18.1,100.1,0.7
24570,John F Kennedy,45.8,20.1,Boston,54.2,0,77.4,0.3,00350166,2007,0,2.3,100.1,0
24571,John Marshall,49.4,56.3,Boston,50.6,1,37.6,2,00350178,2007,0,1.3,99.9,1.7
24572,John P Holland,47.2,50,Boston,52.8,0.6,30.6,16.3,00350167,2007,0.1,1.9,99.9,0.4
24573,John W Mccormack,47.7,37.2,Boston,52.3,2.1,34.7,15.9,00350179,2007,0,9.6,100.1,0.6
24574,John Winthrop,47.2,64.1,Boston,52.8,2,30.2,0,00350180,2007,0,2,100.0,1.7
24575,Joseph J Hurley,49.3,23.9,Boston,50.7,1.8,63,1.8,00350182,2007,0,8.8,100.0,0.7
24576,Joseph Lee,44.9,75.5,Boston,55.1,0.8,16,3,00350183,2007,0,4.1,100.0,0.6
24577,Joseph P Manning,43.8,17.6,Boston,56.2,1.3,22.9,7.2,00350184,2007,0,51,100.0,0
24578,Joseph P Tynan,45.9,44.1,Boston,54.1,2.1,18.9,4.8,00350181,2007,0,28.8,99.9,1.2
24579,Josiah Quincy,49.9,11,Boston,50.1,1,11.1,69.4,00350286,2007,0.1,7.3,99.9,0
24580,Joyce Kilmer,46.3,10.9,Boston,53.7,3.5,16.8,9.1,00350190,2007,0,59.6,99.9,0
24581,Lee Academy,48.1,63.4,Boston,51.9,3.8,19.7,6.6,00350001,2007,0,6.6,100.1,0
24582,Lewis Middle School,38.5,59.5,Boston,61.5,0.4,35.9,0.4,00350455,2007,0,2.7,100.0,1.1
24583,Lilla G. Frederick Middle School,51.3,59.7,Boston,48.8,0.6,36.4,1.1,00350383,2007,0,1.9,100.0,0.3
24584,Lucy Stone,54.5,81.1,Boston,45.5,2.1,14.7,1.4,00350211,2007,0,0.7,100.0,0
24585,Lyndon,47.3,9.8,Boston,52.7,1,31.2,1.7,00350262,2007,0,56.3,100.0,0
24586,Madison Park High,47.6,48.9,Boston,52.4,0.6,44.7,0.9,00350537,2007,0.1,4.6,100.1,0.3
24587,Manassah E Bradley,47.3,5,Boston,52.7,3.3,51,4.6,00350215,2007,0,35.6,99.9,0.4
24588,Martin Luther King Jr Mid,41.6,62.9,Boston,58.4,1.1,31.1,1.5,00350410,2007,0,2.6,99.9,0.7
24589,Mary E Curley Middle,49.2,24.5,Boston,50.8,1.2,66.3,1.8,00350420,2007,0,5.7,100.0,0.5
24590,Mary Lyon,37.4,18.3,Boston,62.6,3.5,29.6,8.7,00350004,2007,0,40,100.1,0
24591,Mather,46.5,48,Boston,53.5,2.4,16.1,29.9,00350227,2007,0.2,3,100.2,0.6
24592,Mattahunt,41.7,75.5,Boston,58.3,1.5,19.4,0.4,00350226,2007,0,2.6,100.0,0.6
24593,Maurice J Tobin,52.7,26.2,Boston,47.3,1.3,68.6,0.8,00350229,2007,0.3,2.3,100.0,0.5
24594,Media Communications Technology High School,40.9,56.1,Boston,59.1,1.4,30,1.4,00350578,2007,0,10.6,100.0,0.5
24595,Michael J Perkins,44.3,48.4,Boston,55.7,3.2,22.2,5.9,00350231,2007,0,19.5,100.1,0.9
24596,Mildred Avenue Middle School,46.1,76.9,Boston,53.9,0.3,18.5,1,00350381,2007,0.2,2.4,100.0,0.7
24597,Mission Hill School,52.1,50.9,Boston,47.9,4.2,21.8,1.8,00350382,2007,0,20.6,99.9,0.6
24598,Monument High School,50.7,47.4,Boston,49.3,0.3,24.5,5.5,00350538,2007,0,21.5,100.0,0.8
24599,Mozart,48.6,29.9,Boston,51.4,1.4,25,5.6,00350237,2007,0,37.5,100.1,0.7
24600,Nathan Hale,52.7,71,Boston,47.3,1.2,26,0,00350243,2007,0,1.8,100.0,0
24601,New Mission High School,51.5,63.1,Boston,48.5,0,31.5,2.3,00350542,2007,0,2.3,100.0,0.8
24602,Noonan Business Academy,45.8,71.9,Boston,54.2,0.8,24.6,1.5,00350524,2007,0,0.8,100.0,0.4
24603,O W Holmes,42.6,71.6,Boston,57.4,1.6,22.6,0.5,00350138,2007,0.5,3.2,100.0,0
24604,O'Bryant Sch Math/Science,59.7,43.4,Boston,40.3,0.8,22.3,22.2,00350575,2007,0,11,99.9,0.2
24605,Odyssey High School,49.6,49,Boston,50.4,1.1,23.8,5,00350577,2007,0,20.8,100.0,0.3
24606,Oliver Hazard Perry,48.5,15.8,Boston,51.5,2,18.3,4,00350255,2007,0,58.4,100.0,1.5
24607,Orchard Gardens,48.9,37.9,Boston,51.1,1,57.9,0.3,00350257,2007,0.2,2.5,100.1,0.3
24608,Parkway Academy Of Technology And Health,59.5,52.8,Boston,40.5,0.6,35,1.2,00350574,2007,0,9.8,100.0,0.6
24609,Patrick F Gavin Middle,48.2,53,Boston,51.8,0.6,22.9,9.1,00350435,2007,0,13.6,100.0,0.8
24610,Patrick J Kennedy,49.1,6.8,Boston,50.9,0,71.8,2.3,00350264,2007,0,19.1,100.0,0
24611,Patrick O'Hearn,51.3,41.9,Boston,48.7,5.1,8.1,9,00350266,2007,0.4,30.3,99.9,5.1
24612,Paul A Dever,47.2,38.6,Boston,52.8,1.5,49.7,5.1,00350268,2007,0,4.9,100.0,0.2
24613,Pauline Agassiz Shaw,45.3,86,Boston,54.7,0.8,11.7,0.4,00350270,2007,0,0.8,100.1,0.4
24614,Phineas Bates,50.4,52.9,Boston,49.6,1.8,28.2,4.3,00350278,2007,0,12.9,100.1,0
24615,Quincy E Dickerman,46.8,70.7,Boston,53.2,1,25.4,0,00350284,2007,0,2.9,100.0,0
24616,Quincy Upper School,44.9,26,Boston,55.1,1,10.7,57.4,00350565,2007,0,4.1,100.0,0.8
24617,Rafael Hernandez,53.9,5,Boston,46.1,0.7,86.8,0,00350691,2007,0,7.2,99.9,0.2
24618,Ralph Waldo Emerson,45.3,75.5,Boston,54.7,1.9,16,1.9,00350288,2007,0.9,3.3,100.0,0.5
24619,Richard J Murphy,42,31.9,Boston,58,1.3,8.4,23.3,00350240,2007,0,34,100.0,1.1
24620,Roger Clap,46.2,27.6,Boston,53.8,0.7,22.1,7.6,00350298,2007,0,40.7,100.1,1.4
24621,Samuel Adams,38.2,8.6,Boston,61.8,3.6,55.9,4.5,00350302,2007,0,26.4,99.9,0.9
24622,Samuel W Mason,50.2,62.2,Boston,49.8,3.7,24,0.5,00350304,2007,0.5,9.2,100.1,0
24623,Sarah Greenwood,51.4,31.5,Boston,48.6,0.8,66,0.3,00350308,2007,0.3,1.1,100.0,0
24624,Snowden Int'L High,58.2,44.7,Boston,41.8,1.2,36.6,11.6,00350690,2007,0,5.4,100.0,0.5
24625,Social Justice Academy,56.9,60.8,Boston,43.1,0.9,33.6,0.6,00350583,2007,0,3.8,100.0,0.3
24626,Solomon Lewenberg Middle,41.6,71.6,Boston,58.4,0.9,23.6,0.7,00350450,2007,0.2,2.8,99.8,0
24627,Tech Boston Academy,33.1,53.3,Boston,66.9,0.8,29.4,7.5,00350539,2007,0,8.9,99.9,0
24628,The Engineering School,24.6,53.2,Boston,75.4,0.3,38.4,0.9,00350582,2007,0.3,6.6,100.0,0.3
24629,The English High,45,41.3,Boston,55,0.7,51.4,1.7,00350535,2007,0.1,4.5,100.0,0.3
24630,Thomas A Edison Jr High,45.3,27.5,Boston,54.7,0.4,47.1,13.4,00350425,2007,0,10.4,100.0,1.2
24631,Thomas Gardner,46.5,17.9,Boston,53.5,1.6,59.1,12.9,00350326,2007,0,8.2,100.0,0.3
24632,Thomas J Kenny,41.7,57.3,Boston,58.3,2.4,15.5,14.1,00350328,2007,0,9.7,100.0,1
24633,Umana/Barnes Middle,46.4,10.9,Boston,53.6,0.6,63.2,3.4,00350405,2007,0,21.4,100.0,0.5
24634,Urban Science Academy,38.8,45.3,Boston,61.2,0.9,34.8,2.8,00350579,2007,0,16.1,99.9,0
24635,Warren-Prescott,46.5,16.9,Boston,53.5,0.5,27.6,1.7,00350346,2007,0,53.3,100.0,0
24636,Washington Irving Middle,48,38.8,Boston,52,1,42.3,3.2,00350445,2007,0,14.3,100.0,0.4
24637,William E Russell,49.2,29.9,Boston,50.8,2.1,53.5,7.3,00350366,2007,0.3,6.9,100.0,0
24638,William Ellery Channing,49.5,70.3,Boston,50.5,1.2,22.3,0,00350360,2007,0,6.2,100.0,0
24639,William H Ohrenberger,46.9,30.6,Boston,53.1,2.6,50.7,3.3,00350258,2007,0.2,11.6,99.9,0.9
24640,William Mckinley,20.7,63.3,Boston,79.3,2,22.3,0,00350363,2007,0,11.8,100.1,0.7
24641,William Monroe Trotter,49.6,73.5,Boston,50.4,1.5,20.8,0.4,00350370,2007,0.2,2.2,99.9,1.3
24642,Winship Elementary,45.9,24.2,Boston,54.1,2.4,41.1,16.4,00350374,2007,0,15.5,100.1,0.5
24643,Wm B Rogers Middle,43,56.8,Boston,57,1.6,23.8,9.3,00350470,2007,0.2,7.6,100.1,0.8
24644,Woodrow Wilson Middle,40.9,71.4,Boston,59.1,1.4,20,1.9,00350490,2007,0.2,3.8,99.9,1.2
24645,Young Achievers,45.4,61,Boston,54.6,3.8,28.4,1.3,00350380,2007,0,5.1,99.9,0.3
