id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
24507,Academy Of Public Service,51.4,66.4,Boston,48.6,0.4,28.1,0.8,00350502,2007,0,4.3,100.0,0
24508,Agassiz,49.4,18.7,Boston,50.6,1.4,74.8,0.3,00350007,2007,0,4.8,100.0,0
24509,Alexander Hamilton,48.5,31.4,Boston,51.5,3,30.8,16.6,00350011,2007,0,17.8,100.2,0.6
24510,Another Course To College,52.6,46,Boston,47.4,0.9,28.4,7.4,00350541,2007,0,16.3,99.9,0.9
24511,Baldwin Elc,53.1,25.4,Boston,46.9,2.3,23.7,21.5,00350003,2007,0,26.6,100.1,0.6
24512,Beethoven,50.2,36.8,Boston,49.8,5.4,29.2,6.1,00350021,2007,0,20.9,99.8,1.4
24513,Blackstone,53,20,Boston,47,1,74.8,1,00350390,2007,0,3,100.0,0.2
24514,Boston Adult Academy,49.3,59.6,Boston,50.7,0,29.6,9.3,00350548,2007,0,1.5,100.0,0
24515,Boston Arts Academy,62,43.9,Boston,38,4.2,31.6,3.9,00350546,2007,0,16.2,100.0,0.2
24516,Boston Community Leadership Academy,59.3,57,Boston,40.7,1,32.6,1.5,00350558,2007,0.3,7.6,100.0,0
24517,Boston International  High School,53.4,22.6,Boston,46.6,2.7,63.7,3.4,00350507,2007,0,7.5,99.9,0
24518,Boston Latin,55.6,10.7,Boston,44.4,1.6,7.3,27.6,00350560,2007,0,52.6,100.0,0.2
24519,Boston Latin Academy,57.6,26.9,Boston,42.4,1.8,15.2,20.6,00350545,2007,0.1,34.8,100.1,0.7
24520,Boston Middle School Academy,44.4,77.8,Boston,55.6,0,22.2,0,00350413,2007,0,0,100.0,0
24521,Brighton High,52.3,42,Boston,47.7,0.9,46.2,5.1,00350505,2007,0.1,5.3,100.0,0.4
24522,Brook Farm Business And Service Career Academy,44,42.3,Boston,56,0.6,42.9,1.1,00350576,2007,0,12.9,100.1,0.3
24523,Carter Develop Day Care,33.3,38.1,Boston,66.7,0,42.9,9.5,00350036,2007,0,9.5,100.0,0
24524,Charles H Taylor,48.2,84.7,Boston,51.8,0.4,10.4,2.2,00350054,2007,0,0.8,99.9,1.4
24525,Charles Sumner,45.9,24.5,Boston,54.1,1.8,64.1,1.8,00350052,2007,0,7.6,100.0,0.2
24526,Charlestown High,47.4,46.6,Boston,52.6,0.6,27,19.6,00350515,2007,0,6,100.0,0.2
24527,Clarence R Edwards Middle,45.3,32.4,Boston,54.7,1.1,41.6,16.1,00350430,2007,0,8.7,100.2,0.3
24528,Community Academy,40.8,77.6,Boston,59.2,0,18.4,1.3,00350518,2007,0,2.6,99.9,0
24529,Community Academy Of Science And Health,64.4,78.6,Boston,35.6,0.3,18.4,0,00350581,2007,0,2.5,100.1,0.3
24530,Curtis Guild,51.2,4.7,Boston,48.8,0.4,75.8,2.7,00350062,2007,0,16,100.0,0.4
24531,Dante Alighieri,49.2,7.5,Boston,50.8,1.7,65.8,1.7,00350066,2007,0,23.3,100.0,0
24532,David A Ellis,52.3,42.8,Boston,47.7,1.1,53.7,0.4,00350072,2007,0,1.8,100.2,0.4
24533,Dearborn,46.6,61,Boston,53.4,1.1,32.5,2.7,00350074,2007,0,2.2,100.0,0.5
24534,Dennis C Haley,46.8,55.6,Boston,53.2,2,29,1.7,00350077,2007,0,11.6,99.9,0
24535,Donald Mckay,48.4,1.9,Boston,51.6,0.3,90,0.9,00350080,2007,0,6.9,100.0,0
24536,Dr. Catherine Ellison-Rosa Parks Early Ed School,50.8,53.9,Boston,49.2,3.7,34.6,5.8,00350008,2007,0,2.1,100.1,0
24537,East Boston Ecc,43.4,4.6,Boston,56.6,0,77.5,4,00350009,2007,0,13.9,100.0,0
24538,East Boston High,46.2,19.2,Boston,53.8,0.8,57.8,1.8,00350530,2007,0.1,19.9,100.0,0.4
24539,Edward Everett,49.8,49.1,Boston,50.2,1.9,19.1,16.9,00350088,2007,0.4,12.4,100.2,0.4
24540,Egleston Comm High School,62.4,43.5,Boston,37.6,0,50.6,1.2,00350543,2007,0,2.4,100.1,2.4
24541,Elc - East Zone,43.4,71.3,Boston,56.6,1.6,23,1.6,00350005,2007,0,1.6,99.9,0.8
24542,Elc - West Zone,47.1,28.4,Boston,52.9,1,42.2,4.9,00350006,2007,0,23.5,100.0,0
24543,Elihu Greenwood,51.1,64.4,Boston,48.9,0.8,31.3,0.5,00350094,2007,0,2.1,99.9,0.8
24544,Eliot Elementary,47.2,25,Boston,52.8,3.9,40,1.1,00350096,2007,0,30,100.0,0
24545,Ellis Mendell,44.6,42.8,Boston,55.4,0.6,50.6,1.2,00350100,2007,0,3.6,100.0,1.2
24546,Emily A Fifield,50.2,80.7,Boston,49.8,3.3,11.6,1.3,00350102,2007,0,3,99.9,0
24547,Excel High School,42.9,36.5,Boston,57.1,0.8,20.4,20.6,00350522,2007,0,21.2,100.0,0.5
24548,Farragut,44.8,43.1,Boston,55.2,2.2,41.8,8.2,00350108,2007,0,3,100.0,1.7
24549,Fenway High School,58.3,44.1,Boston,41.7,1.4,35.9,2,00350540,2007,0.3,14.9,100.0,1.4
24550,Franklin D Roosevelt,48.6,39.7,Boston,51.4,0.8,28,1.2,00350116,2007,0,30,100.1,0.4
24551,George H Conley,42.7,45.3,Boston,57.3,2.1,30.7,1,00350122,2007,0,20.8,99.9,0
24552,Grover Cleveland,44.6,58.2,Boston,55.4,1.6,25,6.5,00350415,2007,1.6,7.1,100.0,0
24553,Harbor School,46.7,65.9,Boston,53.3,1.6,16.5,5.5,00350426,2007,0,10.2,100.1,0.4
24554,Harvard-Kent,45.7,20.6,Boston,54.3,0.9,31.8,33.6,00350200,2007,0,12.3,99.9,0.7
24555,Haynes Early Education Center,52.4,41.6,Boston,47.6,2.7,47,4.9,00350010,2007,0.5,3.2,99.9,0
24556,Henry Grew,49.8,50.2,Boston,50.2,1.6,33.6,2,00350135,2007,0,11.7,99.9,0.8
