id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
3782,Elc - North Zone,46.2,39.8,Boston,53.8,0,8.6,18.3,00350003,1996,0,32.3,100.1,1.1
3783,Elc - West Zone,52,49.6,Boston,48,0,19.7,0.8,00350006,1996,0,29.9,100.0,0
3784,Elihu Greenwood,48.9,71.9,Boston,51.1,0,7.5,1.3,00350094,1996,0,18.4,100.0,0.9
3785,Eliot Elementary,47.8,50.6,Boston,52.2,0,25.1,4.7,00350096,1996,0,19.6,100.0,0
3786,Ellis Mendell,46.5,56.5,Boston,53.5,0,34.3,0.4,00350100,1996,0,8.3,99.9,0.4
3787,Emily A Fifield,51,85.6,Boston,49,0,7.8,2.9,00350102,1996,0,2.9,99.9,0.7
3788,Farragut,52.8,53.9,Boston,47.2,0,17.6,19.9,00350108,1996,0,8.2,100.0,0.4
3789,Fenway Middle College,61.1,58.1,Boston,38.9,0,19.2,3,00350540,1996,0,19.7,100.0,0
3790,Frank V Thompson Middle,45.8,77.8,Boston,54.2,0,9.6,4.4,00350114,1996,0,7.6,99.9,0.5
3791,Franklin D Roosevelt,53.8,64.6,Boston,46.2,0,6.8,2.5,00350116,1996,0,25.8,100.0,0.3
3792,George H Conley,42.9,38.9,Boston,57.1,0,16.8,0.7,00350122,1996,0,43.6,100.0,0
3793,Grover Cleveland,49.6,67.7,Boston,50.4,0,18.9,4.7,00350415,1996,0,8.2,100.1,0.6
3794,Harriet A Baldwin,45.4,19.2,Boston,54.6,0,5.8,67.4,00350129,1996,0,7.6,100.0,0
3795,Harvard-Kent,46.2,25.2,Boston,53.8,0,13.7,33.7,00350200,1996,0,26.6,99.9,0.7
3796,Henry Grew,52.2,64.3,Boston,47.8,0,10.8,1,00350135,1996,0,22.8,99.9,1
3797,Henry L Higginson,46.7,73.6,Boston,53.3,0,15.1,4.7,00350137,1996,0,5.2,100.0,1.4
3798,Horace Mann,50.7,37.3,Boston,49.3,0,37.3,5.2,00350750,1996,0,20.1,99.9,0
3799,Hugh Roe O'Donnell,51.2,15.2,Boston,48.8,0,28.5,18.6,00350141,1996,0,37.4,100.0,0.3
3800,Hyde Park High School,46.6,72.2,Boston,53.4,0,18.8,1.3,00350550,1996,0,7.5,99.9,0.1
3801,Jackson Mann,46.5,41.4,Boston,53.5,0,15.8,29,00350013,1996,0,13.6,100.1,0.3
3802,James A Garfield Elem,51.7,40.9,Boston,48.3,0,14.1,14.9,00350152,1996,0,30.1,100.0,0
3803,James Condon Elem,47.3,52.3,Boston,52.7,0,10.5,8,00350146,1996,0,28.6,100.0,0.6
3804,James J Chittick,48,83.9,Boston,52,0,4.7,1.5,00350154,1996,0,8.7,100.0,1.2
3805,James M Curley,51.9,56.5,Boston,48.1,0,21.7,2.6,00350384,1996,0,18.6,100.0,0.6
3806,James Otis,48.9,3.4,Boston,51.1,0,59,3.4,00350156,1996,0,34.2,100.0,0
3807,James P Timilty Middle,51.6,43.2,Boston,48.4,0,41.3,4.8,00350485,1996,0,10.1,100.0,0.6
3808,James W Hennigan,51.7,33.5,Boston,48.3,0,49.2,5.3,00350153,1996,0,11.2,100.0,0.8
3809,Jeremiah E Burke High,48.9,84.6,Boston,51.1,0,8.4,3.5,00350525,1996,0,3.1,100.0,0.4
3810,John D Philbrick,45.5,41.2,Boston,54.5,0,18.8,3,00350172,1996,0,36.4,100.0,0.6
3811,John F Kennedy,52.8,22.7,Boston,47.2,0,73.4,0.5,00350166,1996,0,3.1,100.0,0.3
3812,John Marshall,49.7,62.6,Boston,50.3,0,29.9,2.5,00350178,1996,0,4,100.0,1
3813,John P Holland,49.5,48.6,Boston,50.5,0,28.9,18.7,00350167,1996,0,3.4,99.9,0.3
3814,John W Mccormack,50,45.2,Boston,50,0,28.8,5.5,00350179,1996,0,20.4,100.0,0.1
3815,John Winthrop,48.6,70,Boston,51.4,0,19.6,2.4,00350180,1996,0,8,100.0,0
3816,Joseph H Barnes Middle,48.3,20.9,Boston,51.7,0,38.7,9.7,00350405,1996,0,30.4,99.9,0.2
3817,Joseph J Hurley,48.1,29.7,Boston,51.9,0,68.3,0.3,00350182,1996,0,1.1,100.0,0.6
3818,Joseph Lee,43,79.5,Boston,57,0,7.7,2.1,00350183,1996,0,9.9,99.9,0.7
3819,Joseph P Manning,42.3,49.7,Boston,57.7,0,19.6,1.1,00350184,1996,0,28,100.0,1.6
3820,Joseph P Tynan,46.3,63.1,Boston,53.7,0,5.6,3.9,00350181,1996,0,27.2,100.0,0.2
3821,Josiah Quincy,49.7,23.1,Boston,50.3,0,5.1,61.2,00350286,1996,0,10.6,100.0,0
3822,Joyce Kilmer,50.7,30.6,Boston,49.3,0,8.4,14,00350190,1996,0,46.2,100.0,0.8
3823,Lewis Middle School,44,73.7,Boston,56,0,19,0.3,00350455,1996,0,6.4,100.0,0.6
3824,Lucy Stone,47.8,78,Boston,52.2,0,9,2,00350211,1996,0,10.6,100.0,0.4
3825,Lyndon,53.3,30.5,Boston,46.7,0,38.1,0.5,00350262,1996,0,30.5,100.1,0.5
3826,Madison Park High,46.5,56.6,Boston,53.5,0,30.5,4.6,00350537,1996,0,7.9,99.9,0.3
3827,Manassah E Bradley,49.9,23.6,Boston,50.1,0,13.3,7.4,00350215,1996,0,55.2,100.1,0.6
3828,Margaret Fuller,50,56.2,Boston,50,0,26.6,2.2,00350217,1996,0,15,100.0,0
3829,Martin Luther King Jr Mid,54.4,42,Boston,45.6,0,47.1,4.4,00350410,1996,0,6.1,100.0,0.4
3830,Mary E Curley Middle,50.1,33.2,Boston,49.9,0,58.9,1.7,00350420,1996,0,6,99.9,0.1
3831,Mary Lyon,34.6,39.7,Boston,65.4,0,11.5,17.9,00350004,1996,0,30.8,99.9,0
3832,Mather,49.4,46.7,Boston,50.6,0,4.4,34.5,00350227,1996,0,13.9,100.0,0.5
3833,Mattahunt,45,66.6,Boston,55,0,23.6,0.2,00350226,1996,0,9.3,99.9,0.2
3834,Maurice J Tobin,49.3,30.2,Boston,50.7,0,65.4,0.7,00350229,1996,0,3.7,100.0,0
3835,Michael J Perkins,51.2,41.6,Boston,48.8,0,6.5,11.6,00350231,1996,0,39.9,99.9,0.3
3836,Mozart,47.5,50.5,Boston,52.5,0,20.3,0,00350237,1996,0,28.7,100.0,0.5
3837,Multicultural Middle Coll,70,60,Boston,30,0,35,0,00350542,1996,0,5,100.0,0
3838,Nathan Hale,49.4,90,Boston,50.6,0,8.2,0.6,00350243,1996,0,1.2,100.0,0
3839,O W Holmes,44.1,79.5,Boston,55.9,0,6.8,3.6,00350138,1996,0,9.5,99.9,0.5
3840,O'Bryant Sch Math/Science,57.4,48.7,Boston,42.6,0,13.4,28.1,00350575,1996,0,9.5,100.0,0.3
3841,Oliver Hazard Perry,48.5,37.4,Boston,51.5,0,12.1,10.7,00350255,1996,0,38.8,100.0,1
3842,Patrick F Gavin Middle,49.3,48.1,Boston,50.7,0,9.6,13.8,00350435,1996,0,27.5,100.0,1
3843,Patrick J Kennedy,50.2,16.7,Boston,49.8,0,26,7.7,00350264,1996,0,48.6,100.0,1
3844,Patrick O'Hearn,43.9,57.5,Boston,56.1,0,2.7,5.4,00350266,1996,0,33.5,100.0,0.9
3845,Paul A Dever,44.3,39.9,Boston,55.7,0,34.6,5.8,00350268,1996,0,17.7,100.0,2
3846,Pauline Agassiz Shaw,45.1,89.7,Boston,54.9,0,4.5,1.9,00350270,1996,0,3.1,100.0,0.8
3847,Phineas Bates,54,51.6,Boston,46,0,20.6,3.8,00350278,1996,0,23.6,99.9,0.3
3848,Phyllis Wheatley Middle,50.5,78.4,Boston,49.5,0,17.7,0.7,00350139,1996,0,2.8,100.0,0.4
3849,Quincy E Dickerman,51.2,86.7,Boston,48.8,0,11.8,0,00350284,1996,0,0.6,100.0,0.9
3850,Rafael Hernandez,51.8,24.9,Boston,48.2,0,59.4,0,00350691,1996,0,15.7,100.0,0
3851,Ralph Waldo Emerson,55.6,86.4,Boston,44.4,0,8.6,0,00350288,1996,0,3.7,99.9,1.2
3852,Richard J Murphy,47.8,67,Boston,52.2,0,4.3,4.8,00350240,1996,0,23.3,99.9,0.5
3853,Robert Gould Shaw Middle,43.4,52.9,Boston,56.6,0,20.2,3.4,00350475,1996,0,22.9,100.0,0.6
3854,Roger Clap,43.8,42.9,Boston,56.3,0,8.8,16.7,00350298,1996,0,30.4,100.1,1.3
3855,Samuel Adams,41.4,31.6,Boston,58.6,0,17.2,5.2,00350302,1996,0,45.4,100.0,0.6
3856,Samuel W Mason,44.8,62.9,Boston,55.2,0,16.2,3.5,00350304,1996,0,15.1,100.0,2.3
3857,Sarah Greenwood,50.3,46.4,Boston,49.7,0,52.7,0,00350308,1996,0,0.9,100.0,0
3858,Snowden Int'L High,58.4,57,Boston,41.6,0,17.5,9.9,00350690,1996,0,15.4,100.0,0.2
3859,Solomon Lewenberg Middle,43.5,77.9,Boston,56.5,0,6.8,3.7,00350450,1996,0,10.9,100.0,0.7
3860,South Boston High,41.8,42.8,Boston,58.2,0,16.2,16.5,00350570,1996,0,23.8,100.1,0.8
3861,The English High,50.7,46.6,Boston,49.3,0,40,2.2,00350535,1996,0,10.9,99.9,0.2
3862,Thomas A Edison Jr High,47.5,26.1,Boston,52.5,0,48.5,15.1,00350425,1996,0,10.2,100.1,0.2
3863,Thomas Gardner,46.4,24.3,Boston,53.6,0,43.8,13.3,00350326,1996,0,18.6,100.0,0
3864,Thomas J Kenny,54.7,63.1,Boston,45.3,0,2.3,4.4,00350328,1996,0,29.7,100.0,0.5
3865,Warren-Prescott,51.1,40.9,Boston,48.9,0,15.7,8.6,00350346,1996,0,34.8,100.0,0
3866,Washington Irving Middle,48.8,39,Boston,51.2,0,35.6,4.3,00350445,1996,0,20.8,100.1,0.4
3867,West Roxbury Sch,45,63,Boston,55,0,19.8,1.4,00350573,1996,0,15.4,100.1,0.5
3868,William E Russell,51.9,39.7,Boston,48.1,0,39,3.7,00350366,1996,0,17.1,100.0,0.5
3869,William Ellery Channing,52.7,67.1,Boston,47.3,0,7.8,2.3,00350360,1996,0,22.1,100.0,0.7
3870,William H Ohrenberger,50.7,30.4,Boston,49.3,0,50.3,3.5,00350258,1996,0,15.2,100.0,0.6
3871,William H Taft Middle,46.7,40.5,Boston,53.3,0,19.6,24.8,00350480,1996,0,14.7,100.0,0.4
3872,William Mckinley,20,65.4,Boston,80,0,19.4,0.2,00350363,1996,0,14.6,100.1,0.5
3873,William Monroe Trotter,48.4,81.2,Boston,51.6,0,7.1,0.6,00350370,1996,0,10.6,100.0,0.5
3874,Winship Elementary,46.3,15.7,Boston,53.7,0,62,6,00350374,1996,0,16,100.0,0.3
3875,Wm B Rogers Middle,43.2,55.6,Boston,56.8,0,8.4,19,00350470,1996,0,15.8,100.0,1.2
3876,Wm E Endicott,48.6,83.7,Boston,51.4,0,9.6,1.4,00350362,1996,0,5.3,100.0,0
3877,Woodrow Wilson Middle,46.2,82.1,Boston,53.8,0,5.9,4.9,00350490,1996,0,6.8,100.0,0.3
3878,Young Achievers,47.9,62.3,Boston,52.1,0,13,2.1,00350380,1996,0,20.5,100.0,2.1
