id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
3757,Agassiz,50.5,23.8,Boston,49.5,0,66.3,1.2,00350007,1996,0,8.2,99.8,0.3
3758,Alexander Hamilton,43.8,38,Boston,56.2,0,12.4,33.1,00350011,1996,0,16.5,100.0,0
3759,Another Course To College,56.2,50.5,Boston,43.8,0,6.7,5.7,00350541,1996,0,37.1,100.0,0
3760,Beethoven,42.6,44.5,Boston,57.4,0,14.1,4.3,00350021,1996,0,36.8,100.0,0.3
3761,Blackstone,48.7,27.1,Boston,51.3,0,67.5,1.1,00350390,1996,0,4,99.9,0.2
3762,Boston High School,52.4,54,Boston,47.6,0,28.2,2.9,00350650,1996,0,14.4,99.9,0.4
3763,Boston Latin,54.2,21.6,Boston,45.8,0,11,16.9,00350560,1996,0,50.4,100.0,0.1
3764,Boston Latin Academy,56.3,32.2,Boston,43.7,0,7.1,19,00350545,1996,0,41.3,100.0,0.4
3765,Brighton High,50.2,46.4,Boston,49.8,0,31.6,14.9,00350505,1996,0,6.9,100.0,0.2
3766,Carter Develop Day Care,41.2,47.1,Boston,58.8,0,29.4,5.9,00350036,1996,0,17.6,100.0,0
3767,Charles H Taylor,50.7,89,Boston,49.3,0,3.2,1.4,00350054,1996,0,6.4,100.2,0.2
3768,Charles Sumner,44.8,32.2,Boston,55.2,0,43.6,2.5,00350052,1996,0,21.6,100.1,0.2
3769,Charlestown High,44.7,34.1,Boston,55.3,0,26.7,24.2,00350515,1996,0,14.5,99.9,0.4
3770,Clarence R Edwards Middle,46.1,37.6,Boston,53.9,0,19.7,20.7,00350430,1996,0,21.8,100.0,0.2
3771,Curtis Guild,47.7,21.1,Boston,52.3,0,8.9,32.1,00350062,1996,0,37.6,100.1,0.4
3772,Dante Alighieri,48.9,20.7,Boston,51.1,0,33.2,9.2,00350066,1996,0,37,100.1,0
3773,David A Ellis,51.8,43.5,Boston,48.2,0,54.6,0.2,00350072,1996,0,1.7,100.0,0
3774,Dearborn,44.9,74.2,Boston,55.1,0,19.4,3,00350074,1996,0,3.2,100.0,0.2
3775,Dennis C Haley,50.5,74,Boston,49.5,0,14.9,0.4,00350077,1996,0,10,100.0,0.7
3776,Donald Mckay,46.6,15.8,Boston,53.4,0,64.6,1.1,00350080,1996,0,18.3,100.0,0.2
3777,Dorchester High,48.4,59.6,Boston,51.6,0,30.2,3.2,00350520,1996,0,6.7,100.1,0.4
3778,Downtown Evening Academy,53.7,65,Boston,46.3,0,22,4.1,00350085,1996,0,8.1,100.0,0.8
3779,East Boston High,44.6,24.2,Boston,55.4,0,33.9,8.6,00350530,1996,0,33,100.0,0.3
3780,Edward Everett,50.3,45.2,Boston,49.7,0,9.9,11,00350088,1996,0,32.9,100.1,1.1
3781,Elc - East Zone,48.6,64.6,Boston,51.4,0,14.9,3.4,00350005,1996,0,17.1,100.0,0
