id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
18861,Academy of Public Service,44.4,74.2,Boston,55.6,0,20.2,2.3,00350502,2004,0,3.3,100.0,0
18862,Agassiz,49.3,18.5,Boston,50.7,0,76.8,0.4,00350007,2004,0,4.3,100.0,0
18863,Alexander Hamilton,45.6,41.7,Boston,54.4,0,18.1,23,00350011,2004,0,17.2,100.0,0
18864,Another Course To College,56.1,54.1,Boston,43.9,0,13.4,4.5,00350541,2004,0,25.5,100.0,2.5
18865,Beethoven,45.3,51.3,Boston,54.7,0,18.3,4.7,00350021,2004,0,24.7,100.0,1
18866,Blackstone,46.8,25.8,Boston,53.2,0,69.3,0.9,00350390,2004,0,3.7,100.0,0.3
18867,Blue Hill Ave ECC,46.8,51.1,Boston,53.2,0,43.6,3.2,00350010,2004,0,2.1,100.0,0
18868,Boston Adult Academy,43.1,77.1,Boston,56.9,0,15,6.7,00350548,2004,0,1.2,100.0,0
18869,Boston Arts Academy,61.3,51.5,Boston,38.8,0,24,2,00350546,2004,0,22.3,100.1,0.3
18870,Boston Community Leadership Academy,58.6,57.6,Boston,41.4,0,23.6,3.6,00350558,2004,0,15,100.0,0.2
18871,Boston International  High School,46.7,36.7,Boston,53.3,0,57.8,1.1,00350507,2004,0,4.4,100.0,0
18872,Boston Latin,55,11.1,Boston,45,0,5.5,30.2,00350560,2004,0,53,100.0,0.2
18873,Boston Latin Academy,59.3,26.7,Boston,40.7,0,11.9,21.9,00350545,2004,0,39.3,100.0,0.2
18874,Boston Middle School Academy,17.4,65.2,Boston,82.6,0,17.4,8.7,00350413,2004,0,4.3,99.9,4.3
18875,Brighton High,53.3,47.7,Boston,46.7,0,38.4,5.5,00350505,2004,0,8.1,99.9,0.2
18876,Carter Develop Day Care,45.8,50,Boston,54.2,0,41.7,4.2,00350036,2004,0,4.2,100.1,0
18877,Charles H Taylor,47.6,88.9,Boston,52.4,0,5.6,2.9,00350054,2004,0,2.2,100.0,0.4
18878,Charles Sumner,48.2,32.6,Boston,51.8,0,57.7,0.8,00350052,2004,0,8.5,100.0,0.4
18879,Charlestown High,46.8,46.9,Boston,53.2,0,25.9,18.1,00350515,2004,0,8.8,100.1,0.4
18880,Clarence R Edwards Middle,46.3,35.8,Boston,53.7,0,30,14.5,00350430,2004,0,19.3,100.0,0.4
18881,Community Academy,42.9,85.7,Boston,57.1,0,9.5,4.8,00350518,2004,0,0,100.0,0
18882,Curtis Guild,46.5,4.1,Boston,53.5,0,68,7.1,00350062,2004,0,20.7,99.9,0
18883,Dante Alighieri,41.6,13.3,Boston,58.4,0,54.9,6.2,00350066,2004,0,24.8,100.1,0.9
18884,David A Ellis,47.7,52.6,Boston,52.3,0,45.2,0.6,00350072,2004,0,1.4,100.1,0.3
18885,Dearborn,50.4,55.4,Boston,49.6,0,34.6,4.7,00350074,2004,0,4.5,100.1,0.9
18886,Dennis C Haley,42.3,73.8,Boston,57.7,0,21.8,1.7,00350077,2004,0,2.3,99.9,0.3
18887,Donald Mckay,49.8,4.3,Boston,50.2,0,89.5,0.7,00350080,2004,0,5.6,100.1,0
18888,East Boston ECC,50,8.3,Boston,50,0,69.4,2.2,00350009,2004,0,20,99.9,0
18889,East Boston High,45.3,24.4,Boston,54.7,0,48.7,3.7,00350530,2004,0,22.7,100.0,0.5
