id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
7433,Agassiz,49.5,22.7,Boston,50.5,0,68.2,1,00350007,1998,0,7.7,100.0,0.4
7434,Alexander Hamilton,42,42,Boston,58,0,15.2,30.8,00350011,1998,0,11.6,100.0,0.4
7435,Another Course To College,60.6,38.5,Boston,39.4,0,4.6,11,00350541,1998,0,45,100.0,0.9
7436,Beethoven,46.1,48.5,Boston,53.9,0,15.8,5.2,00350021,1998,0,30.3,100.1,0.3
7437,Blackstone,44.5,26.5,Boston,55.5,0,71,0.6,00350390,1998,0,1.5,100.0,0.4
7438,Boston High School,54.7,56.5,Boston,45.3,0,26.6,3.3,00350650,1998,0,13.2,100.0,0.4
7439,Boston Latin,55.7,19.4,Boston,44.3,0,9.6,20.2,00350560,1998,0,50.6,99.9,0.1
7440,Boston Latin Academy,57.8,29.4,Boston,42.2,0,6.7,19.4,00350545,1998,0,44.2,100.0,0.3
7441,Brighton High,49,47.1,Boston,51,0,34.9,10.4,00350505,1998,0,7.4,100.1,0.3
7442,Carter Develop Day Care,42.1,57.9,Boston,57.9,0,36.8,5.3,00350036,1998,0,0,100.0,0
7443,Charles H Taylor,52.5,87.4,Boston,47.5,0,4.2,2,00350054,1998,0,5.8,99.9,0.5
7444,Charles Sumner,45.3,36.9,Boston,54.7,0,44.6,2.6,00350052,1998,0,15.7,100.0,0.2
7445,Charlestown High,46.8,35.5,Boston,53.2,0,28.7,21.7,00350515,1998,0,13.7,100.0,0.4
7446,Clarence R Edwards Middle,44.6,35.8,Boston,55.4,0,22,19.8,00350430,1998,0,21.8,100.0,0.6
7447,Curtis Guild,45.8,19.3,Boston,54.2,0,14.4,29.9,00350062,1998,0,36.4,100.0,0
7448,Dante Alighieri,44.9,18.5,Boston,55.1,0,40.4,8.4,00350066,1998,0,32.6,99.9,0
7449,David A Ellis,51.3,43,Boston,48.7,0,54.8,0.7,00350072,1998,0,1.3,100.0,0.2
7450,Dearborn,46.5,73.8,Boston,53.5,0,19.8,2.9,00350074,1998,0,3.3,100.0,0.2
7451,Dennis C Haley,48,73.9,Boston,52,0,18.6,0.7,00350077,1998,0,6.5,100.0,0.3
7452,Donald Mckay,49.1,11.6,Boston,50.9,0,75,0.1,00350080,1998,0,13.1,99.9,0.1
7453,Dorchester High,47.7,64.1,Boston,52.3,0,27.8,2.2,00350520,1998,0,5.4,100.0,0.5
7454,Downtown Evening Academy,59.7,64.7,Boston,40.3,0,26.9,2.5,00350085,1998,0,5.9,100.0,0
7455,East Boston High,44.9,24,Boston,55.1,0,37.8,7.7,00350530,1998,0,30.3,100.1,0.3
7456,Edward Everett,49.7,50,Boston,50.3,0,6.4,14.4,00350088,1998,0,28.5,100.1,0.8
7457,Egleston Comm High School,68.7,50.7,Boston,31.3,0,44.8,0,00350543,1998,0,3,100.0,1.5
7458,Elc - East Zone,40.6,65.2,Boston,59.4,0,15.5,2.7,00350005,1998,0,14.4,99.9,2.1
7459,Elc - North Zone,51.6,36.3,Boston,48.4,0,9.9,22,00350003,1998,0,30.8,100.1,1.1
7460,Elc - West Zone,44.9,45.8,Boston,55.1,0,24.6,0,00350006,1998,0,28,100.1,1.7
7461,Elihu Greenwood,48.6,69.6,Boston,51.4,0,11.6,1.2,00350094,1998,0,16.9,100.1,0.8
7462,Eliot Elementary,42.1,50.4,Boston,57.9,0,28.1,6.1,00350096,1998,0,15.4,100.0,0
7463,Ellis Mendell,43.1,61.7,Boston,56.9,0,31.6,0.4,00350100,1998,0,6.3,100.0,0
7464,Emily A Fifield,50.5,86.3,Boston,49.5,0,8.3,1.8,00350102,1998,0,3.1,100.0,0.5
7465,Expulsion Alt School,9.4,78.1,Boston,90.6,0,9.4,9.4,00350580,1998,0,3.1,100.0,0
7466,Farragut,55.4,49.6,Boston,44.6,0,25.4,19.2,00350108,1998,0,5.4,100.0,0.4
7467,Fenway Pilot High School,59.1,47.8,Boston,40.9,0,24.3,4.5,00350540,1998,0,23.5,100.1,0
7468,Frank V Thompson Middle,43.5,79.1,Boston,56.5,0,13.8,3.3,00350114,1998,0,3.8,100.0,0
7469,Franklin D Roosevelt,49.7,67.6,Boston,50.3,0,8.1,2.5,00350116,1998,0,20.7,100.0,1.1
7470,George H Conley,43.7,41.7,Boston,56.3,0,20.6,1.2,00350122,1998,0,35.6,99.9,0.8
7471,Grover Cleveland,47.6,72.8,Boston,52.4,0,16.1,3.1,00350415,1998,0,7.6,100.0,0.4
7472,Harbor School,45.6,63.2,Boston,54.4,0,17.5,1.8,00350426,1998,0,17.5,100.0,0
7473,Harriet A Baldwin,49.6,19.4,Boston,50.4,0,2.8,73,00350129,1998,0,4.8,100.0,0
7474,Harvard-Kent,47.1,19.5,Boston,52.9,0,15.8,35.5,00350200,1998,0,28.4,99.9,0.7
7475,Henry Grew,44.9,66.6,Boston,55.1,0,9.4,1.8,00350135,1998,0,22,100.1,0.3
7476,Henry L Higginson,50.9,77.4,Boston,49.1,0,15,3.5,00350137,1998,0,3.1,99.9,0.9
7477,Horace Mann,55.4,36.6,Boston,44.6,0,38.4,6.3,00350750,1998,0,17.9,100.1,0.9
7478,Hugh Roe O'Donnell,52.9,14.5,Boston,47.1,0,35.8,12.7,00350141,1998,0,36.4,100.0,0.6
7479,Hyde Park High School,43.4,73.1,Boston,56.6,0,18,1,00350550,1998,0,7.7,99.9,0.1
7480,Jackson Mann,46.2,47.9,Boston,53.8,0,17.2,22.1,00350013,1998,0,12.8,100.0,0
7481,James A Garfield Elem,58.4,45.6,Boston,41.6,0,16.3,10.8,00350152,1998,0,27.3,100.0,0
7482,James Condon Elem,48.4,51.7,Boston,51.6,0,9.5,11.5,00350146,1998,0,26.5,100.0,0.8
7483,James J Chittick,47.3,89.2,Boston,52.7,0,5.2,0.7,00350154,1998,0,4.1,100.1,0.9
7484,James M Curley,50.2,56,Boston,49.8,0,23.2,2.8,00350384,1998,0,18,100.0,0
7485,James Otis,51,5.3,Boston,49,0,64.7,1.9,00350156,1998,0,28.1,100.0,0
7486,James P Timilty Middle,53.1,47.5,Boston,46.9,0,38.9,4.2,00350485,1998,0,9.1,100.0,0.3
7487,James W Hennigan,51.2,32.6,Boston,48.8,0,43.7,6.8,00350153,1998,0,16.8,99.9,0
