id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
35589,Another Course To College,46.4,46.8,Boston,53.6,1.4,39.5,5,00350541,2013,0,7.3,100.0,0
35590,Baldwin Early Learning Center,40.5,11.9,Boston,59.5,5.9,31.9,17.3,00350003,2013,0,33,100.0,0
35591,Beethoven,42.9,17.7,Boston,57.1,4.2,39,3.5,00350021,2013,0.3,35.2,99.9,0
35592,Blackstone,47.2,17.9,Boston,52.8,0.5,77.1,1.5,00350390,2013,0,2.8,100.0,0.2
35593,Boston Adult Academy,47.1,66.1,Boston,52.9,1.6,28.8,2.3,00350548,2013,0,1.2,100.0,0
35594,Boston Arts Academy,59.8,43.8,Boston,40.2,2.1,35.5,2.4,00350546,2013,0.2,15,100.0,1
35595,Boston Community Leadership Academy,55,42,Boston,45,1.2,43.6,5.5,00350558,2013,0.4,7.1,100.0,0.2
35596,Boston International  High School,47.9,44.8,Boston,52.1,1.4,49,1.9,00350507,2013,0.3,2.5,99.9,0
35597,Boston Latin,55.1,10.3,Boston,44.9,3.1,9.7,29.2,00350560,2013,0.1,47.5,99.9,0
35598,Boston Latin Academy,56.8,27,Boston,43.2,1.5,19.3,22.4,00350545,2013,0.1,29,99.9,0.6
35599,Boston Middle School Academy,33.3,41.7,Boston,66.7,0,50,0,00350413,2013,0,8.3,100.0,0
35600,Boston Teachers Union School,50.2,36.4,Boston,49.8,3.4,37.3,2.2,00350012,2013,0,20.7,100.0,0
35601,Brighton High,44.1,44.2,Boston,55.9,1.7,44.9,3.7,00350505,2013,0.3,4.9,100.0,0.3
35602,Carter Developmental Center,41.7,58.3,Boston,58.3,0,20.8,8.3,00350036,2013,0,12.5,99.9,0
35603,Charles H Taylor,46.9,77.6,Boston,53.1,1.3,16.8,2.1,00350054,2013,0,1.5,100.0,0.7
35604,Charles Sumner,48.8,23.4,Boston,51.2,1.1,66.2,1.5,00350052,2013,0,7.4,100.0,0.4
35605,Charlestown High,45,44,Boston,55,0.7,28,20.8,00350515,2013,0,6.2,100.0,0.3
35606,Clarence R Edwards Middle,44.8,16.3,Boston,55.2,1.3,60.5,13.7,00350430,2013,0,8.1,100.1,0.2
35607,Community Academy,35.1,73,Boston,64.9,0,21.6,2.7,00350518,2013,0,2.7,100.0,0
35608,Community Academy Of Science And Health,49.5,78.5,Boston,50.5,2,15.3,1.8,00350581,2013,0,2.3,100.2,0.3
35609,Curley K-8 School,47.9,19.8,Boston,52.1,2.4,57.8,2.8,00350020,2013,0,16.9,99.9,0.2
35610,Curtis Guild,41.5,2,Boston,58.5,0.7,87.3,0.3,00350062,2013,0,9.8,100.1,0
35611,David A Ellis,50,34.1,Boston,50,0.3,64.9,0.3,00350072,2013,0,0.5,100.1,0
35612,Dearborn,47.1,57.4,Boston,52.9,5,31.4,1.7,00350074,2013,0.4,3.3,100.0,0.8
35613,Dennis C Haley,48,26,Boston,52,6.9,33.2,2,00350077,2013,0,31.6,100.0,0.3
35614,Donald Mckay,48.5,2.1,Boston,51.5,0.6,90.6,0.6,00350080,2013,0,5.9,100.1,0.3
35615,Dorchester Academy,45.8,66.7,Boston,54.2,2.3,21.1,4.8,00350651,2013,0.3,3.3,100.0,1.5
35616,Dr. Catherine Ellison-Rosa Parks Early Ed School,44.3,51.9,Boston,55.7,1,42.9,3.8,00350008,2013,0,0,100.1,0.5
35617,Dr. William Henderson,49.2,22.5,Boston,50.8,2,20.9,8.2,00350266,2013,0,46.3,99.9,0
35618,Early Childhood Center At Fifield (Ecc-Fifield),41.7,53.4,Boston,58.3,1.9,32,9.7,00350002,2013,1,1.9,99.9,0
35619,East Boston Early Childhood Center,48.5,4,Boston,51.5,1.5,72.5,0.5,00350009,2013,0,21.5,100.0,0
35620,East Boston High,45.8,16.4,Boston,54.2,0.8,63.3,2.2,00350530,2013,0,17.2,100.0,0.1
35621,Edison K-8,44.1,23.7,Boston,55.9,2.9,43.7,13.6,00350375,2013,0,15.1,100.0,1
35622,Edward Everett,47.7,42.7,Boston,52.3,2.5,27.4,20.3,00350088,2013,0,7.1,100.0,0
35623,Egleston Community High School,57.8,42.7,Boston,42.2,3.1,46.9,1,00350543,2013,0,6.3,100.0,0
35624,Elc - West Zone,37.4,32.3,Boston,62.6,3,50.5,1,00350006,2013,0,13.1,99.9,0
35625,Elihu Greenwood Leadership Academy,52.1,54.6,Boston,47.9,2.3,40,1,00350094,2013,0,2.1,100.0,0
35626,Eliot Elementary,47.3,16.8,Boston,52.7,2.6,31.9,2.8,00350096,2013,0,45.9,100.0,0
35627,Ellis Mendell,49.8,30.7,Boston,50.2,6.5,44.6,0.9,00350100,2013,0.4,16.9,100.0,0
35628,Excel High School,42.5,40.2,Boston,57.5,2,24.6,19.2,00350522,2013,0,13.9,100.1,0.2
35629,Fenway High School,52.8,40.6,Boston,47.2,2.2,46.3,3.8,00350540,2013,0.3,6.3,100.1,0.6
35630,Franklin D Roosevelt,48.6,37.7,Boston,51.4,2.4,32.7,1.3,00350116,2013,0.2,25.6,99.9,0
35631,Gardner Pilot Academy,48.7,16.2,Boston,51.3,3.9,59.9,8.1,00350326,2013,0.3,11.7,100.1,0
35632,George H Conley,42.9,27.5,Boston,57.1,3.3,47.8,2.7,00350122,2013,0,18.7,100.0,0
35633,Harbor School,47.2,63.1,Boston,52.8,1.8,17.7,4.3,00350426,2013,0.4,11.3,100.0,1.4
35634,Harvard-Kent,47.3,21.1,Boston,52.7,2,41.8,24.6,00350200,2013,0,10.4,100.1,0.2
35635,Haynes Early Education Center,47.5,44,Boston,52.5,1,50,3.5,00350010,2013,0,1.5,100.0,0
35636,Henry Grew,51.5,56,Boston,48.5,1.9,35.7,1.5,00350135,2013,0,4.5,100.0,0.4
35637,Higginson/Lewis K-8,45.5,59.1,Boston,54.5,2.3,34.7,0.8,00350377,2013,0,2.6,100.0,0.5
35638,Horace Mann School For The Deaf,51.3,28.6,Boston,48.7,1.7,43.7,11.8,00350750,2013,0,14.3,100.1,0
35639,Hugh Roe O'Donnell,51.4,4.4,Boston,48.6,1,78.6,5.1,00350141,2013,0,10.9,100.0,0
35640,Jackson Mann,45.9,33.3,Boston,54.1,3.5,42.8,11.3,00350013,2013,0,8.9,99.9,0.1
35641,James Condon Elementary,47.7,37.3,Boston,52.3,2.5,30.4,8.4,00350146,2013,0.1,20.8,100.0,0.5
35642,James J Chittick,47.3,72.4,Boston,52.7,2.2,21,1.9,00350154,2013,0,2.5,100.0,0
35643,James Otis,49.9,3.7,Boston,50.1,0.8,84.1,1,00350156,2013,0.3,10.2,100.1,0
35644,James P Timilty Middle,57.4,44.7,Boston,42.6,0.5,52.5,0.5,00350485,2013,0.2,1.3,100.2,0.5
35645,James W Hennigan,49.1,30.1,Boston,50.9,0.9,62,1.9,00350153,2013,0.3,4.5,100.0,0.3
35646,Jeremiah E Burke High,46.1,75.3,Boston,53.9,1.5,19.9,0.8,00350525,2013,0.5,2,100.0,0
35647,John D Philbrick,43.1,19.6,Boston,56.9,10.5,35.3,0.7,00350172,2013,0.7,31.4,100.2,2
35648,John F Kennedy,48.5,19,Boston,51.5,1.7,75.4,1,00350166,2013,0,2.7,100.0,0.2
35649,John Marshall,49.4,51,Boston,50.6,3.6,41.4,1.7,00350178,2013,0.3,1.5,99.9,0.4
35650,John P Holland,48.4,40.6,Boston,51.6,1.6,42.1,14.8,00350167,2013,0,0.8,100.0,0.1
35651,John W Mccormack,46.8,36.2,Boston,53.2,2.1,43.7,8.2,00350179,2013,0.1,8.7,100.0,1
35652,John Winthrop,53.3,51.7,Boston,46.7,2.4,42.3,0.8,00350180,2013,1,1.8,100.0,0
35653,Joseph J Hurley,49.4,5.1,Boston,50.6,2.7,73.1,0,00350182,2013,0,19.2,100.1,0
35654,Joseph Lee,46.1,60.9,Boston,53.9,1.9,28,5.9,00350183,2013,0.5,2.6,100.0,0.2
35655,Joseph P Manning,45.9,15.7,Boston,54.1,8.8,24.5,4.4,00350184,2013,0.6,45.9,99.9,0
35656,Joseph P Tynan,46,41.3,Boston,54,4.7,21.4,10.1,00350181,2013,0.5,21.7,100.0,0.3
35657,Josiah Quincy,46.9,15.6,Boston,53.1,3.1,14.8,58.4,00350286,2013,0,8,100.0,0.1
35658,Joyce Kilmer,46.4,10.2,Boston,53.6,5.4,16.1,5.9,00350190,2013,0.2,61.8,100.1,0.5
35659,King K-8,46.6,62.5,Boston,53.4,4.3,29.3,0.7,00350376,2013,0.5,2.5,100.0,0.2
35660,Lee Academy,39.4,50,Boston,60.6,5.6,33.9,5,00350001,2013,0.6,5,100.1,0
35661,Lilla G. Frederick Middle School,48.2,52.1,Boston,51.8,1.8,40.1,2,00350383,2013,0.3,3.3,100.1,0.5
35662,Lyndon,50.4,7.3,Boston,49.6,1.3,47.3,1.3,00350262,2013,0,42.9,100.1,0
35663,Lyon K-8,39,17.1,Boston,61,6.2,23.3,11,00350004,2013,0,42.5,100.1,0
35664,Lyon Upper 9-12,38.8,32.8,Boston,61.2,4.5,27.6,5.2,00350655,2013,0,29.1,99.9,0.7
35665,Madison Park High,41.9,45.5,Boston,58.1,1.6,46.3,1.9,00350537,2013,0.2,4.2,100.0,0.3
35666,Manassah E Bradley,53.9,4.8,Boston,46.1,2.6,53.5,5.2,00350215,2013,0.4,32.3,99.9,1.1
35667,Margarita Muniz Academy,65.9,6.1,Boston,34.1,1.2,89,1.2,00350549,2013,0,2.4,99.9,0
35668,Mario Umana Academy,46.1,8.9,Boston,53.9,1,72.5,2,00350656,2013,0,14.9,99.9,0.6
35669,Mather,49.3,39.6,Boston,50.7,3.5,21.9,30.6,00350227,2013,0,4.2,100.0,0.2
35670,Mattahunt,44,68.9,Boston,56,2.4,26.2,1.3,00350226,2013,0,0.9,100.0,0.3
35671,Maurice J Tobin,49.8,23.5,Boston,50.2,1.2,71.9,0.9,00350229,2013,0.2,1.8,100.0,0.5
35672,Michael J Perkins,49.5,44,Boston,50.5,5.5,37.1,4.4,00350231,2013,0.4,8.4,100.2,0.4
35673,Mildred Avenue K-8,45.9,73.5,Boston,54.1,2.1,20.2,2.3,00350378,2013,0.2,0.8,100.1,1
35674,Mission Hill School,46.9,27.8,Boston,53.1,6.7,40.7,1.4,00350382,2013,0,23,100.1,0.5
35675,Mozart,53,31.7,Boston,47,4.9,31.7,3,00350237,2013,0,28.7,100.0,0
35676,Nathan Hale,52.7,59.2,Boston,47.3,3.6,33.7,1.2,00350243,2013,0,1.2,100.1,1.2
35677,New Mission High School,52.1,61.2,Boston,47.9,0.8,31.9,1.5,00350542,2013,0,3.8,100.0,0.8
35678,O W Holmes,46.9,65.4,Boston,53.1,4.4,23.9,1.6,00350138,2013,0.3,3.8,100.0,0.6
35679,O'Bryant School Math/Science,55.6,38.3,Boston,44.4,1.5,27.1,20.6,00350575,2013,0.3,12,99.9,0.1
35680,Oliver Hazard Perry,47.4,23.9,Boston,52.6,0.4,19.5,2.8,00350255,2013,0,53.4,100.0,0
35681,Orchard Gardens,52,40.8,Boston,48,1.8,54.3,1.1,00350257,2013,0.8,1,100.0,0.2
35682,Patrick J Kennedy,42.4,5.7,Boston,57.6,2.1,81.6,0.7,00350264,2013,0.4,9.2,100.1,0.4
35683,Paul A Dever,47.3,25.7,Boston,52.7,1.5,63.2,6.3,00350268,2013,0,3.1,100.0,0.2
35684,Phineas Bates,48.4,36.8,Boston,51.6,2.6,35.5,4.5,00350278,2013,0,20.6,100.0,0
35685,Quincy Upper School,44.6,22.2,Boston,55.4,2.3,15.4,53.4,00350565,2013,0,6.2,99.9,0.4
35686,Rafael Hernandez,49.8,2.6,Boston,50.2,0.5,90.8,0.2,00350691,2013,0,5.9,100.0,0
35687,Richard J Murphy,48.1,21.8,Boston,51.9,2.6,16.1,32.3,00350240,2013,0.2,26.7,100.0,0.3
35688,Roger Clap,53.4,29.9,Boston,46.6,0.6,36.8,6.3,00350298,2013,0.6,25.9,100.1,0
35689,Samuel Adams,49,4.8,Boston,51,1.7,71.6,1,00350302,2013,0,20.9,100.0,0
35690,Samuel W Mason,45.2,57.3,Boston,54.8,6,27,1.2,00350304,2013,1.6,6,99.9,0.8
35691,Sarah Greenwood,48.6,28.7,Boston,51.4,1.2,68.6,0,00350308,2013,0,1.5,100.0,0
35692,Snowden International School At Copley,52,38.7,Boston,48,2.7,39.9,8.4,00350690,2013,0,9.9,100.1,0.5
35693,Techboston Academy,44.3,71,Boston,55.7,2.1,17.6,4.5,00350657,2013,0.3,4,100.0,0.5
35694,The English High,45.1,44.4,Boston,54.9,1.1,47.5,1.8,00350535,2013,0.2,4.4,99.9,0.5
35695,Thomas J Kenny,47.4,55.3,Boston,52.6,2.3,22.8,14.6,00350328,2013,0.3,3.3,99.9,1.3
35696,Urban Science Academy,45.7,51.2,Boston,54.3,1,38.9,1.4,00350579,2013,0.3,6.8,99.9,0.3
35697,Warren-Prescott,46.3,11.7,Boston,53.7,3,24.5,4.7,00350346,2013,0,55.9,100.0,0.2
35698,Washington Irving Middle,45.8,37.9,Boston,54.2,1.9,46.9,1.9,00350445,2013,0,11,100.0,0.4
35699,West Roxbury Academy,44.4,48.1,Boston,55.6,2,39,0.9,00350658,2013,0,9.7,100.0,0.3
35700,William E Russell,45.7,27,Boston,54.3,4.6,56.9,8.6,00350366,2013,0.3,2,100.0,0.6
35701,William Ellery Channing,49.5,56.9,Boston,50.5,1.9,38.3,0.3,00350360,2013,0,2.6,100.0,0
35702,William H Ohrenberger,45.3,28.2,Boston,54.7,3.3,47.2,4,00350258,2013,0.2,17,100.1,0.2
35703,William Mckinley,24.6,50.3,Boston,75.4,4.5,31.9,1.3,00350363,2013,0,11,100.0,1
35704,William Monroe Trotter,53.1,67.4,Boston,46.9,2.8,27.1,0,00350370,2013,0,2.5,100.1,0.3
35705,Winship Elementary,48.8,22.4,Boston,51.2,3.7,43.5,11,00350374,2013,0,19.1,100.0,0.3
35706,Wm B Rogers Middle,44.1,65.9,Boston,55.9,1.4,23.5,4.6,00350470,2013,0,4.1,100.0,0.5
35707,Young Achievers,46,50.6,Boston,54,0,45.8,0.2,00350380,2013,0.4,2.9,100.1,0.2
